TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BE10,BE21,BE22,BE23,BE24,BE25,BE31,BE32,BE33,BE34,BE35,BG31,BG32,BG33,BG34,BG41,BG42,CY00,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,ES11,ES12,ES13,ES21,ES22,ES23,ES24,ES30,ES41,ES42,ES43,ES51,ES52,ES53,ES61,ES62,ES63,ES64,ES70,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HR03,HR04,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MK00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,NO01,NO02,NO03,NO04,NO05,NO06,NO07,PL11,PL12,PL21,PL22,PL31,PL32,PL33,PL34,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SE11,SE12,SE21,SE22,SE23,SE31,SE32,SE33,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2014,7638,51180,84211,17937,42279,56170,24256,29893,15642,73381,75418,25507,48210,43230,41067,15484,30797,28638,6425,12207,3033,3558,4759,5327,20238,5835,17394,37673,17559,15959,12288,18296,23093,14910,14960,184808,109149,76468,69632,229930,41522,39687,34513,66333,47170,64909,117750,62150,30360,103566,178983,32016,40518,38634,61663,73047,42256,77693,45034,14789,68312,33685,43186,36741,29170,84364,54549,102153,25875,49785,52923,23028,85579,2545,6045,8934,6820,23859,4125,3904,9085,3137,8181,7734,7611,53858,20793,11864,63394,17623,7727,32828,196118,52348,36463,16907,197004,97430,26329,139099,26808,1580,1406,40753,46476,78461,38496,40414,1354,649101,37811,45769,52164,68883,38084,44344,104461,56299,54904,27509,106572,87752,47257,93061,86860,17804,207243,35046,67451,153031,8771,13731,29288,49740,10160,10885,6412,7725,9897,9420,33186,155860,122936,4714,45767,348615,30972,6483,98381,70973,11052,32094,87131,33256,20649,18217,147498,34325,144140,108154,21614,39541,185737,36444,48898,23581,8529,8091,28563,18093,13820,36506,66709,12042,58412,133358,141758,11429,100261,36693,92405,16153,42881,44652,51142,22438,23108,25055,91188,32053,50953,16062,16107,9840,9213,39811,15371,9169,34735,8672,18176,11047,23393,50347,7348,32708,64010,11104,3731,4085,16925,16600,15387,16935,18234,40453,11288,14285,135631,61623,30898,54404,82765,29832,14314,21067,16416,20888,21075,24064,14877,15544,28237,38465,15027,80253,38687,36079,39511,24447,25191,33349,65882,60075,54089,18919,40978,41815,77665,79072,64867,50143,111967,103686,69369,50140,86831,37515,13230,31711,42879,33097,65091,68059,25639,13956,48078,509402
2013,7484,50549,82904,17725,41153,55167,23796,28948,15066,72175,74593,24657,47154,42119,40054,14893,30430,28165,6273,11914,2951,3418,4559,5188,19877,5919,18065,38689,17335,16091,12705,18362,23755,14776,15221,177146,105082,73453,66836,222107,40144,38318,33348,64082,45580,62738,112789,60587,29538,99869,173389,30980,39263,37463,59731,71120,41181,75603,43800,14375,66575,32702,41609,35327,28204,81619,52805,98537,25212,48915,52166,22596,86468,2564,5832,8831,7013,24453,4383,3965,9284,3054,8318,8315,7910,53899,20719,11757,62517,17454,7577,32658,193834,52109,36837,16841,194268,95884,25838,138585,26654,1567,1402,39986,46040,77724,38134,40034,1342,641753,36955,46458,51687,68818,37913,43771,104324,56341,54868,27974,105175,86862,46971,93307,85518,17665,205670,35162,66802,152005,8565,13876,29611,48779,9826,10165,6388,7396,9625,9095,31859,147588,122460,4619,45386,348049,31558,6359,99364,70896,11021,31879,87429,33144,20775,18241,145575,34441,143461,108085,21614,38955,181873,34962,46541,22771,8150,7642,32755,18094,13640,35518,65010,11710,56780,129769,137698,11248,97167,35523,97631,16487,43949,47036,53901,23697,24256,24070,87298,30514,49120,15661,15506,9497,8940,38067,14682,8711,33387,8307,17593,10615,22634,49404,7189,32177,62791,10895,3663,4031,16232,15941,14792,16321,17612,38652,10875,13712,135684,63333,31662,54695,83151,30556,14620,21940,15820,20088,20729,23560,14523,15022,25887,35122,13785,73415,35711,32997,35974,22323,23148,30175,60502,54678,48849,17336,37371,38235,71505,71368,57764,44941,101588,94788,63255,45488,78474,33833,12420,28986,39393,30686,59037,61058,23300,12619,44290,450341
2012,7291,49687,81343,17607,40823,53907,23622,28135,14547,71830,73503,24428,46270,41242,39229,14444,30213,27950,6221,11822,2961,3344,4547,5097,19809,5935,19469,39738,17809,16106,13183,18775,23759,15154,16181,172837,103581,71492,65174,213398,39073,37567,32840,62997,44911,60993,109667,58997,29088,97753,168828,30174,37917,36671,56229,69814,40342,74533,43097,13807,65749,32487,39889,34938,26857,79805,51741,96685,25376,48048,51425,22437,92671,2678,6079,8845,7579,25807,4724,4187,9517,3260,8957,8628,8270,54041,21413,12115,63727,17543,7654,32552,197061,53481,37513,16836,196011,96731,25810,139999,26594,1544,1384,40004,45982,75033,38108,39283,1301,629004,36825,46844,51255,68187,37601,43259,103430,56083,54244,28177,103149,86081,46239,92824,83757,17451,202300,34773,65771,150173,8334,13921,30013,47760,9488,9904,6281,7108,9649,8783,31000,143844,124058,4599,46859,347233,31817,6375,100823,71775,11088,32768,88154,33387,20499,18009,146897,34775,142662,107338,21539,39634,182675,33335,43574,21950,7585,7215,31575,18051,13307,35379,64630,11667,56331,127199,137655,11325,96509,35136,96141,16491,44222,46479,52806,23326,23692,23803,85254,29883,49513,15356,15031,9642,8681,36997,14583,8573,33408,8259,17219,10485,22584,48538,7135,31806,62276,10930,3610,3974,15146,15152,13746,14523,15916,35487,10384,13050,131475,61687,30709,52922,79890,30105,14511,21933,15856,20132,19803,23574,14237,14806,25964,35991,13584,73175,35576,33771,36074,23295,23197,30621,61338,54914,48651,16941,37544,38309,72016,72375,57470,45929,102066,94236,63803,46148,78610,34266,12729,28636,39800,30940,59311,60636,23138,12541,45175,450177
2011,6936,48475,80022,17421,39398,52466,22754,26869,14199,70766,71546,23956,45324,39428,38226,14266,29894,27600,6207,11640,2948,3220,4364,4829,19842,5752,19547,40702,17892,16482,13523,19396,23676,15452,16460,168298,102624,70462,64292,207003,38921,36751,32242,61116,44224,59048,108243,57819,27853,96058,167934,30081,37400,36473,55254,68856,38940,72915,42492,13562,63949,32096,39106,34620,25729,76698,50948,92839,24660,47099,50785,21735,100972,2944,6603,9716,8150,28092,4819,4611,9953,3479,9611,9273,8806,55828,22465,12592,65176,18221,7914,33917,198943,55076,38774,17563,200185,100665,26030,144652,27243,1585,1425,41048,45371,74378,37230,38607,1193,615232,37756,46374,50663,67777,37886,43270,103739,56508,54370,29246,101912,84959,45224,91773,81067,17394,200460,34703,65375,146120,8244,14061,30648,48616,9789,10184,6387,7230,9677,8821,31409,142531,128209,4563,47687,353496,31918,6553,101262,71336,11135,33363,88466,33400,19735,18032,149355,35873,144541,107802,22153,40522,187798,31263,42227,20114,7544,6872,29541,18100,13295,36236,65717,11683,56274,126518,136354,11448,96360,35617,85334,15233,40116,41669,47606,20752,21791,23164,82524,29281,49078,14924,14738,9616,8654,35793,14262,8374,32749,8190,16917,10315,21598,49997,7347,32919,66073,11526,3760,4367,14541,14617,13503,14032,16509,36278,10518,13189,124462,58731,29641,50606,77295,28793,14066,21226,16287,20609,19536,22880,13803,14225,23814,32805,12130,65615,32266,29234,34413,21306,21339,27994,56305,50333,44324,15419,33389,35149,64918,65410,52101,42339,91522,82565,57402,41593,72011,31089,11167,25986,36032,28196,53973,56518,20443,11653,41114,405724
2010,6647,46186,77518,16466,37446,49574,21680,25533,13486,67682,68765,22674,43517,38193,36853,15167,28493,26170,5979,11364,2751,2995,4009,4512,18090,5368,19118,40191,16592,15837,13147,18480,22222,14561,15340,158946,98216,66543,60505,193241,36594,34563,30615,58073,41171,55538,103231,56136,26884,94711,161886,28975,36377,35253,50828,65432,37239,69543,40695,12778,61092,30300,37755,33195,24164,74054,48267,92698,24588,46145,48778,21563,110462,3184,7236,10860,9198,30348,4981,4930,10835,3992,10671,9903,9430,57025,22869,12826,65681,18257,8014,34406,197948,55558,39230,18027,203324,102329,26195,146125,27984,1589,1423,41249,42532,72508,34462,36373,1148,609330,35367,44967,48972,65621,36505,41680,99878,55058,52306,28340,96625,81233,43374,87692,77354,16961,191680,33247,62686,142968,7916,14264,30740,48164,9351,9704,6264,7095,9263,8357,29227,136931,125406,4491,46736,346158,30608,6559,101468,70049,10803,33006,88685,33171,19091,17619,144849,35196,138872,105237,21965,39952,184268,28028,39526,17743,7108,6586,28520,17315,13026,35087,63413,11544,55923,124982,136918,11179,93365,34669,80409,13315,36314,37499,42959,18607,19780,22145,78530,27437,46656,14130,13906,9316,8253,33983,13832,8119,30869,7856,16348,9897,20470,50844,7541,33650,67653,11799,3836,4411,14294,14224,13332,13492,15872,32534,10080,12764,111128,53430,26878,46951,70564,26811,13472,19731,15888,20364,18940,21526,13475,13446,23951,31264,12447,66417,32318,29374,34465,21540,20620,27781,54786,48045,44219,14908,32100,33996,63524,63714,51929,41614,87620,82332,56290,40522,72515,30374,10923,26074,34491,27054,53459,55631,19366,11205,40492,381038
2009,6376,44978,75754,16020,36397,47954,20570,24960,13086,64858,65378,21603,41747,37202,35286,13205,27402,25329,5767,10811,2816,3053,4004,4570,17530,5271,18482,37883,15882,15012,12893,17363,21138,13849,14337,144082,92880,62468,55684,184297,33651,32181,29246,55631,38788,52583,99149,53753,25302,91409,156790,27953,34645,34370,45890,62712,35937,65725,38644,12380,57660,28666,36495,31637,23203,72452,45567,85743,23531,44356,48624,21305,116001,3395,7599,11509,9306,32439,5039,5025,11814,4200,10890,10405,9912,56739,22724,12810,64935,18205,7950,34138,199531,55458,39211,17778,202028,102781,26153,146315,27797,1565,1407,40695,41019,69997,34219,34573,1149,573590,34996,44077,47558,64581,35834,41943,98948,55337,52497,28126,95280,80326,42362,85501,77314,17245,186381,32591,61821,137094,7677,14298,30793,46085,8601,8729,6109,6916,9065,8166,31138,138294,120729,4291,47019,331080,29766,6592,102688,68827,10941,33114,88530,33104,18454,17232,142118,33985,135655,104083,21596,39876,182574,26935,36268,18695,6767,6126,26440,17117,13106,34872,62983,11060,55573,121031,135129,10558,89717,33675,69576,11401,31255,32110,36873,15882,17110,19262,66881,24116,40725,12306,12252,8310,7234,30262,12220,7131,25930,7007,14322,8675,18056,49210,7449,32941,66245,11344,3729,4335,13876,13691,12977,12598,15575,30118,9537,11934,95882,44585,22459,39332,59151,22328,11071,14778,15856,20310,17903,20532,12728,12655,22047,29173,11136,61633,30031,27275,32238,21057,19007,25613,51633,43346,39973,13474,28973,30888,58000,57949,48975,37946,79719,74622,50714,36780,64939,28332,10182,23804,32679,25359,51380,53736,17958,10714,37869,349441
2008,6344,46198,76251,16606,37370,49564,21065,25075,13372,64667,67571,22769,41539,36734,35934,13567,28567,25776,5873,10883,2954,3137,4205,4536,17277,5265,18822,41190,17611,15732,13614,18843,22819,15007,16146,157028,97732,66133,59982,188153,34488,33266,29286,56544,40619,54289,99177,54965,27658,95200,164373,30214,36083,34734,49462,65290,36706,68313,39830,12702,59049,31701,37473,33205,23515,74603,47468,87846,24294,46641,49885,22018,116717,3514,8183,11808,9450,33304,4802,5158,12186,4522,11365,10879,10102,58584,23989,13279,67698,18739,8275,35615,202035,57092,40389,18155,209005,108508,27194,152137,29137,1573,1411,42582,44183,72791,37419,38162,1086,595566,37067,45701,49391,66041,36898,43678,101938,57111,53887,29156,98132,82748,43199,86056,77912,17596,192795,33568,62416,139127,7441,15392,32738,51655,10681,10366,6965,8186,10104,9546,34400,153147,129225,4489,49287,346708,30881,6761,105540,70546,11575,33838,90828,33941,18547,17507,147291,35942,142919,106150,22979,40993,185280,32696,37647,24272,6772,6116,29806,17549,13831,35339,63975,11625,54894,123897,140079,11244,93249,35381,78872,13049,35603,36751,42110,18232,19401,22663,75615,28080,47572,14679,14343,10014,8290,34230,14475,8359,29684,8505,16936,10032,20214,50458,7848,33236,67279,11781,3761,4448,16080,15779,15030,14698,17639,37846,11074,14128,103156,50855,27157,45298,68726,26252,12465,18318,16821,21131,17299,21656,13369,13516,24993,33941,12856,69243,34720,31249,35482,22608,22055,29099,58828,50182,46169,15757,33761,36529,67078,66771,57063,43744,91323,84530,57665,42881,73276,32097,11446,27053,35910,28753,57397,60218,20186,11995,43869,393767
2007,6191,44485,73433,16206,36420,47348,20627,24677,12880,63521,65825,22000,40736,35857,35630,12575,27390,24838,5740,10420,2686,2826,3638,3912,14894,4751,17454,34806,14942,14079,11779,16473,19458,12679,13788,158588,95431,64480,58196,190164,33950,32262,28982,54817,40318,52770,94592,53083,27241,92306,162418,29389,35879,33770,49341,63421,35819,65290,39114,12354,58192,31307,37346,32920,22879,72183,46968,84234,24654,45379,48244,21386,112008,3304,7683,11200,8906,31952,4979,5029,11752,4285,11244,10562,9790,56234,23239,12846,65092,17959,7963,34228,194533,55832,38707,17482,203403,105193,26145,148645,27990,1521,1361,41656,42386,69676,36522,36831,1098,552691,37472,46019,50033,67615,36984,43674,99549,58117,52709,29280,95792,83730,44062,86710,76668,18150,186986,34465,60875,138797,7030,14230,29696,48409,10335,9845,6553,8009,9587,8869,36251,160802,128880,4349,48238,333596,30106,6915,105138,71183,11597,33275,89587,32962,17950,17262,147072,36228,140949,105060,22677,41234,184822,29041,36766,22615,6094,5745,24792,16955,13375,33490,61694,11535,53065,119711,135826,10696,90028,34705,73735,11986,32955,33961,38943,16831,17976,19500,65857,24010,40521,12479,12164,8360,7299,29412,12360,7417,25813,7196,14676,8686,17904,49220,7653,33207,65590,11819,3603,4306,15143,14590,13630,13328,15472,30440,10126,12562,103994,51734,27318,47871,68748,26681,12169,17826,15591,19562,15018,18771,11100,11201,28278,39180,14062,80666,40331,35716,39928,26249,25614,34409,66974,57543,53085,17596,38478,41098,78776,75871,62252,50413,103000,96142,65332,47862,83161,36335,13108,30949,41629,34406,67106,68539,21228,13394,51559,443630
2006,5860,41416,70711,15131,34047,44633,19137,23428,12036,60955,62104,20688,38099,33947,33554,11807,26163,23607,5579,9985,2340,2461,3097,3512,11794,4145,16141,30513,13285,13164,10758,14925,17282,11463,12354,148878,91240,61601,54790,179898,32178,30209,28081,52474,38572,51318,90265,50902,26247,89083,156455,27900,34554,31967,46600,62316,34126,61868,37799,11832,55273,29861,35619,31498,21876,70295,44918,81264,24145,43390,46678,20664,104334,3041,7178,10693,8141,29550,4926,4789,11214,4030,10728,10116,9124,52169,21700,11976,60938,16816,7420,31407,181318,52148,35434,16231,189854,98382,24430,139067,25937,1428,1296,39248,38696,64105,34099,34569,1075,515788,35640,43811,47383,64979,35740,41341,95262,56237,49936,28159,91239,80878,41875,83235,75355,17518,179930,32845,58287,134473,6761,12713,27485,42802,9152,9143,5918,7339,8801,8190,35188,149735,124807,4229,45729,320245,28886,6648,101691,69517,11151,32439,87766,31963,17181,16420,141159,34699,134252,100751,21871,39489,177134,24079,33409,17219,5472,5375,24945,15837,12447,31394,58393,10751,49678,113673,127161,9757,85681,32481,69594,11211,30941,31860,36547,15782,16885,17014,57166,21107,35587,10773,10750,7173,6249,25758,10932,6508,22220,6124,12829,7645,15583,46286,7161,31672,62134,11373,3431,4101,11675,11335,10787,11051,12482,22946,8138,9940,96156,48762,25678,43113,65377,25833,12074,17792,14048,17514,11900,15491,8823,9182,27391,38232,13712,76982,38070,34232,39402,24454,24213,31922,63946,55733,49624,16713,38256,39672,75523,74432,59852,47863,98049,92079,61379,45766,76823,34713,12831,29843,40148,32757,63837,67056,18747,12996,48031,411676
2005,5666,39129,67051,14468,32560,42484,17977,22139,11460,59418,59826,19324,36178,31794,31462,11197,25071,22429,5214,9391,2258,2294,2689,3285,9748,3727,14946,26846,11337,11587,9667,13291,15280,10164,11222,138671,86620,58394,52208,172889,31109,29210,26624,50682,37414,48905,87052,48785,25082,87831,151651,27150,33338,31152,45241,59398,32811,58792,36412,11507,53159,28705,34520,29868,20504,68228,43206,79438,22762,40206,42844,19203,94039,2797,6662,9867,7868,26890,4760,4514,10230,3789,9725,9738,8364,48125,19956,11170,56212,15635,6855,28907,166139,48867,32485,15215,175032,90535,22603,128987,23867,1330,1209,36768,37177,60178,32960,32965,1048,497045,34631,42724,45777,62555,34324,39730,90740,54349,47996,27400,87676,77371,40263,78719,70136,16847,170023,31707,55139,127971,6316,11686,24822,41510,9384,8895,6049,7509,8838,8358,31623,138355,120079,4093,44355,310694,27596,6250,97916,66619,10550,31446,84383,30683,16248,15823,136254,33180,127276,96479,20834,37376,171189,21002,29734,13697,5032,5131,22221,14983,11933,29741,54307,9665,47144,108576,120790,9306,80636,30861,62290,10242,27990,28653,32958,14141,15388,15308,50823,18538,32462,9800,9704,6325,5702,23312,9863,5867,19176,5616,11477,6909,13942,44218,6741,30244,59469,10717,3264,3890,9407,9057,8964,9089,10178,19070,6561,7842,91242,45496,23392,40446,60412,24348,11623,16170,13107,16128,10688,12772,7595,8165,25219,36688,12123,72471,36900,31209,36068,23388,23153,30124,60312,53119,46455,15463,34977,37761,72923,67461,58619,44775,94904,85155,57976,44144,74371,32644,11503,28376,37999,30917,58621,64095,16747,12770,44593,392558
