TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BE10,BE21,BE22,BE23,BE24,BE25,BE31,BE32,BE33,BE34,BE35,BG31,BG32,BG33,BG34,BG41,BG42,CY00,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,ES11,ES12,ES13,ES21,ES22,ES23,ES24,ES30,ES41,ES42,ES43,ES51,ES52,ES53,ES61,ES62,ES63,ES64,ES70,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HR03,HR04,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MK00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,NO01,NO02,NO03,NO04,NO05,NO06,NO07,PL11,PL12,PL21,PL22,PL31,PL32,PL33,PL34,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SE11,SE12,SE21,SE22,SE23,SE31,SE32,SE33,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2014,7033,47127,77542,16517,38931,51722,22335,27525,14404,66486,68331,23110,43680,39168,37208,14029,27903,25947,5821,11060,6563,7697,10298,11526,43788,12626,19094,59465,27717,25191,19397,28880,36451,23535,23614,177205,104658,73322,66767,220471,39814,38054,33094,63604,45229,62238,112906,59593,29111,99305,171620,30699,38851,37045,59126,70042,40518,74496,43182,14181,65501,32299,41409,35229,27970,80894,52305,75719,19179,36903,39228,17069,104673,3113,7394,10927,8341,29183,5045,4776,11112,3836,10007,9460,9309,60160,23226,13252,70812,19685,8631,36669,219068,58473,40730,18885,220058,108831,29410,155377,29945,1765,1571,45522,37445,63214,31015,32561,1091,589853,34360,41592,47402,62596,34608,40296,94926,51160,49892,24998,96845,79742,42944,84567,78932,16179,188326,31847,61294,139062,7970,21779,46454,87794,17932,19214,11317,13636,17469,16626,29781,139865,122194,4685,45490,346510,30785,6444,97787,70545,10985,31900,86605,33055,20524,18107,146607,34118,143270,107501,21483,39303,184615,60411,40759,34936,20877,10078,26098,16531,12627,33354,60950,11003,53369,121846,129520,10442,91605,33526,62921,10603,28148,30289,34716,15270,15606,43574,158591,55746,88614,27934,28012,17113,16022,69238,26733,15946,60409,15083,31610,19212,40684,64612,9430,41975,82146,14250,4788,5242,34001,33349,30912,34020,36630,81267,22677,28698,102933,46767,23449,41288,62812,22640,10863,15988,20528,26120,31856,36375,22487,23496,24220,32993,12889,68837,33184,30947,33890,20970,21608,28605,56510,51529,46395,16227,35148,35867,66617,67824,55639,43010,96040,88936,59501,43008,74479,32179,11348,27200,36779,28389,55831,58377,21991,11971,41239,436937
2013,6878,46455,76190,16289,37820,50700,21869,26604,13846,65316,67505,22313,42673,38116,36247,13478,27538,25488,5677,10782,6256,7247,9667,10999,42144,12550,19399,57473,25752,23904,18873,27277,35289,21951,22611,168196,99773,69742,63459,210886,38116,36382,31663,60844,43278,59569,107091,57526,28046,94824,164628,29414,37279,35570,56713,67527,39100,71783,41587,13649,63211,31050,39507,33542,26779,77495,50137,73081,18699,36278,38690,16759,103779,3077,6999,10599,8417,29349,5260,4758,11142,3665,9983,9980,9493,59058,22703,12882,68502,19124,8302,35785,212389,57098,40363,18453,212865,105063,28311,151851,29205,1718,1536,43814,37219,62833,30828,32365,1085,578431,33308,41874,46587,62028,34172,39452,94031,50782,49454,25214,94797,78291,42337,84100,77080,15922,185377,31693,60210,137007,7720,21489,45855,84532,17028,17616,11071,12816,16679,15762,28679,132857,121153,4570,44901,344333,31221,6291,98303,70139,10904,31539,86495,32791,20554,18047,144021,34074,141929,106931,21384,38539,179931,57869,38468,33458,19596,9707,29930,16533,12464,32455,59404,10700,51884,118579,125824,10278,88788,32459,62164,10498,27984,29949,34320,15088,15445,41944,152128,53176,85599,27292,27022,16551,15579,66336,25585,15180,58181,14476,30659,18497,39442,62544,9101,40735,79491,13793,4637,5104,32482,31900,29600,32659,35244,77347,21762,27439,99428,46410,23201,40080,60932,22391,10714,16077,19489,24748,30749,34949,21543,22283,23456,31824,12490,66521,32358,29899,32596,20226,20974,27341,54820,49543,44261,15708,33862,34644,64791,64666,52340,40721,92048,85887,57315,41216,71105,30656,11254,26264,35694,27804,53493,55324,21112,11434,40131,408052
2012,6723,45821,75013,16237,37647,49713,21784,25946,13415,65427,66951,22250,42145,37565,35732,13156,27520,25459,5667,10768,6317,7134,9701,10875,42261,12662,20920,56471,25308,22888,18734,26680,33764,21534,22995,166391,99718,68826,62743,205439,37616,36165,31615,60647,43236,58718,105577,56796,28004,94107,162532,29049,36502,35303,54132,67210,38838,71753,41490,13292,63297,31275,38401,33634,25855,76829,49811,71532,18774,35548,38047,16600,105187,3040,6900,10040,8603,29292,5362,4753,10802,3700,10166,9793,9387,59092,23415,13248,69683,19183,8369,35595,215481,58481,41019,18410,214333,105773,28223,153085,29080,1689,1513,43744,38108,62185,31583,32556,1078,560719,32827,41759,45691,60785,33519,38563,92202,49995,48355,25118,91951,76736,41219,82747,74665,15557,180338,30998,58631,133870,7429,21494,46339,82194,16328,17045,10809,12232,16605,15115,28333,131468,124316,4608,46956,347954,31883,6388,101032,71924,11111,32836,88337,33456,20542,18047,147202,34847,142958,107560,21584,39716,183054,55307,36458,32450,18611,9388,28807,16469,12141,32278,58965,10644,51393,116049,125588,10332,88049,32056,60164,10320,27673,29086,33045,14597,14826,41540,148785,52152,86411,26799,26233,16828,15150,64567,25450,14961,58304,14413,30051,18299,39414,62177,9140,40743,79775,14001,4625,5090,32544,32556,29537,31206,34200,76250,22311,28040,99353,46615,23206,39992,60371,22750,10966,16574,19524,24790,29180,34736,20978,21816,22884,31721,11973,64496,31356,29765,31795,20532,20446,26989,54063,48400,42880,14932,33091,33764,63473,63790,50653,40481,89959,83058,56235,40674,69286,30201,11219,25239,35079,27270,52275,53444,20393,11053,39817,396777
2011,6263,43772,72258,15730,35575,47376,20547,24262,12821,63746,64449,21579,40828,35517,34435,12851,26928,24862,5591,10485,6226,6800,9218,10198,41905,12148,21237,56354,24773,22820,18723,26855,32780,21394,22790,161907,98728,67787,61851,199143,37443,35355,31018,58796,42544,56806,104133,55624,26795,92411,161557,28939,35980,35088,53156,66242,37461,70146,40879,13047,61521,30877,37621,33305,24752,73786,49013,68673,18241,34839,37566,16078,108790,3172,7115,10468,8781,30267,5192,4968,10724,3749,10355,9992,9488,59827,24074,13493,69844,19526,8480,36346,213191,59021,41551,18821,214522,107874,27894,155012,29195,1698,1527,43987,37707,61815,30941,32085,992,549688,33734,41434,45265,60556,33850,38661,92687,50488,48578,26130,91054,75908,40406,81996,72431,15541,179104,31005,58411,130553,7366,20892,45538,82086,16528,17195,10784,12208,16338,14894,28476,129220,125810,4477,46795,346882,31321,6431,99367,70001,10927,32739,86811,32775,19365,17695,146560,35202,141836,105785,21738,39763,184284,51493,35613,30179,18142,9087,26841,16446,12080,32924,59711,10615,51131,114955,123892,10402,87553,32362,55837,9968,26250,27266,31150,13579,14259,39400,140365,49805,83477,25385,25069,16356,14720,60880,24258,14243,55704,13930,28774,17544,36736,60877,8946,40082,80451,14034,4579,5318,29219,29372,27133,28198,33175,72899,21136,26504,95764,45189,22806,38938,59472,22154,10823,16332,19493,24664,28424,33290,20083,20696,22284,30697,11351,61399,30193,27356,32202,19937,19968,26195,52687,47099,41477,14429,31244,32891,60747,61208,48754,39619,85642,77261,53715,38921,67385,29092,10449,24317,33717,26384,50506,52887,19130,10904,38473,379659
2010,6028,41885,70299,14933,33959,44957,19661,23155,12230,61019,61995,20442,39232,34433,33225,13673,25688,23593,5390,10246,6203,6754,9041,10175,40796,12105,21541,55575,22943,21900,18179,25555,30728,20135,21212,152292,94105,63757,57972,185152,35062,33116,29334,55642,39447,53213,98909,53786,25759,90746,155109,27762,34854,33777,48700,62693,35680,66632,38991,12243,58535,29031,36174,31805,23152,70954,46247,67933,18019,33817,35747,15803,120122,3463,7869,11810,10002,33002,5416,5361,11783,4341,11605,10769,10254,60663,24328,13645,69871,19422,8525,36602,210577,59103,41733,19177,216296,108858,27866,155447,29770,1690,1514,43880,35632,60744,28871,30471,962,542673,31498,40048,43614,58442,32512,37121,88952,49035,46584,25239,86055,72347,38629,78099,68892,15106,170712,29610,55829,127328,7050,20269,43682,80705,15668,16261,10497,11889,15521,14003,26456,123948,122652,4392,45710,338557,29936,6415,99240,68511,10566,32281,86738,32443,18672,17232,141668,34423,135822,102926,21483,39074,180222,47441,32703,27804,18368,9014,25622,15555,11702,31521,56968,10371,50239,112279,123002,10042,83876,31146,52768,9067,24737,25533,29255,12668,13485,37088,131522,45951,78139,23665,23289,15603,13822,56915,23167,13597,51700,13157,27380,16576,34282,61388,9105,40628,81683,14245,4631,5326,28871,28730,26927,27250,32059,65711,20360,25780,89917,43232,21748,37989,57095,21693,10901,15965,18903,24228,28331,32198,20155,20113,22684,29611,11788,62904,30608,27820,32642,20400,19529,26312,51888,45504,41881,14119,30402,32198,60164,60344,49183,39413,82986,77978,53312,38379,68680,28768,10346,24695,32666,25623,50631,52688,18342,10612,38350,360884
2009,5681,40072,67491,14273,32427,42723,18326,22237,11659,56837,57292,18931,36584,32601,30922,11572,24013,22197,5054,9474,6298,6827,8955,10220,39200,11787,20789,54189,22719,21474,18443,24836,30237,19810,20508,133923,86331,58064,51758,171302,31278,29912,27184,51708,36053,48876,92158,49963,23518,84964,145734,25982,32202,31947,42654,58290,33403,61091,35919,11507,53594,26644,33921,29406,21567,67343,42354,61304,16824,31713,34764,15233,125084,3661,8194,12410,10035,34979,5433,5418,12739,4529,11742,11220,10688,60153,24091,13580,68842,19300,8429,36192,211536,58794,41570,18847,214183,108965,27727,155118,29469,1659,1491,43143,34161,58293,28498,28792,957,501101,30573,38506,41548,56419,31305,36642,86443,48344,45862,24571,83239,70174,37008,74695,67543,15066,162827,28472,54008,119768,6707,20490,44130,77387,14443,14659,10258,11613,15222,13713,26253,116600,116512,4141,45377,319517,28727,6362,99102,66423,10558,31957,85438,31948,17809,16630,137155,32798,130917,100448,20841,38483,176197,43493,30074,27391,17512,8421,23634,15300,11715,31171,56299,9886,49676,108187,120789,9437,80196,30101,49261,8467,23213,23843,27379,11794,12719,33626,116754,42100,71094,21483,21388,14506,12629,52828,21333,12448,45266,12232,25002,15144,31520,58447,8847,39125,78680,13473,4429,5149,27927,27555,26117,25356,31346,60616,19194,24019,85895,39941,20120,35235,52990,20003,9918,13239,18505,23703,26342,30211,18728,18621,22523,29804,11376,62965,30680,27864,32934,21512,19418,26167,52749,44283,40837,13765,29599,31556,59254,59202,50034,38766,81442,76234,51810,37575,66342,28945,10402,24318,33385,25908,52491,54898,18346,10946,38688,356994
2008,5813,42331,69870,15216,34243,45416,19302,22976,12253,57830,60427,20362,37147,32850,32135,12133,25547,23051,5252,9732,6909,7337,9835,10609,40407,12314,21460,56279,24062,21495,18601,25746,31179,20505,22061,151127,94060,63647,57728,181082,33192,32016,28185,54419,39092,52249,95450,52900,26618,91622,158195,29079,34726,33429,47603,62836,35326,65746,38333,12225,56830,30510,36065,31957,22631,71800,45685,63857,17659,33904,36262,16005,130060,3915,9119,13157,10531,37112,5350,5748,13579,5039,12664,12123,11257,63548,26022,14405,73435,20327,8977,38633,219154,61930,43812,19693,226715,117702,29498,165029,31606,1707,1531,46191,37612,61964,31854,32486,924,527325,32820,40464,43732,58474,32670,38674,90258,50567,47713,25815,86888,73267,38249,76195,68985,15580,170704,29722,55265,123185,6589,22670,48219,78409,16212,15735,10573,12426,15338,14491,28240,125724,127962,4445,48805,343319,30580,6695,104509,69857,11462,33507,89940,33609,18366,17335,145852,35591,141523,105113,22755,40593,183469,51957,32451,33740,17325,8528,27641,16274,12827,32772,59328,10780,50907,114898,129905,10427,86476,32812,54247,9321,25397,26247,30055,13032,13946,33490,111741,41496,70301,21692,21196,14799,12251,50583,21391,12352,43866,12568,25027,14825,29871,60713,9443,39991,80952,14175,4525,5353,28967,28426,27076,26479,31776,68179,19950,25451,88312,43537,23250,38780,58837,22474,10672,15682,20713,26021,26326,32956,20345,20569,23886,32437,12287,66176,33182,29865,33910,21606,21078,27810,56223,47959,44124,15059,32266,34911,64106,63814,54535,41806,87278,80785,55111,40982,70030,30676,10939,25855,34319,27479,54855,57550,19292,11464,41926,376325
2007,5791,41609,68685,15158,34065,44287,19294,23081,12047,58117,60225,20129,37271,32807,32599,11505,25060,22725,5252,9534,6696,7047,9070,9754,37133,11846,19828,56233,24141,22747,19030,26614,31437,20485,22276,154916,93221,62988,56848,185762,33164,31515,28311,53548,39384,51548,92402,51854,26611,90169,158657,28708,35049,32988,48199,61953,34990,63778,38208,12068,56845,30583,36481,32158,22349,70512,45880,61837,18099,33313,35417,15700,126464,3731,8675,12646,10056,36075,5621,5678,13269,4838,12695,11926,11053,62635,25885,14308,72501,20003,8869,38124,216676,62186,43113,19472,226555,117166,29121,165564,31176,1695,1516,46398,36562,60103,31505,31771,947,502195,34048,41814,45462,61438,33605,39684,90454,52807,47893,26604,87040,76080,40037,78788,69663,16491,169902,31316,55313,126116,6388,22063,46045,75173,16049,15288,10176,12437,14887,13772,30689,136130,128001,4319,47909,331319,29901,6868,104420,70697,11518,33048,88975,32737,17828,17144,146068,35981,139987,104343,22522,40952,183561,50544,32267,33924,16099,8209,23461,16044,12657,31691,58381,10915,50215,113281,128530,10121,85192,32841,51195,8687,23938,24686,28295,12242,13202,32481,109698,39994,67495,20787,20261,13925,12158,48991,20589,12354,42997,11986,24446,14469,29823,60524,9411,40833,80653,14533,4431,5295,27096,26105,24388,23848,27685,54467,18119,22476,87845,43701,23076,40437,58072,22538,10279,15057,20102,25222,25035,31290,18504,18671,24330,33710,12098,69404,34700,30730,34354,22585,22038,29606,57624,49510,45674,15139,33106,35360,67778,65279,53561,43375,88620,82720,56211,41180,71551,31263,11278,26628,35817,29603,57738,58970,18264,11524,44361,381696
2006,5569,39357,67195,14379,32354,42414,18185,22263,11437,56185,57245,19069,35118,31291,30928,10883,24115,21760,5143,9204,6134,6451,8119,9208,30916,10866,18206,50142,21831,21633,17680,24526,28399,18838,20301,144693,88675,59869,53249,174840,31273,29360,27291,50999,37487,49875,87727,49471,25509,86578,152057,27115,33583,31068,45290,60564,33166,60128,36736,11500,53719,29022,34618,30613,21261,68318,43655,59252,17605,31637,34034,15067,121450,3539,8356,12447,9477,34398,5734,5575,13053,4691,12488,11775,10620,57719,24009,13250,67420,18605,8209,34748,200607,57695,39204,17958,210051,108848,27028,153861,28696,1580,1434,43423,33154,54924,29215,29618,921,465035,32133,39500,42720,58585,32223,37273,85888,50703,45023,25388,82261,72919,37754,75045,67940,15794,162225,29613,52552,121241,6096,19441,42029,71647,15319,15304,9906,12286,14733,13709,29100,123826,121885,4130,44659,312746,28209,6493,99309,67890,10890,31680,85711,31215,16778,16035,137854,33887,131108,98392,21359,38564,172985,44524,29737,29954,15256,7785,23387,14848,11669,29433,54746,10079,46575,106574,119218,9148,80329,30452,48948,8255,22873,23562,27020,11677,12644,29255,98294,36292,61190,18523,18484,12333,10745,44289,18798,11190,38207,10530,22058,13145,26795,56922,8807,38950,76412,13986,4219,5044,23370,22689,21591,22119,24985,45931,16290,19897,79734,40434,21292,35750,54212,21421,10012,14753,18808,23448,21564,28073,15989,16639,24251,33849,12141,68157,33706,30308,34886,21651,21438,28262,56616,49344,43936,14797,33871,35125,66866,65900,52991,42376,86810,81524,54343,40520,68017,30734,11360,26422,35546,29002,56519,59370,16598,11507,42525,364486
2005,5349,36939,63298,13659,30738,40106,16971,20900,10818,55269,55649,17975,33652,29574,29265,10415,23321,20863,4850,8736,6170,6268,7346,8975,26630,10181,16936,46733,19736,20171,16828,23137,26599,17693,19534,133859,83615,56367,50396,166889,30029,28196,25700,48924,36115,47208,84031,47092,24212,84783,146389,26208,32181,30071,43671,57337,31672,56751,35148,11107,51314,27709,33322,28832,19793,65860,41707,57664,16523,29186,31101,13939,110206,3278,7807,11563,9220,31513,5578,5290,11988,4441,11396,11412,9802,52648,21831,12219,61494,17104,7499,31624,181752,53459,35538,16645,191481,99044,24727,141108,26110,1455,1323,40223,31834,51530,28223,28228,897,450459,31385,38719,41486,56692,31107,36006,82236,49255,43497,24832,79459,70120,36489,71341,63563,15268,154088,28735,49971,115977,5724,18484,39262,67002,15147,14358,9765,12120,14266,13490,26193,114602,115942,3952,42827,299991,26646,6035,94543,64324,10187,30363,81476,29626,15688,15278,131560,32037,122892,93156,20116,36088,165292,40820,26111,26425,14036,7576,20749,13990,11142,27771,50710,9025,44021,101384,112789,8689,75295,28817,44829,7773,21241,21710,24986,10709,11863,27572,91536,33388,58466,17650,17477,11392,10270,41986,17765,10568,34537,10114,20671,12444,25111,54070,8243,36982,72719,13104,3991,4757,20030,19284,19088,19353,21671,40605,13971,16699,75568,37681,19373,33498,50034,20165,9627,13392,17928,22060,20246,24195,14389,15468,22683,32999,10904,65183,33189,28071,32441,21036,20824,27095,54247,47777,41784,13908,31460,33964,65590,60678,52724,40273,85361,76592,52146,39705,66892,29362,10346,25522,34178,27808,52726,57649,15063,11486,40108,353083
