TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,191910.00,1134490.00,1573240.00,432520.00,979050.00,1179240.00,509480.00,627290.00,295860.00,509428.00,593837.00,697061.00,752595.00,2001073.00,1074436.00,1645000.00,986000.00,1009000.00,837000.00,1196000.00,1420000.00,943000.00,922000.00,3133365.00,2051983.00,1577574.00,1338186.00,3652409.00,866621.00,812005.00,769926.00,1334897.00,942789.00,1317243.00,2487292.00,1540297.00,553553.00,1642856.00,2951576.00,662865.00,849401.00,1030493.00,1091741.00,1468103.00,954969.00,1725456.00,954025.00,336791.00,1301243.00,685569.00,1118817.00,1013373.00,718328.00,1812765.00,1511411.00,1420962.00,453658.00,812087.00,901775.00,398743.00,3031605.95,154321.44,301979.42,516219.54,413749.35,1295229.38,175320.61,245136.75,530166.67,175469.91,490967.09,388596.42,444939.12,1006223.95,1365977.62,829496.35,895542.88,30729.60,8022883.90,849424.27,1123043.37,1199937.90,1650873.87,961306.87,1046375.67,2393583.73,1362376.10,1291896.00,674255.73,2387585.17,1955923.87,1067634.47,2205542.37,1726265.87,425720.73,3792102.93,801079.10,1556095.80,2778375.13,197824.87,2983814.35,719345.84,723260.32,494751.27,606130.89,786988.69,740408.07,810414.06,2605323.54,3150602.10,110532.60,1109092.20,7829487.10,896748.40,197967.80,3176402.20,2367601.80,334114.30,1094986.60,2642113.00,1020046.00,473405.10,432188.70,3710537.00,895970.50,3543997.40,2805607.90,626055.50,1068248.90,4329019.80,2378689.01,580125.10,1713053.00,393411.07,381310.00,420082.00,311884.00,804570.00,1431104.00,248998.00,1030487.00,2203989.00,2602610.00,254176.00,1900677.00,782948.00,2823412.60,344633.24,1774621.85,2445357.31,511131.77,175665.79,194290.94,2144462.40,1627803.20,2663711.80,1745151.30,2122592.90,2115743.10,1635575.70,1425211.60,740102.54,789802.25,750759.00,1326310.00,907608.00,899144.00,801110.59,993566.98,374489.23,1961815.21,1057009.06,719817.47,1065931.24,661441.78,649575.56,944212.30,1612266.66,1552326.59,1360375.36,538846.72,1077725.67,1239123.61,1855350.51,1908512.29,1486634.27,1391511.87,1965861.93,2205775.91,1506978.67,1341388.94,1895440.69,989153.48,380195.93,821020.03,1336235.89,858013.22,1560618.13,1701061.19,436163.04,348106.10,1360142.11,6940843.31
2012,191560.00,1132860.00,1578260.00,440440.00,988630.00,1190520.00,513220.00,630830.00,292730.00,514160.00,595065.00,695806.00,765334.00,1997629.00,1082978.00,1640000.00,991000.00,1019000.00,853000.00,1201000.00,1399000.00,961000.00,931000.00,3096266.00,2039375.00,1563183.00,1326158.00,3609224.00,866317.00,810266.00,773424.00,1340157.00,946400.00,1322364.00,2482747.00,1569384.00,556211.00,1645352.00,2960352.00,666903.00,852471.00,1059529.00,1086283.00,1465916.00,957151.00,1720055.00,958169.00,339852.00,1308237.00,698557.00,1124851.00,1032541.00,716441.00,1824111.00,1540384.00,1392392.00,450428.00,804935.00,884033.00,394628.00,3154217.45,157484.04,318525.43,528284.95,428566.47,1324442.17,182784.43,259756.00,546253.76,182888.18,505464.87,392609.70,456485.20,1031217.27,1361891.67,845159.18,915660.88,29758.18,8042080.30,848636.10,1122192.20,1200085.30,1650611.10,960440.20,1045791.60,2394860.50,1362187.00,1292201.90,673747.30,2386343.20,1954993.10,1067350.80,2204771.20,1727470.20,425679.00,3792674.10,800771.10,1556474.50,2780079.00,197980.20,2916965.20,732861.36,725949.73,494354.57,599311.56,787443.65,757481.22,772218.60,2547311.22,3260208.40,113426.10,1171119.70,7998388.80,930032.10,201805.70,3273319.00,2451838.80,346683.70,1146657.90,2724205.50,1056200.50,480621.20,437255.90,3827070.50,918546.20,3597439.00,2855191.80,640102.50,1107681.20,4396297.70,2648951.95,573511.00,1680177.00,383589.99,383815.00,423517.00,313918.00,812537.00,1443643.00,250922.00,1040723.00,2221304.00,2624023.00,256102.00,1916501.00,788782.00,2871718.77,355188.47,1833173.05,2494935.61,527108.07,182468.17,202215.88,2153456.20,1627399.10,2701381.50,1804704.70,2091227.50,2148925.20,1693239.00,1440998.20,745751.83,787212.52,779500.00,1351181.00,906144.00,915939.00,781638.44,1009510.84,378859.84,1931191.13,1060055.13,731177.79,1025605.98,660064.78,641348.39,926503.30,1589812.08,1565477.91,1357743.20,549599.85,1054052.02,1203848.70,1789195.03,1919203.99,1444438.82,1344924.23,1924266.88,2200744.21,1493408.08,1275769.08,1878207.71,954637.05,375273.09,827789.82,1303328.24,835214.32,1555068.36,1670494.99,421214.36,343586.61,1328194.19,6720777.71
2011,194430.00,1151750.00,1562010.00,447510.00,1003970.00,1185680.00,509270.00,632120.00,293750.00,522649.00,615150.00,704601.00,793430.00,2041465.00,1115630.00,1650518.00,1018410.00,1034624.00,882899.00,1226248.00,1407659.00,963757.00,922984.00,3077625.00,2040298.00,1561078.00,1326107.00,3590448.00,862484.00,811435.00,776235.00,1337945.00,948808.00,1316831.00,2461500.00,1592794.00,554734.00,1635560.00,2969143.00,669439.00,857597.00,1088082.00,1078195.00,1465838.00,957790.00,1710140.00,969246.00,344077.00,1309321.00,707968.00,1134840.00,1050661.00,715884.00,1832531.00,1564835.00,1408950.00,462277.00,824687.00,902671.00,399695.00,3401674.09,158374.66,313553.28,561675.53,437878.21,1398347.16,191470.96,261709.12,554458.03,181205.32,548094.05,440847.08,479548.98,1037854.54,1328310.89,854617.84,926667.58,30432.73,8061773.50,852411.40,1127088.30,1204821.80,1657081.80,964759.60,1050059.70,2403572.30,1367591.30,1296988.30,676736.00,2396277.40,1962749.10,1071500.00,2213712.50,1733348.10,427291.90,3807433.30,804015.40,1562189.80,2789770.10,198570.70,2936802.26,752488.61,735956.62,513837.82,620108.22,772096.60,753989.04,789223.23,2541761.00,3345941.50,116061.80,1186159.60,8126923.90,962096.10,208841.70,3374943.90,2499389.10,366193.70,1209253.00,2830190.40,1086276.40,492230.60,444931.20,3900642.30,948845.70,3689085.50,2898714.60,655787.40,1179464.70,4517365.30,2648951.95,562139.20,1671254.00,387006.97,389795.00,430742.00,315885.00,823312.00,1458927.00,247762.00,1044742.00,2236337.00,2645708.00,258309.00,1931203.00,800469.00,3000111.38,379341.71,1932243.51,2634199.60,556498.64,195625.01,213668.57,2206928.10,1781479.50,3216799.00,2076356.30,2311203.00,2146309.00,1913714.90,1547078.60,767821.55,805564.23,770252.00,1370610.00,913546.00,905120.00,784780.78,960736.80,366922.69,1915856.24,1095572.16,694020.57,1011910.11,684820.90,620278.95,923829.14,1544312.04,1529662.84,1348587.20,557034.02,1020609.64,1168749.95,1787747.77,1871035.10,1419127.03,1311509.96,1912715.88,2138290.40,1430584.41,1303153.50,1821278.28,966602.41,375320.06,802916.21,1291489.30,832711.45,1528027.94,1692817.04,415548.41,357354.35,1322002.03,6514282.29
2010,187980.00,1125170.00,1535820.00,441400.00,983970.00,1160390.00,503140.00,618730.00,287180.00,537165.00,629564.00,740677.00,816497.00,2068224.00,1135688.00,1664162.00,1012617.00,1034504.00,887671.00,1220328.00,1403084.00,957142.00,921583.00,3006171.00,2002418.00,1529524.00,1297240.00,3522028.00,851564.00,794072.00,761861.00,1304246.00,937274.00,1291876.00,2428509.00,1594520.00,545566.00,1608329.00,2924773.00,656014.00,840855.00,1100615.00,1055416.00,1445082.00,947467.00,1673501.00,959480.00,339739.00,1290167.00,698850.00,1121176.00,1044954.00,707567.00,1807193.00,1548807.00,1383445.00,464571.00,816588.00,887523.00,394426.00,3641694.05,164061.62,296938.01,581736.51,481706.77,1513500.05,207958.34,282670.32,589869.52,182112.67,592791.87,459232.91,508777.27,1011843.83,1321163.17,852510.60,922397.63,29378.31,7964797.90,847225.30,1119849.60,1194906.60,1644928.70,958720.80,1043275.70,2382318.40,1357350.00,1286497.80,672283.90,2380134.90,1950029.40,1064052.60,2198143.40,1717979.30,424191.30,3776201.40,798450.80,1549623.10,2765276.30,196923.70,2952491.40,744091.85,721065.45,526718.60,613749.14,791713.75,759926.22,806695.05,2584623.99,3331566.30,116266.70,1174306.50,8112953.40,945433.70,209195.20,3421600.90,2463662.70,367050.50,1186440.80,2866323.10,1094460.70,491474.30,445615.40,3875649.30,948176.30,3659249.00,2914704.60,652186.30,1190233.50,4535407.10,2648951.95,546677.00,1632306.00,356939.22,386183.00,424993.00,315765.00,810161.00,1440849.00,247089.00,1042670.00,2197777.00,2648331.00,254450.00,1909485.00,787505.00,3078362.20,394763.76,1992678.44,2734991.59,572937.14,202839.66,224165.12,2127741.50,1786136.20,3119536.30,2094298.70,2474155.60,2079355.70,1855660.30,1499554.30,821455.84,795007.08,765091.00,1342701.00,902704.00,906355.00,811939.63,988238.71,400549.36,1887396.20,1085240.60,693028.53,1023682.03,644170.13,609401.33,907940.08,1569299.89,1546336.75,1352691.43,577784.95,1016570.76,1178986.33,1790588.69,1796712.42,1399760.98,1324857.07,1821073.71,2159500.78,1418428.94,1262606.64,1840801.88,934092.37,373421.18,799035.20,1262807.76,803841.07,1527407.85,1656868.03,416748.31,368129.12,1284420.83,6328037.50
2009,188730.00,1125460.00,1528240.00,442910.00,979900.00,1152670.00,500240.00,608900.00,285230.00,583351.00,660985.00,767213.00,864380.00,2102942.00,1193510.00,1705353.00,1025298.00,1004615.00,876041.00,1207781.00,1372819.00,976768.00,920907.00,2970728.00,1970616.00,1499427.00,1273920.00,3458259.00,832965.00,778068.00,747390.00,1282996.00,922835.00,1267870.00,2383914.00,1576555.00,540052.00,1580930.00,2902165.00,645069.00,820005.00,1098074.00,1034228.00,1425432.00,929363.00,1629212.00,950131.00,335605.00,1273932.00,682992.00,1101891.00,1025286.00,694850.00,1782465.00,1512346.00,1423611.00,479816.00,846034.00,913067.00,406345.00,3875303.06,165901.26,329084.43,617659.75,509890.49,1586421.01,223911.81,298050.42,631287.96,199894.84,605930.48,465705.04,541130.85,1021565.27,1326530.89,856481.04,914356.36,29485.94,7909507.20,845942.40,1117882.40,1191423.50,1640998.30,956691.70,1041127.90,2373590.10,1354340.60,1283214.90,672045.20,2375314.80,1944906.80,1061280.00,2189762.90,1710521.80,422999.90,3765472.10,796850.10,1541819.80,2750608.50,195788.70,3410828.74,801350.23,780325.91,594810.65,673531.03,858486.33,826984.95,848875.09,2706426.32,3359376.60,114153.60,1190029.50,8163258.10,946072.00,212316.30,3484662.80,2458818.70,374502.60,1212172.30,2924160.20,1111740.30,486089.80,444501.40,3836458.70,950214.70,3696772.50,2952626.10,654078.40,1185789.30,4487244.60,2648951.95,536349.00,1764264.00,358011.27,393504.00,421407.00,322655.00,817242.00,1447639.00,245969.00,1051448.00,2220586.00,2687637.00,253210.00,1910117.00,784675.00,3128034.71,411254.86,2039872.05,2718686.42,586446.48,205967.91,228788.39,2051971.60,1834348.20,3117235.50,2116041.60,2512662.80,2126424.50,1870594.10,1519463.50,809692.10,840352.38,799880.00,1334374.00,900354.00,887762.00,786174.02,993870.81,387374.96,1880447.08,1028022.71,696673.48,1005404.14,646614.91,615700.90,878692.63,1631011.74,1537011.13,1340200.43,559794.28,1030058.19,1203646.22,1745471.82,1850454.27,1366651.01,1352005.00,1880824.88,2084146.67,1442855.27,1293951.89,1859444.82,925643.75,367912.16,823757.62,1270671.92,825366.09,1580385.17,1713846.56,424800.01,380131.46,1304455.97,6293140.71
2008,194000.00,1167340.00,1577000.00,461090.00,1028140.00,1201640.00,515780.00,629820.00,293950.00,638658.00,721303.00,776689.00,958126.00,2135147.00,1230553.00,1709533.00,1019029.00,1042480.00,933243.00,1243514.00,1404182.00,1013248.00,948401.00,3150383.00,2071470.00,1585116.00,1344226.00,3545492.00,858156.00,804766.00,775384.00,1333057.00,957727.00,1309910.00,2397385.00,1596790.00,559836.00,1598829.00,2964766.00,666678.00,841590.00,1114323.00,1060413.00,1454503.00,944656.00,1652083.00,985015.00,345403.00,1312788.00,714173.00,1140590.00,1069554.00,711003.00,1830666.00,1567443.00,1446544.00,498903.00,884812.00,952693.00,422379.00,3945949.97,166575.52,330714.14,621648.78,520373.12,1640035.63,224159.34,302795.26,642984.21,206267.46,594646.35,490487.55,542119.77,1055317.41,1389826.38,887972.82,948010.58,31112.53,8106064.20,867927.90,1145513.80,1221480.90,1682358.90,977881.80,1065827.10,2433257.60,1387399.40,1316199.70,690233.10,2435213.90,1990227.60,1085222.50,2237005.40,1749938.30,432140.50,3861265.40,815074.90,1571532.50,2807250.40,198693.50,3569169.82,833861.38,826055.09,600672.29,683000.60,854459.51,850187.07,944194.58,2981921.68,3475399.70,115741.10,1217737.90,8460982.00,992811.40,223192.90,3648416.80,2593421.40,395600.30,1254976.50,2985644.70,1156847.40,487889.40,446672.10,4013498.20,999118.20,3819027.90,3037306.10,686549.70,1225019.40,4556783.10,2648951.95,548645.10,2112513.00,357515.12,399088.00,432078.00,336303.00,818890.00,1477491.00,250054.00,1044471.00,2234224.00,2729876.00,256796.00,1950553.00,806492.00,3235466.25,426863.12,2107265.88,2761953.44,607909.38,208585.78,235165.28,2098252.90,2009757.70,3060759.10,2164400.70,2714138.40,2157289.00,1842211.20,1546359.70,834611.99,840407.49,779703.00,1393004.00,929511.00,927706.00,832764.47,1029955.95,403034.37,1929569.76,1075846.02,715112.32,1019249.36,657875.77,616647.65,934490.80,1649119.37,1558474.67,1392509.54,565660.52,1069639.96,1215637.86,1785274.73,1839657.46,1419831.74,1348110.09,1954819.13,2154497.60,1486988.56,1302035.40,1898753.49,955221.09,396690.03,854058.80,1320534.68,842060.11,1602640.92,1757344.56,426122.25,371087.62,1181497.90,6364326.12
2007,192300.00,1152000.00,1554670.00,458030.00,1013730.00,1186530.00,502830.00,614920.00,291670.00,639268.00,699892.00,765951.00,898363.00,1998242.00,1164255.00,1593118.00,1007493.00,1020386.00,891605.00,1243364.00,1386261.00,1019349.00,926020.00,3083322.00,2030974.00,1552406.00,1314666.00,3482343.00,843496.00,791527.00,764330.00,1309790.00,941146.00,1283377.00,2401251.00,1608023.00,561243.00,1580378.00,2956433.00,660756.00,843713.00,1130401.00,1058635.00,1444966.00,939810.00,1627442.00,970043.00,338335.00,1284275.00,713599.00,1157947.00,1085559.00,717721.00,1811351.00,1585956.00,1416615.00,501588.00,881059.00,952556.00,420075.00,3904073.77,165243.88,317932.88,608014.89,517167.29,1676465.08,217696.91,287748.77,652779.64,198545.00,591315.36,480704.55,504649.57,1040015.25,1352647.70,874760.99,939756.77,30545.39,8008803.30,863081.20,1137229.20,1210203.10,1669100.00,970726.10,1057669.30,2409286.60,1374164.60,1303957.20,684541.70,2419063.50,1976248.90,1076784.00,2221570.00,1731350.80,427731.20,3825529.90,807447.90,1556974.40,2780026.70,195939.70,3225023.73,796470.11,787667.68,547870.24,653648.07,801373.47,797188.20,967811.03,3028254.07,3490683.10,117718.30,1227078.80,8418372.20,983571.40,224482.10,3701680.80,2633677.20,406549.20,1273503.30,3021445.90,1161167.90,485336.20,446568.20,4012424.10,1002255.50,3808276.90,3050175.90,684431.30,1225265.00,4601240.00,2648951.95,523548.70,1998546.00,347420.39,396052.00,430101.00,327324.00,810585.00,1449499.00,246083.00,1032022.00,2206173.00,2669862.00,254365.00,1913689.00,793398.00,3278815.50,424993.05,2116628.05,2741829.59,610289.91,206509.15,235015.91,2151987.50,1889904.90,3163462.50,2157523.50,2609959.20,2110969.90,1920216.70,1584474.30,789076.92,825813.06,756451.00,1330790.00,918002.00,894148.00,840444.07,1056137.39,409215.56,1967759.34,1096644.07,713076.10,1032653.68,680643.63,624627.36,953953.80,1664668.87,1573891.47,1419678.47,558468.01,1048084.38,1218069.58,1889491.23,1821309.67,1374078.02,1392111.16,1943103.68,2163183.07,1501713.09,1341905.86,1882897.81,971312.32,367557.71,826729.76,1354228.07,841941.48,1600617.82,1782474.88,428356.19,387985.38,1207608.47,6201794.42
2006,192390.00,1141470.00,1527510.00,458060.00,998940.00,1170840.00,497150.00,609060.00,285700.00,634774.00,736262.00,749750.00,909584.00,1851170.00,1093145.00,1616207.00,968667.00,1010627.00,903217.00,1234494.00,1348386.00,989292.00,904199.00,3036698.00,1987507.00,1519799.00,1280332.00,3401155.00,826970.00,773567.00,752995.00,1281962.00,921460.00,1256258.00,2358281.00,1581277.00,553347.00,1543847.00,2931402.00,651517.00,833423.00,1113007.00,1048686.00,1431520.00,918307.00,1585985.00,951436.00,331150.00,1259481.00,714717.00,1142297.00,1075068.00,705080.00,1784345.00,1563356.00,1409363.00,512002.00,862216.00,954010.00,412137.00,3870511.64,161976.13,300508.35,600038.73,509773.81,1670635.49,218917.01,285752.70,649820.71,198313.76,586398.05,488151.90,514891.10,1015020.36,1318723.45,862254.33,925401.61,31277.10,7780792.80,845324.50,1112767.70,1180827.80,1631044.80,948850.40,1034306.00,2350025.10,1341358.50,1272796.60,669379.60,2366123.60,1932632.80,1052020.40,2171486.80,1686967.60,417260.00,3732239.30,788400.90,1517809.90,2707906.40,190315.90,3435816.26,823695.01,817832.09,576440.57,674388.33,828391.40,829307.74,932616.80,2924586.33,3451010.70,114897.90,1194443.40,8339459.10,971445.00,217762.80,3731461.80,2558572.40,400027.10,1277645.60,3028904.30,1127937.60,476262.00,435628.90,3946937.80,986129.20,3701014.70,2988605.10,665684.00,1210851.30,4445492.30,2648951.95,497036.70,1954401.00,332239.28,390747.00,420729.00,320692.00,785983.00,1403964.00,233150.00,994932.00,2154228.00,2594983.00,247789.00,1859935.00,767977.00,3257061.95,417871.68,2102059.94,2697591.49,610669.75,203734.43,236880.03,2140772.00,1876684.90,3132650.80,2153074.70,2575684.70,2065175.60,1915776.30,1581928.50,770492.61,803814.43,721230.00,1288207.00,873171.00,901220.00,825278.22,1026984.18,368287.09,1993141.71,1081070.44,702945.88,1047498.88,674376.35,619329.23,933225.96,1685624.42,1588695.30,1424342.25,551196.99,1047045.69,1220957.36,1823045.30,1851821.80,1392858.14,1349567.59,1873926.17,2126732.66,1486578.58,1288151.73,1874218.66,928761.33,393166.44,821382.11,1349602.95,838021.33,1556190.84,1776438.13,408836.25,380222.68,1181030.88,6019388.69
2005,190590.00,1140370.00,1513680.00,451180.00,993650.00,1166340.00,489000.00,605850.00,281520.00,626694.00,728911.00,733132.00,895093.00,1739361.00,1074227.00,1564502.00,942499.00,1022446.00,913005.00,1251453.00,1352849.00,979088.00,918640.00,2993065.00,1958425.00,1493413.00,1257363.00,3345143.00,811370.00,756140.00,741259.00,1256659.00,904610.00,1232230.00,2304385.00,1555626.00,541703.00,1505818.00,2894961.00,642826.00,821131.00,1088488.00,1040345.00,1412530.00,904756.00,1544298.00,935678.00,325413.00,1236860.00,709926.00,1119665.00,1058329.00,681133.00,1753225.00,1532088.00,1377890.00,498126.00,842836.00,925524.00,402755.00,3845015.46,157727.46,296354.60,592021.14,505971.91,1626235.08,205981.26,275833.57,670374.59,201348.60,574513.15,469948.44,505499.58,1000274.21,1289571.98,856561.89,911859.98,30334.51,7793373.80,852049.60,1120818.50,1186926.90,1641218.30,954875.10,1041472.20,2360984.00,1348497.30,1280122.70,673998.70,2382217.00,1945118.90,1058448.80,2185062.70,1692980.00,419281.10,3751715.60,792802.90,1524209.70,2718927.20,190544.20,3607922.45,850318.39,844049.80,604648.51,696286.49,844859.33,853100.73,899210.90,2796180.34,3391727.40,112798.20,1158982.80,8200786.80,949311.50,211126.10,3719049.20,2487083.40,394756.50,1265178.10,2933779.80,1110943.20,465838.00,427417.80,3849160.70,957411.30,3608286.30,2912936.30,654647.80,1189063.60,4382865.00,2648951.95,478239.80,1846728.00,327611.07,390729.00,420392.00,316682.00,774648.00,1375944.00,225214.00,967158.00,2103440.00,2545214.00,249562.00,1810730.00,763919.00,3264344.11,416807.95,2117703.47,2691667.43,618150.11,200953.15,237128.06,2109347.80,1832262.80,3120351.60,2117859.40,2537478.30,1980906.60,1927598.30,1545502.40,778096.88,798879.51,722498.00,1256465.00,857399.00,859939.00,801572.65,1020080.45,363480.70,1967101.12,1114000.76,699441.10,1054962.82,689226.82,632984.51,952726.53,1651827.60,1595110.32,1362331.49,552276.27,1035094.44,1222635.30,1832461.03,1827569.49,1402630.42,1356417.24,1900405.74,2119575.57,1460224.65,1273985.76,1858574.45,917165.93,384876.42,837260.56,1326432.21,844027.63,1620932.50,1701595.29,390451.11,311773.07,1149832.92,5996858.93
2004,191490.00,1147120.00,1515820.00,453460.00,995330.00,1159880.00,490030.00,604520.00,281630.00,614987.00,679465.00,693320.00,990825.00,1639445.00,1044156.00,1496119.00,952413.00,997018.00,904566.00,1228635.00,1337084.00,971270.00,886750.00,3012774.00,1962949.00,1500254.00,1259319.00,3351016.00,817921.00,762304.00,746255.00,1269048.00,909835.00,1239542.00,2320264.00,1580400.00,543798.00,1501034.00,2914373.00,650414.00,834986.00,1101984.00,1057922.00,1425644.00,913767.00,1551731.00,942366.00,325365.00,1242287.00,714597.00,1136850.00,1085248.00,691933.00,1765506.00,1561755.00,1359802.00,495792.00,837315.00,912672.00,404144.00,3689448.00,158586.21,288958.79,575239.24,487609.71,1557048.42,210413.51,274948.07,666033.78,190324.97,566966.40,453982.23,468696.42,986560.63,1267293.70,848183.92,918317.47,29153.27,7749537.50,851364.60,1119828.70,1183801.80,1638154.40,952878.30,1040194.00,2354217.70,1345845.50,1277647.90,673818.70,2378257.70,1941430.20,1056045.00,2179088.00,1686848.90,418280.90,3742194.60,791427.90,1517819.40,2706933.00,189500.70,3733279.88,875476.38,866216.61,627985.03,712593.64,858343.12,876611.35,855152.03,2652383.45,3357445.80,114192.80,1138983.80,8209383.60,924747.10,213391.80,3756683.40,2495066.30,401761.90,1273323.30,2870325.60,1108548.50,466989.30,427235.10,3837783.60,955349.50,3581265.10,2899716.70,645447.00,1176412.90,4362471.40,2648951.95,472546.10,1804423.00,312391.61,393734.00,418257.00,316486.00,771464.00,1371996.00,222191.00,967064.00,2116812.00,2552354.00,252385.00,1818326.00,777851.00,3285592.58,414451.13,2146615.91,2673180.41,618878.69,198376.09,241799.31,2142814.20,1891679.40,3107379.50,2140187.70,2534631.30,2032371.80,1924771.50,1597414.90,811589.66,810384.36,667809.00,1228856.00,813867.00,870538.00,810253.37,990533.51,362969.89,8404.32,1914209.95,1069625.70,699215.47,1047200.06,683502.52,611547.51,920173.91,1641414.13,1606575.01,1306000.05,510614.45,1004967.89,1208881.71,1801737.12,1809181.95,1355653.23,1402783.90,1825600.93,2069940.21,1472615.82,1225127.31,1839253.02,929338.26,359069.71,816112.30,1307325.90,844766.61,1598669.79,1711950.35,376663.77,1111149.54,5807429.22
