TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,1803.00,12355.00,17777.00,3907.00,9345.00,11739.00,5415.00,7043.00,3252.00,552.68,519.23,827.23,1545.42,4113.19,1320.93,10946.88,5078.21,4037.41,3438.61,3682.33,5170.55,3278.87,3812.51,40104.61,20842.60,16180.54,16340.29,58596.02,8289.00,8054.85,6069.76,15667.50,8248.80,14194.90,21631.62,13521.82,4882.85,21967.54,32278.30,6016.33,7358.75,8168.35,12605.64,13316.46,9838.74,17957.49,8783.51,3810.98,14228.15,5741.26,9218.25,7025.98,6416.29,15652.41,11093.76,18033.09,4502.34,9511.66,10163.05,5124.77,8583.75,353.24,627.52,1338.38,1083.20,3191.79,1063.54,459.03,981.31,297.59,999.87,1437.22,1269.26,9283.78,17417.67,7040.47,8792.53,269.26,143809.09,8607.57,10720.06,11646.54,15784.78,9272.93,9856.24,23072.31,12619.43,12238.79,6677.72,23727.25,19867.64,10661.47,21041.65,18759.31,3862.01,46295.06,7953.93,14933.30,33136.30,1651.77,7580.27,2338.81,2809.68,1638.61,1709.62,2491.50,2181.17,5890.80,25769.91,26783.30,1119.43,7138.17,58564.58,7850.96,1376.72,14200.04,10955.39,2214.83,6223.45,12309.21,5499.82,5379.79,4496.93,25271.88,6395.70,25063.47,16911.91,3711.82,6538.61,29611.55,6457.22,8210.60,5300.86,1305.43,5456.00,3101.00,2259.00,6259.00,12707.00,3110.00,10665.00,20293.00,26086.00,2731.00,18560.00,6708.00,8134.11,1028.32,4679.75,8256.62,1980.25,541.10,501.18,3261.82,3892.87,2388.87,3923.49,3566.15,17953.09,1818.42,2418.15,3451.81,3617.21,7023.20,3714.24,2362.05,2192.67,4671.68,6106.73,2261.22,8714.97,4931.40,4772.92,5040.76,3807.71,3488.39,4690.02,8495.73,8833.91,7614.31,3275.83,6603.74,6216.00,9038.47,14536.63,9083.71,6354.16,17517.97,11773.73,10745.43,5975.63,13759.63,5472.30,2265.12,5384.01,7222.96,5265.20,10705.92,13018.29,11098.13,3873.71,8477.23,55248.88
2012,1929.00,11666.00,18009.00,4045.00,9078.00,11862.00,5383.00,6861.00,3031.00,412.03,561.10,901.26,1244.78,4550.15,1249.48,10824.17,5366.26,3847.87,3907.99,4127.40,6046.56,3554.38,4160.44,39140.46,22004.97,16128.46,16381.20,57367.71,8139.29,9380.95,6459.59,14690.99,8399.45,13542.80,21443.77,13820.57,5548.97,20504.11,30531.96,5786.23,7813.99,9011.03,12483.17,13310.99,9476.16,17669.03,8474.97,3861.27,13221.54,5567.58,10488.84,7377.41,5815.19,17576.60,11086.16,18905.38,4311.03,9373.30,10187.00,4211.08,9102.53,423.51,874.48,1284.67,957.74,4489.82,1070.76,541.36,966.07,469.11,1155.41,1501.62,1302.91,10671.02,16026.71,7863.49,9416.09,499.03,140544.10,8644.60,10703.90,11598.50,15759.10,9211.60,9909.50,22880.20,12762.30,12242.50,6717.60,23368.00,19708.60,10570.80,20870.90,18531.90,3917.10,45860.10,7969.90,14839.30,33065.70,1638.00,6371.87,1822.98,3183.71,1806.74,1637.00,2347.43,2009.77,5722.68,27817.04,27468.47,1294.03,7780.65,61587.09,8286.06,1368.32,16604.48,12550.06,2183.03,7218.75,14042.61,6097.39,5310.72,4746.86,26642.82,7120.97,25331.23,17329.65,4036.44,6924.65,31983.24,5788.03,8782.70,5595.06,1250.30,3450.00,3703.00,2687.00,7065.00,13618.00,4614.00,10381.00,20694.00,27492.00,2932.00,18562.00,6932.00,8384.32,1181.62,4925.94,8725.74,2252.70,634.31,566.64,2915.93,3006.71,2147.60,2746.96,3901.80,17165.63,2314.35,2302.69,3241.64,3692.29,6224.03,3856.74,2813.37,2510.58,4822.07,5355.29,2485.34,10728.37,4653.50,4767.61,4914.35,3354.80,4448.91,4321.90,9078.55,8935.58,7575.53,3363.07,6079.36,5603.95,11159.01,15261.48,9067.19,5907.97,17088.12,12208.27,11332.00,6448.59,14270.20,6303.86,2593.11,4700.91,7080.23,4813.39,10849.10,12364.14,10013.26,4102.95,8458.11,55275.39
2011,1706.00,11598.00,17990.00,3920.00,8978.00,10722.00,5153.00,6636.00,2714.00,428.36,516.67,929.53,1045.86,4558.10,1160.32,11282.31,5330.01,4081.46,4176.90,4264.13,6279.59,3801.18,4257.06,36734.47,20877.61,14738.31,14885.78,56575.99,7486.94,8887.23,5990.83,15291.48,8210.30,13928.98,18788.96,12386.29,4158.29,20757.17,33510.51,6551.25,7939.21,9036.56,12863.78,12499.84,8864.81,17630.83,8076.89,3710.94,13847.44,5665.20,11206.52,7576.77,5427.07,18149.26,11007.97,16695.43,4714.39,8920.62,9564.73,4469.98,12517.40,511.70,1091.30,1672.37,1230.50,4242.73,1798.54,844.39,1498.82,596.28,1485.76,2143.58,1973.60,10307.07,15461.75,7646.16,9777.73,580.96,137794.30,8767.20,10514.40,11261.50,15430.20,8999.10,9802.50,22707.20,12780.30,12181.90,6832.30,22713.00,19347.10,10183.20,20452.60,17811.60,3869.30,45312.80,8068.50,14600.90,32220.20,1610.30,7225.27,2045.52,2759.15,1724.25,1763.53,2194.18,2221.10,5446.00,24498.48,28197.16,1335.86,9767.39,68527.83,7537.71,1659.20,17839.41,13707.99,2679.59,8194.37,15882.82,6833.54,5396.42,4754.83,30468.94,7613.13,26355.56,19283.14,4545.15,7889.52,33035.48,5781.11,8543.30,4478.89,1213.08,3507.17,3604.82,2460.96,7901.05,15112.73,4035.05,11952.35,22062.60,30582.54,3293.66,19788.00,6927.50,9379.92,1740.43,5773.38,10425.71,3339.54,689.64,1101.38,3002.52,3540.78,2641.81,3228.02,3993.61,14561.94,2679.86,2443.07,3368.33,4082.36,6199.71,4646.03,3189.97,2910.46,4301.42,5391.34,2161.86,8903.33,4201.74,3698.02,4613.81,2903.25,3329.80,4473.84,7589.32,7709.71,6498.32,3142.15,5909.41,5312.06,9182.04,13001.05,8005.07,6264.37,15685.85,11232.18,10894.15,6958.18,12210.90,4722.92,2260.90,4326.46,6069.97,4812.72,9052.10,10850.44,9006.38,3768.11,7823.59,52388.20
2010,1601.00,10343.00,16658.00,3352.00,8290.00,10114.00,4763.00,6016.00,2625.00,507.80,412.95,811.80,1065.81,4725.24,967.21,11027.21,4612.13,4224.21,4222.04,4299.32,6016.65,3829.81,3929.88,33510.33,18719.24,13339.22,13521.26,48083.85,6148.62,8510.28,5741.09,13912.84,6626.06,12243.06,18962.67,12143.99,4081.89,24297.50,28825.50,5593.27,7541.49,8160.94,11009.99,11172.57,7793.45,15920.81,7380.76,3506.25,12513.19,5637.29,10261.28,6967.23,5047.11,16216.87,10010.37,17640.35,4209.71,8233.99,8976.68,4440.94,16091.88,545.14,1249.68,2352.27,1629.22,5344.87,1595.70,1063.04,1887.36,727.33,2222.06,2559.00,2430.43,9099.19,16064.91,6951.21,8585.20,228.95,133804.80,8029.90,10056.80,10750.70,14705.30,8606.90,9297.10,21623.50,12296.70,11456.30,6548.80,21162.30,18229.50,9608.90,19232.30,16769.20,3733.70,42991.10,7586.10,13832.40,31053.20,1544.40,7850.74,2330.62,2134.42,1690.14,1674.80,2174.71,2150.26,5939.89,23584.93,27921.26,1372.20,9059.98,66239.86,8636.25,1536.86,19181.92,13363.53,2447.49,7732.88,16516.00,7762.45,5093.04,4470.10,30326.74,7283.24,28217.74,19555.99,4983.49,7862.18,30136.90,4726.30,7157.40,3445.64,1411.64,3751.45,3795.11,2618.56,6915.78,13385.03,4899.92,11503.90,22158.37,30244.61,2918.15,18572.52,6319.72,10435.11,1950.81,7052.76,12472.17,3016.60,868.58,1137.22,2521.72,3062.96,2232.56,3581.24,3425.50,13442.12,2401.98,2220.31,3490.65,4235.98,5080.84,4154.10,2857.86,2817.11,3789.93,5421.03,1976.99,9460.71,4578.09,4425.02,5280.43,3085.47,3668.62,4405.30,9125.27,8036.52,7355.92,3517.19,5090.31,4517.36,9294.80,12981.32,7749.85,6153.31,14769.37,11231.26,10781.06,6891.40,12286.66,4319.25,2060.62,4607.12,6271.29,4510.66,10515.06,10724.10,3333.35,3469.72,9308.92,49152.89
2009,1562.00,10881.00,16823.00,3188.00,8020.00,10520.00,4758.00,5945.00,2643.00,455.06,496.44,1222.66,1502.82,5578.69,1139.34,11130.96,4468.21,4119.50,3323.81,3954.57,5785.36,3715.76,3731.53,31808.10,18728.98,12878.70,12562.51,46091.15,6224.37,6533.59,5290.56,12903.19,6823.89,11265.47,17930.59,11619.12,3720.08,20324.03,27031.04,5036.07,6390.73,7331.53,10790.34,11038.65,7630.38,15431.86,7759.74,3061.22,12007.68,4407.46,8651.89,6310.45,4634.56,13785.68,10247.16,17630.47,4657.54,8963.50,9362.36,4253.44,20520.44,526.01,1506.60,2881.54,1785.90,6469.77,2671.55,1410.54,2941.70,711.65,3300.38,2444.86,2215.93,9022.55,16014.40,7094.72,8789.57,261.07,123495.40,8090.20,9940.20,10339.30,14567.50,8423.60,9557.30,20976.70,12381.30,11507.60,6534.90,21113.10,18347.20,9666.20,19159.70,16859.80,3923.50,41422.70,7407.00,13875.60,30195.70,1520.60,9043.45,2366.47,2052.95,1955.56,1592.46,2332.50,2058.60,7824.10,28041.35,24457.19,1299.56,9105.21,67067.51,7769.59,1672.38,19161.87,13691.10,2669.28,7852.57,16059.91,8784.29,4703.12,4370.82,29113.91,7785.59,28369.00,18204.16,4604.92,7294.02,30091.69,4810.52,7127.50,4225.86,1114.83,4518.00,4131.00,2883.00,7687.00,15102.00,3482.00,11881.00,23817.00,29666.00,3167.00,20230.00,7196.00,10577.15,2050.09,7114.36,12158.20,2980.32,968.27,1254.38,3090.26,3350.72,2140.22,2881.25,2933.65,12390.10,1907.24,2604.02,4019.95,4786.11,3836.47,4296.68,2789.86,3000.17,3964.03,4758.63,1827.88,8416.95,4417.42,4359.16,4800.28,3060.21,3250.74,4273.46,7080.50,7140.15,7345.10,3058.67,4671.54,4319.39,9091.84,13316.52,7020.54,5518.89,14423.60,9905.93,10931.13,5696.12,10465.49,4262.21,2008.16,3658.52,5268.86,4069.27,10465.93,9944.25,3320.60,3032.50,10464.65,44256.89
2008,1628.00,11318.00,17778.00,3972.00,8488.00,10765.00,5072.00,6506.00,2715.00,548.08,692.93,1300.67,1639.37,6703.56,1399.20,12744.25,5222.08,4382.15,3722.04,4807.18,6893.05,3885.83,5057.60,33584.44,20700.67,15207.65,14863.79,46223.61,8035.82,9126.30,6237.80,14481.50,8492.82,13943.60,17735.35,12706.97,4400.49,27481.69,33014.99,6709.97,8191.90,8372.11,9555.80,10499.00,8005.87,14368.68,7741.31,2960.53,12250.35,5509.31,8902.29,7782.70,4836.88,15240.21,12864.69,20861.99,5867.22,10968.21,11203.06,5644.18,22505.25,934.44,2130.40,3695.36,2745.52,8063.88,2247.68,1725.37,3199.32,1069.25,3009.57,3345.22,2955.69,10182.66,17661.68,8490.76,10445.30,461.36,137912.60,9120.80,10974.00,11459.00,15941.10,9210.10,10618.80,23056.60,13595.50,12575.10,7197.10,23221.00,20115.10,10486.80,20620.70,18200.30,4300.30,45702.80,8165.30,14924.60,32735.10,1557.80,9883.16,3032.88,2936.36,1841.51,2316.04,2740.13,2284.01,11049.46,35461.01,28804.74,1468.70,8506.19,73728.17,8436.65,1891.68,20626.34,14424.86,2896.57,8887.20,17318.34,9266.48,5130.15,5099.12,31742.42,7971.79,33665.94,20282.51,5909.39,8450.83,31910.98,8513.32,8083.80,7802.40,1203.05,4478.47,4487.35,4336.62,8715.09,15984.70,3277.99,12364.64,24280.03,32868.63,3577.67,21740.03,8408.61,12129.87,2720.36,8252.55,12644.43,2775.25,1027.50,1296.96,4830.17,5200.62,3996.20,4470.65,5769.46,23119.35,2876.17,4423.78,5483.77,5746.24,4071.85,5587.98,3450.47,3752.42,5121.41,5330.61,2243.44,13018.33,6265.39,5881.33,6963.93,3655.38,4417.83,5740.10,9802.70,9544.89,8634.66,3944.06,5771.31,5420.13,12170.98,14976.44,8963.23,6991.08,16702.63,12272.32,12856.54,7745.77,13617.42,5686.62,2599.36,4752.74,6758.71,5268.02,13136.82,12764.34,3483.18,4378.54,12995.84,57272.10
2007,1605.00,10124.00,17393.00,4021.00,7712.00,10201.00,4928.00,6260.00,2687.00,404.81,517.62,1103.02,1230.22,4719.31,1208.90,10977.67,5027.98,4091.48,3321.22,3970.86,6253.62,3435.71,3704.85,32407.37,19697.32,14858.96,13403.02,44854.79,8059.11,9965.95,5831.16,13710.58,8493.00,13784.27,17423.38,12034.10,4290.49,25744.28,29596.43,6310.67,7375.04,7967.28,9407.71,10887.82,7742.80,14681.97,8086.26,3512.66,11175.46,5489.23,10481.40,7347.13,5057.64,14737.42,11720.16,20182.27,5577.81,11137.76,12187.07,5428.69,22609.05,878.95,1755.98,3814.59,2809.14,10990.04,1790.68,1544.89,3482.70,1178.00,2723.64,3940.33,3010.18,9723.98,17500.39,8248.33,9386.05,241.58,126822.90,8931.50,10690.70,11445.30,15717.20,8961.50,10259.30,22092.90,13565.00,12334.30,6962.50,21840.70,19072.60,10188.90,20136.10,17537.70,4228.40,44066.70,8106.10,14445.20,32865.60,1572.90,9573.88,3568.52,2312.20,1775.97,1977.71,2822.67,2033.43,13716.20,42794.14,28304.07,1338.54,8974.15,71877.11,7282.14,1966.59,24595.77,13445.40,2671.01,8526.01,18069.44,10046.21,4898.87,4856.23,31654.62,7510.74,31980.54,21979.16,4924.19,8636.83,33374.47,8298.67,7395.50,8253.12,1288.25,4165.00,4334.00,3902.00,8282.00,15379.00,3112.00,11818.00,22536.00,30717.00,3399.00,20555.00,8067.00,11328.02,2984.53,8152.34,11815.19,2878.22,1055.85,1229.93,4488.35,4564.27,3639.34,3979.61,5310.26,16686.06,2599.59,3882.08,5036.56,5071.38,4285.69,4443.90,3228.72,3112.94,7744.11,6462.56,2806.52,14487.27,7359.27,7543.18,9178.95,4555.61,5463.69,6351.79,12357.28,12715.06,10902.26,5074.40,7911.85,8008.92,12970.47,18086.25,12599.70,8801.70,20719.75,13395.02,14022.87,8311.14,15320.39,7167.59,2864.09,5856.17,8282.24,6755.87,14945.90,14519.18,5411.98,4952.54,17392.63,56226.03
2006,1538.00,9096.00,16636.00,3587.00,6984.00,9375.00,4756.00,5960.00,2485.00,329.57,389.11,872.09,1105.72,3935.52,888.67,8674.41,4522.23,4002.58,2626.24,3359.36,5155.00,3032.74,3309.22,30526.41,17927.11,14242.06,12646.58,50083.43,7090.44,7178.72,5555.45,13567.32,7550.75,11524.21,16266.19,12273.34,4074.74,22425.70,26974.34,5636.97,6989.78,8908.66,8119.17,10138.76,7422.75,13964.90,7506.76,2789.55,10319.38,5006.68,8606.02,6394.55,4369.54,14184.96,10881.49,19656.66,6220.72,10768.73,10891.53,4783.82,19507.21,630.82,1479.82,2736.70,2241.27,8805.29,1600.04,1351.67,2984.41,943.01,2567.46,3886.32,2868.38,8918.84,14814.29,7332.30,8114.97,151.03,115568.60,8114.90,9786.40,10468.20,14498.80,8332.00,9388.50,20369.20,12624.50,11256.50,6423.80,20087.60,17822.40,9353.60,18689.50,16662.60,3947.20,40826.60,7447.50,13394.70,30749.60,1476.50,8607.88,2571.04,2114.04,1716.64,2055.94,2557.87,1925.83,14622.81,42675.99,27049.68,1252.53,8282.78,66609.52,6714.16,1924.96,23191.94,13168.17,2638.81,7495.55,19386.94,9384.27,5275.29,5021.88,30967.40,7471.92,31337.72,20800.77,4505.14,8492.72,31538.34,6242.90,6297.70,5896.85,1183.23,3873.00,3981.00,3812.00,7550.00,14064.00,2770.00,10881.00,21180.00,28144.00,3005.00,18829.00,7432.00,10350.79,2472.35,7987.64,11843.57,2553.98,850.49,1343.66,2554.71,3368.91,2105.82,2572.89,3899.17,7511.63,1778.15,2183.05,4238.52,4543.12,2998.08,4285.51,2494.82,2632.67,6706.13,6034.83,2644.44,15170.81,6165.91,6651.77,7481.29,4360.73,4919.71,5568.66,10698.18,13100.82,9121.87,4710.12,7507.42,8131.98,12769.63,16963.60,11796.73,7360.34,18825.47,14199.22,13488.45,7226.90,13457.31,6289.45,2942.91,5537.86,7622.41,6198.80,11830.33,14357.28,4544.31,4624.14,17969.96,53672.69
2005,1423.00,9101.00,15887.00,3531.00,6765.00,8930.00,4584.00,5750.00,2497.00,377.02,353.81,717.27,809.71,3098.51,813.55,7181.32,4433.48,3382.88,2315.76,3290.04,4987.98,2635.72,2725.04,26406.35,16514.57,13126.37,11209.04,37976.18,6883.03,6498.26,4565.04,11049.30,6639.41,10933.39,15875.28,11576.13,3695.52,21381.11,27389.49,5446.18,6836.09,8380.78,8167.74,9452.22,6840.29,12306.53,6724.51,2458.55,9965.29,4501.77,8220.68,6185.84,4308.52,12090.72,10236.14,16525.94,5269.60,8875.84,9555.01,4118.47,15664.91,557.73,1137.30,2212.27,1875.77,7124.02,1429.21,1177.68,2433.45,685.00,2041.29,2762.80,2398.65,8776.77,13477.34,7405.41,7703.45,371.83,108044.60,7611.00,9274.50,9827.70,13535.70,7753.80,8697.90,18877.90,11812.50,10505.90,6056.00,18688.90,16520.10,8685.00,17166.40,15034.20,3673.30,37440.30,6975.20,12268.70,28393.20,1342.20,8358.31,2886.61,2088.11,1597.00,1888.66,2395.36,2411.18,12612.32,38188.36,27121.70,1176.56,7993.57,64139.48,6390.85,1676.73,21439.16,12579.14,2495.52,7508.64,17269.65,8737.26,5021.56,4765.62,29750.32,7170.20,29099.18,18635.60,4163.07,7746.86,30121.12,4911.38,5998.30,4292.33,1131.27,3497.00,3651.00,3400.00,6937.00,12883.00,2549.00,9997.00,19516.00,25613.00,2712.00,17381.00,6873.00,9866.02,2290.13,7697.01,10909.11,2787.31,1242.31,1848.53,1919.50,2042.28,1593.61,1786.85,2375.21,6985.31,1163.74,1625.84,3811.30,3979.27,2652.72,3579.31,2227.36,2300.42,5764.88,7062.96,3170.80,13101.44,6702.27,7063.83,7261.87,4571.34,5046.20,5541.50,10717.62,11117.36,9243.85,4181.41,7248.75,7327.48,11975.20,15358.55,10362.06,7978.37,16938.80,11351.43,13429.41,6465.20,13673.72,6574.30,2245.13,5219.19,7168.85,6673.96,10946.90,14568.50,3912.64,4834.35,16333.22,44421.67
2004,1473.00,8779.00,16163.00,3134.00,7074.00,8847.00,4243.00,4957.00,2416.00,289.06,284.60,482.42,683.19,2165.39,514.51,6242.98,3791.20,3010.07,2147.97,3242.11,3803.68,2579.79,2178.17,27800.19,17114.20,12926.70,11520.49,39396.35,6965.20,6452.08,4891.44,11329.63,6896.88,11294.17,13845.76,11766.01,3925.94,20153.81,24972.18,4985.09,6245.40,7824.07,8631.17,10067.90,7103.55,13335.65,7082.46,2426.32,9876.14,4500.56,8658.93,6946.70,4798.45,11983.38,9960.16,15434.08,5073.05,8128.47,8938.02,3920.21,17294.50,646.06,1311.28,2499.91,2105.00,8697.09,1288.04,1244.08,2898.43,927.87,2263.12,3357.14,2724.47,7732.82,12644.87,6725.67,7891.11,332.44,101570.70,7402.40,8881.20,9392.30,12939.30,7403.60,8398.50,17987.60,11363.90,10203.90,5833.50,17631.90,15519.30,8329.10,16146.40,13930.20,3453.80,35401.30,6624.10,11559.00,26563.30,1243.80,7991.45,2447.35,2118.22,1616.70,1962.63,2177.31,1785.97,10060.88,32051.57,25921.65,1187.25,7571.80,59169.43,6171.06,1651.41,21491.35,12617.64,2427.50,7045.33,16529.20,8368.80,4541.69,4368.92,28439.51,6623.30,28606.92,19274.49,3853.32,7874.78,27853.21,4175.93,6070.80,3371.57,1002.60,3371.00,3564.00,3156.00,6592.00,12340.00,2415.00,9457.00,18388.00,24404.00,2652.00,16482.00,6405.00,9116.24,2220.36,7652.79,10851.28,2973.66,979.20,1848.83,1337.47,1448.51,1137.27,1287.39,1727.45,4767.74,846.43,1199.98,3255.79,4000.83,2149.66,2773.91,1839.74,1904.59,4917.40,6116.63,2542.82,12779.51,7322.70,5382.41,6113.32,4031.53,4981.15,5013.63,10766.38,10337.03,8661.00,4227.81,5616.71,7085.09,10537.79,13803.19,9769.16,7537.94,16287.68,10955.27,12751.07,7063.79,12370.55,5373.50,2418.31,5370.39,7523.00,6239.35,10548.26,13317.36,3877.09,4734.47,14532.32,47097.41
