TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,86,642,7,201,437,582,111,195,91,102.78,116.12,121.53,86.08,35.69,70.58,48.34,202.35,246.92,106.62,237.49,345.42,156.2,83.83,275.81,115.66,207.97,251.83,567.63,415.13,290.93,185.85,240.58,266.37,360.23,3.59,435.2,9.95,22.88,147.06,78.31,146.96,473.35,202.62,336.21,455.33,720.66,123.11,97.08,312.62,29.91,153.3,148.93,102.09,516.75,295.12,82.87,200.32,302.9,381.47,249.4,16.29,27.96,25.85,117.15,147.7,249.81,62.5,18,104.44,22.78,99.48,91.3,113.66,569.04,84.5,331.81,598.4,10.25,350.93,1092.96,754.98,469,932.88,524.21,814.47,586.07,355.51,362.92,227.35,1129.46,1052.18,1028.29,1185.93,765.89,108.56,543.95,261.68,555.56,611.98,41.65,56.01,120.54,124.87,139.21,77.85,205.98,176.3,335.95,456.83,1257.91,38.48,256.48,1367.06,220.27,77.45,430.24,410.42,127.73,194.03,593.73,236.17,465.94,143.18,1217.67,217.79,999.42,407.19,122.68,193.32,342.91,682.9,121,394.53,19.43,189,273,167,434,753,219,155,346,671,221,1243,462,223.08,42.33,226.85,69.49,283.97,33.67,4.07,171.35,180.31,180.33,536.55,452.07,240.69,142.54,265.01,163.94,73.88,20.93,188.94,105.26,88.99,97.72,170.58,316.91,24.04,200.87,133.15,41.16,216.46,428.65,44.67,60.84,213.18,221.14,405.93,337.77,381.3,12.16,749.35,91.47,145.91,200.63,170.47,140.92,153.66,331.45,325.01,204.67,367.73,365.32,19.49,350.64,222.78,143.82,239.64,837.02,13.7
2012,121,688,8,163,461,652,146,231,58,114.06,134.83,117.86,80.97,27.04,62.3,53.84,208.28,292.46,100,288.16,389.24,158.3,82.75,288.36,130.07,232.62,215.63,601.91,414.69,306.73,197.5,219.26,256.11,329.97,6.2,392.06,5.75,30.49,146.06,81.19,117.3,459.34,193.95,323.63,434.14,694.73,126.54,91.31,308.05,20.76,171.12,151.22,110.82,544.16,313.54,64.75,202.59,326.58,378.98,262.37,31.49,28.8,27.64,119.13,138.03,264.01,49.08,17.9,110.51,29.57,101.04,93.33,111.05,567.91,84.03,330.92,599.62,10.53,294.4,1095.9,671.8,390.4,818.9,455.8,763.8,535.5,320.6,333.9,218.5,1053,995.3,891.6,1146.5,670.3,121.6,555.3,250.4,524.9,602.9,42.4,53.53,120.31,97.52,150.45,75.63,222.2,166.19,352.82,453.3,1368.76,66.41,267.76,2091.05,232.56,89.49,482.63,437.84,183.62,264.45,723.37,256.56,685.98,172.52,1453.17,301.18,896.9,476.03,163.85,249.15,330.37,442.59,224.1,578.33,19.04,167,285,170,411,742,252,168,362,733,216,1214,489,221.21,34.75,241.02,64.08,256.39,36.17,3.78,194.13,168.46,171.46,396.7,417.22,235.93,119.12,236.36,170.3,60.01,27.11,145.71,112.16,94.01,98.43,171.41,322.99,23.83,202.22,134.56,40.85,216.86,432.59,50.6,61,215.11,220.48,404.42,341.88,385.85,11.43,758.94,91.11,145.93,200.44,166.11,142.58,154.96,330.58,325.8,206.33,371.07,370.14,12.9,361.31,223.71,142.63,320.71,830.54,10.43
2011,101,651,7,183,466,567,122,163,56,111.18,107.01,138.53,96.5,24.35,67.78,30.58,174.46,214.92,88.45,202.68,273.53,122.08,71.29,250.68,118.66,200.28,215.71,573.44,391.83,279.55,180.11,217.99,226.2,323.69,7.74,335.78,4.32,25.85,144.27,72.75,126.26,412.88,218.68,301.86,432.5,672.84,114.54,75.71,277.68,19.34,148.32,149.69,98.55,506.85,273.49,51.27,164.82,323.6,324.27,217.83,21.63,35.99,34.74,150.04,152.96,319.07,59.63,29.92,175.67,28.25,130.12,114.7,134.72,556.87,85.85,330.15,635.67,12.46,224.5,1253.5,614.9,312.8,657.5,360.2,683.7,514.8,318.8,307.3,220.7,896.9,992.9,727.4,1035.4,530.4,163.7,577.4,281.2,560.8,510.2,39.5,54.07,105.73,106.92,135.98,70.03,206.14,167.25,235.65,433.37,1389.28,63.7,254.39,2356.62,273.6,142.28,642.49,494.53,412.22,348.76,510.97,369.5,452.64,153.19,1779.76,328.09,886.22,485.69,133.62,217.87,341.21,544.83,174.9,381.07,17.33,190.66,296.36,173.57,558.86,802.26,235.12,161.93,332.5,758.03,208.88,1318.77,626.06,263.96,32.22,225.53,73.54,276.98,40.27,8.52,128.16,164.04,171.66,432.5,468.4,168.29,120.05,211.39,160.24,62.57,31.61,183.3,131.86,111.23,78.49,137.81,256.05,19.84,161.37,107.85,32.78,172,345.32,38.45,50.74,172.65,178.91,319.31,272.31,309.33,9.07,600.6,73.82,117.91,162.98,140.07,117.2,122.88,267.46,262.26,164.57,297.16,295.86,13.92,293.37,179.26,113.65,169.12,659.38,10.68
2010,98,627,9,174,488,526,148,172,45,61.13,74.6,89.07,62.14,19.99,56.79,15.03,142.9,188.58,58.85,176.32,224.13,115.57,53.95,247.25,99.15,177.7,186.21,481.83,352.75,218.82,135.69,165.98,213.56,277.15,6.04,353.5,4.4,26.78,116.05,58.52,117.63,406.72,174.24,260.55,336.46,677.33,128.89,95.24,269.72,18.72,131.84,126.08,98.19,533.82,230.14,61.5,173.89,360.94,327.23,255.53,34.64,38.89,40.19,174.74,161.56,384.81,76.95,67.72,167.67,32.31,157.68,140.97,156.58,512.23,86.05,325.66,599.31,10.75,197.1,978,542.2,290.5,681.6,320.2,566.4,482,289.1,221.3,193.4,788.5,857.2,666.4,927.6,509.7,151.8,513.1,241,438.5,522.8,36.3,47.73,113.47,125.16,122.97,70.65,176.19,154.9,191.72,315.5,1185.21,73.68,297.51,2017.9,191.7,77.61,708.68,395.31,289.49,350.78,470.37,409.72,419,131.47,1333.81,293.5,810.84,533.5,116.56,382.69,317.16,402.6,159.4,241.75,29.61,145.4,248.98,155.28,397.35,643.41,171.13,149.28,298.98,563.92,186.22,1082.02,485.05,231.27,28.08,263.76,77.21,278.57,39.91,10.47,82.19,137.55,146.46,252.31,309.46,125.85,74.88,140.16,143.55,59.89,19.54,143.55,92.44,90.69,75.05,119.19,234.98,20.59,152.72,132.29,13.53,164.39,327.3,37.85,49.96,176.54,178.72,315.28,243.41,307.45,8.87,566.47,75.83,118.26,155.33,130.34,116.04,128.48,251.54,268.77,167.61,293.63,264.38,171.36,224.2,153.57,86.38,197.56,529.98,8.4
2009,118,634,7,173,417,478,184,187,49,51.34,61.37,74.48,66.84,17.62,44.81,17.4,102.14,164.55,46.23,127.48,204.54,104.71,37.07,235.54,98.1,164.77,166.4,460.84,340.08,223.07,140.22,167.68,205.34,280.84,20.34,358.08,9.25,31.3,126.33,60.57,95.29,392.45,156.23,248.68,345.49,651.7,117.63,78.63,330.14,18.77,128.81,125.65,91.87,466.06,213.35,59.9,190.97,395.91,415.25,270.07,52.41,58.11,54.47,238.7,212.05,453.19,89.25,124.49,228.11,40.06,182.83,156.14,194.22,560.68,89.5,335.19,646.62,14.01,175.1,1169.9,473.6,227.1,564.5,302.1,647.5,410.2,237.3,281.7,195.3,870,848.1,583.2,1054.5,453.7,177.1,602.5,223.6,456.6,589,46.2,57.8,135.33,126.25,166.05,78.2,216.94,205.15,251.4,391.57,1003.57,51.67,245.96,1505.46,266.93,99.43,678.64,649.33,271.15,331.55,475.35,433.34,351.47,147.49,1052.38,284.97,944.06,514.05,141.12,398.86,327.09,185.66,147.8,200.17,17.58,147,238,154,362,655,210,136,316,609,191,915,408,200.8,23.97,274.55,83.03,252.01,25.1,10.08,66.53,59.65,73.3,144.86,189.63,93.47,41.35,132.69,200.02,71.39,21.67,136.86,92.17,102.56,78.81,130.65,259.87,18.63,166.78,140.2,13.64,178.19,350.11,38.08,51.34,182.21,182.19,330.94,272.72,324.51,9.88,614.64,75.02,120.94,167.75,136.77,120.69,121.82,278.85,283.21,177.85,310.99,260.18,158.06,244.61,139.48,87.25,148.71,805.24,8.43
2008,110,614,6,180,443,467,120,214,87,102.66,110.5,98.3,95.08,36.42,75.18,7.14,169.69,213.86,44.46,175.82,234.43,134.65,61.25,303.21,132.98,216.1,247.17,640.91,419.05,267.57,185.45,233.24,299.44,384.94,4.05,515.96,11.3,32.39,174.47,81.45,135.3,562.29,260.55,311.49,585.37,768.27,162.11,101.37,419.74,23.09,178.28,200.35,136.05,635.37,340.93,87.98,328.73,716.6,647.67,449.03,52.12,62.9,59.76,304.09,262.99,606.18,127.61,94.79,287.78,50.15,234.08,209.03,231.39,536.07,97.92,368.24,665.58,12.19,232.3,1427.5,608.2,305.7,679.4,413,716.5,482.7,315.8,280.9,214.9,993.6,1042.1,599,946.4,539.1,187.5,600.5,288.5,486,607,41.3,71.97,133.45,106.87,153.3,68.41,174.13,183.7,709.35,1306.91,931.4,43.6,281.55,1925.4,377.75,126.98,740.54,608.17,351.49,350.47,682.09,520.05,377.01,200.73,1487.63,272.87,993.36,662.58,138.75,370.66,449.6,276.97,197.4,448.37,15.07,136.78,277.88,164.57,403.27,683.45,178.66,164.62,402.91,798.48,156.77,858,401.63,266.69,33.17,286.2,113.96,327.04,20.22,4.34,77.96,88.44,114.32,218.76,265.19,169.61,67.13,257.83,212.19,80.48,35.04,270.21,189.69,169.01,78.78,126.5,257.38,24.42,152.74,149.23,18.88,177.69,357.79,42.47,54,199.5,196.81,338.19,270.17,343.56,16.7,655.12,86.67,128.62,184.29,144.28,150.82,128.73,286.46,299.39,186.62,317.63,324.62,189.68,246.7,144.8,89.92,162.57,855.13,12.56
2007,100,517,6,160,389,412,134,169,83,27.06,35.5,39.45,44.91,28.57,41.9,12.1,150.33,216.7,47.32,152.6,245.19,133.47,54.06,282.03,125.92,206.39,219.82,566.65,385.98,240.52,171.49,217.05,261.01,343.13,5.7,422.75,10.22,31.63,162.03,67.83,128.18,461.08,187.99,269.05,393.57,813.78,144.66,98.61,363.94,20.06,161.14,183.21,130,502.92,310.62,113.01,337.15,698.33,694.57,447.48,39.09,59.17,55.98,240.26,254.45,484.99,102.54,73.36,246.52,42.93,217.18,193.31,202.67,575.64,92.72,354.69,684.11,12.84,224.8,1182.8,532.7,254.4,701.7,343.5,684,421.5,355.7,278.9,240.2,828.2,908.3,603.8,1037.9,497.6,207.5,555.6,327.8,443.6,491.3,32.3,60.17,105.63,104.08,137.85,72.19,150.31,158.69,508.88,820.09,1013.29,58.71,278.02,1845.53,317.39,124.51,1042.87,632.84,408.25,442.48,559.32,687.79,377.8,172.95,1791.39,244.7,840.44,821.95,122.02,219.35,545.2,326.06,152.1,420.15,18.99,128,261,153,373,645,169,157,375,748,156,795,373,270.51,21.21,211.22,105.24,346.38,33.69,8.58,75.38,85.48,110.51,211.47,256.32,163.94,64.88,249.21,180.57,68.97,18.71,140.71,84.78,87.21,88.5,138.11,266.79,29.43,175.43,160.02,20.99,217.47,394.66,47.5,62.67,212.01,217.62,411.5,318.04,381.35,18.23,747.9,101.02,157.37,211.93,180.48,158.4,156.97,320.59,315.87,202.75,335.46,357.67,216.28,279.65,212.05,96.39,243.95,725.77,38.8
2006,83,461,6,127,338,393,76,171,39,22.5,27.41,35.92,38.47,25.97,35.46,6.74,148.3,142.3,28.09,119.15,182.41,92.97,35.14,301.6,122.65,206.03,214.84,587.29,352.15,245.34,173.29,204.55,248.49,359.75,3.14,372.8,12.78,39.92,197.23,63.01,116.3,406.99,137.2,237.65,553.69,589.52,136.82,89.24,350.78,19.54,125.02,141.21,103.46,461.88,255.41,74.41,275.37,540.82,602.08,397.77,23.81,34.63,35.16,174.33,160.05,366.51,70.97,54.37,194.82,28.88,131.81,132.44,143.29,512.98,80.99,337.63,557.9,7.5,158.4,934.9,445.2,234.6,482.7,335.4,564.9,459.4,281.3,223.8,202,779.4,929.7,483.6,943,435.4,206.6,510.6,292.2,393.2,472.9,41.2,61.34,82.2,71.15,96.61,58.24,125.98,109.71,352.91,521.31,1134.99,61.17,320.99,2048.95,307.95,137.34,1086.02,671.01,418.56,475.94,555.04,564.34,375.53,159.8,1807.07,240.79,940.55,646.28,132.44,317.27,816.74,299.64,152.5,343.44,20.28,104,213,124,311,525,141,128,314,610,124,660,309,236.27,35.47,219.45,92.38,355.45,17.91,6.47,87.21,453.32,94.53,176.78,185.89,82.36,59.31,186.91,166.99,67.19,15.33,123.16,69.1,70.1,70.36,112.62,207.65,23.34,144.58,122.48,16.42,177,305.11,37.6,52.85,185.87,170.25,324.39,261.87,284.79,12.76,598.29,79.82,126.15,165.05,143.42,125.11,124.62,257.11,250.73,151.87,266.26,289.97,171.32,249.41,190.63,101.26,155.07,530.27,28
2005,89,500,6,139,308,418,103,166,53,24.83,43.47,34.39,37.16,15.83,35.38,5.07,83.74,143.17,30.32,122.49,156.03,84.21,45.06,266.82,101.95,179.17,192.67,464.7,304.63,182.11,133.34,176.22,212.33,281.9,2.94,324.74,11.32,29.27,113.32,57.45,94.58,376.76,132.05,228.17,339.52,517.18,112.91,76.04,303.11,13.14,122.62,131.31,91.86,351.68,207.93,58.64,232.56,447.81,468.34,302.88,34.36,45.15,42.71,210.49,183.74,397.23,81.63,66.91,195.15,34.99,162.76,146.89,163.05,484.19,85.01,331.32,541.9,10.59,161.2,897,446.3,281.4,495.2,355,554.2,424.3,274.2,202.5,181.1,785.8,906.7,470.7,850.7,424.7,182.5,427.1,284.9,347.2,396.4,34.7,50.17,101.21,76.24,118.06,64.34,129.37,134.33,272.05,441.9,923.92,52.87,275.34,1683.21,306.55,122.18,977.69,619.84,392.93,431.87,481.28,604.17,323.4,129.12,1797.64,239.88,852.89,627.07,140.24,331.22,726.87,317.87,138.3,362.92,18.12,98,203,117,299,506,134,124,299,570,120,632,297,234.19,34.98,207.15,95.22,374.69,13.48,4.98,67.5,62.64,77.11,104.39,149.22,94.51,34.08,117.73,157.61,65.54,31.87,285.46,134.24,126.69,63.57,100.59,182.66,19.22,127.85,115.46,14.47,164.53,274.08,35.26,44.18,154.45,158.33,302.19,236.71,261.81,12.33,584.53,75.42,122.88,156.21,135.48,113.47,113.53,240.07,225.04,139.45,234.43,347.6,210.53,260,199.09,108.92,185.81,431.88,19.37
2004,73,455,6,127,288,399,149,115,64,22.67,44.98,44.77,64.91,35.15,46.31,5.02,84.04,140.82,29.73,115.49,134.3,78.39,38.98,200.57,69.07,142.03,165.79,397.61,276.32,177.15,111.15,151.06,159.84,251.1,2.1,262.43,9.59,17.6,91.86,52.85,86.92,318.07,118.52,234.82,230.98,416.33,83.5,60.69,222.82,21.89,91.37,109.04,76.43,317.06,191.37,49.46,202.29,425.14,442.61,283.61,27.51,38.67,40.73,184.54,167.12,347.1,63.05,36.62,192.87,30.82,152.54,157.43,178.18,437.09,76.01,319.42,531.28,10.2,173.8,947.7,459.9,261.2,517.4,340.9,587.9,401.8,282.2,214.3,170,801.7,867.4,475.7,915.8,435.4,178.7,446.1,275.4,387.2,407.7,33.7,53.14,90.19,94.12,111.3,72.13,133.91,152.54,262.61,431.23,926.05,57.34,272.94,1518.48,265.87,115.86,914.52,561.98,358.99,426.05,464.52,563.24,284.98,112.23,1591.36,244.69,829.78,585.42,146.14,320.4,571.98,303.14,133.7,185.82,16.44,94,197,112,283,488,130,121,286,552,122,598,282,243.64,36.38,189.65,96.82,417.99,10.87,3.6,52.7,53.86,76.03,105.46,144.43,48.36,41.74,151.37,143.66,55.07,11.9,112.11,51.13,48.37,67.53,119.51,227.05,19.12,130.19,125.28,13.43,166.13,290.08,37.9,44.38,151.57,163.32,268.42,230.8,267.85,10.83,551.45,76.73,116.5,157.47,140.96,124.26,119.96,245.07,235.8,139.68,247.21,386.58,234.83,263.46,201.24,118.34,195.78,449.48,14.04
