TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,413,2662,1864,1053,2485,4186,835,1809,969,292.44,129.92,296.58,993.98,886.42,629.8,1274.4,2655.39,1245.5,1814.97,1433.8,1521.02,1177.94,1948.38,16070.54,5042.68,3687.37,4496.36,11802.61,2047.23,2239.64,1539.41,2971.09,1790.62,2857.74,3260.01,2237.02,1620.09,3298.31,6057.92,1212.01,2000.85,1010.91,5661.73,2471.3,1328.26,2659.58,1649.15,629.34,4188.21,1817.68,2628.41,1947.18,1393.93,2330.2,2956.38,4148.08,988.48,2658.93,2331.22,992.64,1382.95,12.79,30.37,98.47,137.94,279.02,376.89,22.67,33.12,2.63,72.4,296.42,202.6,2456.58,2823.58,1865.67,1913.76,17.4,15452,2117.9,2427.19,3391.4,3578.86,1814.56,1945.07,4493.48,2640.6,3155.75,1668.89,5356.32,3621.4,1997.07,3474.78,3468.17,709.49,10450.57,1825.08,1621.08,4625.24,142.48,1621.84,1125.09,1685.23,392.61,733.78,918.36,658.98,1922.83,6121.09,8078.05,184.27,1486.81,16806.46,1523.07,380.05,2976.23,2144.28,658.7,959.07,2271.03,883.26,896.21,626.8,6370.45,1865.04,7983.88,4030.24,829.79,2049.63,5001.06,1316.53,1396.1,1038.36,296.65,2896,390,461,1000,2015,201,861,2864,3334,653,3774,1364,2779.41,70.81,1402.64,1265.31,666.87,56.06,24.18,1066.51,1300.52,644.78,1817.47,1676.58,1793.44,898.94,942.84,1701.42,839.69,2292.88,1306.07,810.31,552.69,997.16,1174,402.34,1032.55,972.06,985.59,547.37,1010.02,558.98,562.9,1190.71,2286.08,1073.12,421.64,1640.91,884.52,1945.69,1578.82,1411.47,772.31,2792.36,1955.61,1275.01,904.47,2010.41,853.22,200.54,533.89,1205.37,1267.33,1636.99,1860.94,7293.33,453.52,1158.69,2899.25
2012,402,2628,2011,1239,2641,4125,863,1651,921,160.25,200.59,358.8,681.84,1111.21,741.03,1340.09,2607.74,1303.43,1948.94,1607.22,1603.6,1191.62,1741.26,15393.43,5309.79,3614.78,4296.08,11252.86,2243.05,2492.99,1802.22,3330.29,1986.92,3031.24,3249.2,1923.37,1360.64,3038.5,6167.2,1169.78,2064.11,1071.04,5668.07,2642.44,1164.37,2626.9,1747.54,702.53,3801.59,1924.96,3077.34,2156.18,1425.06,2402.83,3018.85,4516.97,934.75,2679.58,1997.53,896.46,1232.93,4.76,19.22,57.26,70.84,734.36,357.96,8.13,31.52,1.48,34.26,299.35,162.87,2581.64,2618.58,1844.26,2539.1,14.42,14674.5,2014.2,2350.2,3154.1,3443.9,1699.7,1910.7,4407.8,2598,3040.9,1644.9,5058.5,3439.3,1904.3,3252.5,3265.2,684,9903.4,1728.4,1561.4,4284.6,132.9,1469.76,936.8,2076.49,396.9,641.58,733.98,716.96,1595.17,5287.89,8361.68,172.75,1637.03,18148.99,1464.05,296.22,3078.45,2440.76,529.72,1124.61,2633.72,1089.18,770.8,600.88,6945.66,2012.85,8339.82,4380.42,842.95,2218.53,4850.75,1276.74,1219.9,1430.49,279.96,840,755,733,1320,2001,365,803,2430,3988,659,4315,2077,2772.77,69.33,1424.16,1280.32,803.44,109.89,34.85,1069.16,1211.74,730.09,1096.9,2228,2425.76,1457.27,936.22,1333.42,885.62,2043.49,1844.7,1270.65,928.68,1120.49,981.82,566.05,1058.97,917.46,1323.37,764.38,883.98,439.42,525.62,1428.94,2425.94,1163.53,365.42,1957.19,912.43,2919.72,1913.48,1345.85,819.6,2827.34,1925.36,1344.37,1001.33,2488.28,982.1,227.41,613.86,1309.15,1199.23,1610.03,1756.45,6690,469,1253.07,2814.89
2011,255,2458,1815,1194,2384,3419,861,1359,772,205.19,198.41,242.06,451.43,1039.84,513,1620.25,2165.56,1421.07,1978.65,1563.93,1776.78,1182.07,1818.5,13681.95,5219.48,3411.89,4107.49,10830.4,2083.52,2318.17,1478,3088.78,1695.51,2772.24,3302.19,2162.95,1348.88,3038.87,6213.99,1003.09,2176.33,1103.35,5435.22,2327.45,1332.62,2650.65,1758.66,686.83,3552.51,1993.96,4223.25,2169.9,986.97,2389.02,2806.9,3737.28,1260.44,2377.26,1634.63,799,1118.15,8.96,55.6,69.48,137.43,330.2,895.66,16.23,90.7,14.43,54.38,219.68,171.13,2889.59,2851.89,1514.76,2607.15,8.61,14515.2,2035.9,2320.3,3008.3,3404.8,1668,1922.3,4474.8,2694.4,3078.5,1767.2,4843.4,3386.8,1804.9,3209.5,2945,672.2,9905.4,1651.2,1520.6,4071.1,129.5,1480.41,970.77,1616.49,683.62,768.48,679.66,908.91,1480.41,4837.22,8874.47,264.73,1785.06,19375.08,1439.05,219.32,3160.12,2266.4,479.55,836.94,2630.74,542.53,841.03,850,8535.85,1963.11,8298.78,5058.71,1071.44,2968.76,6245.64,1243.49,1216.5,1103.22,272.21,703.53,656.76,465.59,1140.15,2223.47,318.67,578.01,2894.99,4645.27,786.62,4286.27,1649.67,2705.02,177.38,1556.58,1272.78,1538.12,107.52,92.19,1293.58,1573.66,1148.12,1597.96,2198.16,2389.45,1862.61,1075.58,1324.71,969.08,1837.61,2346.68,1505.37,1228.2,979.91,1080.41,367.42,846.7,763.22,1184.54,669.56,820.18,325.91,471.96,1470,1785.09,1014.12,344.63,1477.52,714.39,2439.91,1596.37,1149.21,831.21,2321.27,2141.08,1168.21,774.62,1897.94,651.08,157.54,465.89,1085.21,1006.48,1188.06,1249.23,5779.77,344.28,894.12,2942.96
2010,263,2082,1971,774,2151,3314,738,1052,734,225.68,133.85,240.16,430.98,908.87,343.84,1608.61,1819.17,1301.61,2089.54,1377.83,1450.68,932.09,1588.44,13195.96,4857.56,2965.88,3428.27,9754.58,1670.9,2328.81,1199.89,2685.53,1479.88,2452.72,2790.69,1891.47,1069.31,2223.62,6252.68,975.34,1926.88,1120.66,4690,2008.98,1227.11,2377.46,1588.7,651.87,3485.56,2326.63,3431.8,1963.25,876.12,2179.09,2560.98,3903.56,909.59,1589.44,1211.31,1156.8,1318.56,12.63,58,140.36,150.94,449.6,456.24,42.68,175.69,9.58,126.11,676.29,509.29,2778.42,3125.93,1541.22,2256.21,8.22,14199.8,1846.7,2261,2860.9,3246.3,1566.7,1856.3,4344.8,2565,2934.9,1725.8,4423.2,3173.1,1699.6,3082.1,2793.3,647.8,9350.8,1544.2,1448.2,3850.1,118.6,1564.54,1191.51,700.7,384.79,723.45,714.3,459.46,1638.15,4999.08,9162.83,173.62,1451.26,16731.37,1196.34,179.89,3273.92,2217.9,412.19,880.03,3165.1,622.21,750.89,725.47,8243.34,1863.14,8957.22,4786.8,1018.84,2536.03,4781.02,1009.41,1019,741.19,491.78,776.05,698.63,548.07,906.72,1441.7,1036.41,580.34,2555.75,3648.72,757.81,3300.62,1175.18,2889.92,192.34,1909.79,1486.42,1216.75,145.55,94.57,921.75,1272.99,780.16,2202.67,1964.63,1407.06,1533.19,973.53,1142.7,882.68,1193.58,1615.1,1008.96,893.14,684.25,1035.62,273.52,756.38,730.32,1408.96,738.19,847.19,373.34,486.91,1499.3,1630.81,1112.07,375.34,1130.62,537.84,2034.29,1304.55,989.92,851.37,1917.61,1645.04,1120.87,1033.15,2040.71,685.89,208.56,604.51,1000.64,1044.31,1395.41,1330.68,486.91,343.7,1250.88,2304.67
2009,249,2180,2131,704,2230,3533,831,1073,761,177.23,153.06,500.88,728.29,882.32,347.89,1570.72,1742.35,1370.12,1354.72,1311.03,1360.24,913.26,1690.41,12103.96,4569.22,2998.67,3522.78,9532.64,1989.38,1781.39,1250.71,2614.41,1596.72,2481.74,2831.01,1830.99,917.5,2001.2,6248.63,1118.32,1859.04,1145.98,4906.84,2073.48,1166.35,2502.66,1566,735.94,3446.05,1391.1,2463.64,1991.74,715.7,2072.37,2477.01,3607.61,1222.64,1973.76,1593.83,727.62,2019.85,12.5,59.78,111.98,277.6,455.98,599.31,49.98,188.18,9.92,132.11,392.63,189.39,2841.74,3502.37,1850.09,2323.87,13.93,12613.5,1737.8,2134.7,2541.4,3070.5,1400,1812,4164.2,2479.4,2726.1,1584.8,4264.5,2949,1651.5,2679.4,2729.3,613.1,8449.7,1468.2,1395.4,3411.2,108,1454.6,1025.03,675.77,440.77,628.73,704.49,515.98,1734.31,6139.64,7371.17,226.48,1831.54,15723.53,1453.11,172.57,3549.78,2435.85,600.03,900.21,2788.57,576.73,700.39,591.07,7687.51,2005.44,9494.02,4904.53,994.15,2056.66,5607.64,939.41,977.2,986.56,292.97,1009,503,541,1350,1493,335,650,3141,3135,757,3569,1274,2553.03,173.76,2249.54,1613.56,973.04,176.57,181.21,738.46,1262.98,520.96,803.2,1377.7,985.49,872.52,556.19,1142.49,1038.06,1031.03,1686.65,968.22,944.78,727.29,1050.38,307.66,782.69,809.24,1269.97,512.24,956.04,397.43,466.83,1301.28,1405.4,977.58,331.21,1108.75,546.72,1917.72,1237.96,1121.76,1115.18,1650.12,1358.25,1248.67,829.47,1895.21,600.25,175.84,559.3,1017.63,960.45,1555.59,1343.34,757.44,333.16,1408.62,2315.7
2008,264,2544,1912,865,2166,3470,805,1133,753,232.52,282.56,361.35,861.25,1592.86,486.06,1356.09,1920.03,1630.44,1862.02,1680.95,1790.67,1169.93,2656.26,11728.77,5964.39,4402.3,4558.46,7742.23,3158.08,2571.87,1968,3095.17,2966.86,3771.08,2940.16,2534.05,1158.05,2521.49,5760.23,1652.7,2371.28,1406.65,3813.18,2444.41,1403.15,3236.78,1809.06,639.84,3277.35,1670.02,2577.34,2786.56,892.98,2567.95,3439.51,3407.59,982.83,2465.26,2161.75,1010.06,1701,20.47,55.73,128.65,254.25,583.48,532.94,90.96,176.95,8.01,93.26,568.62,261.23,3118.91,3572.7,2204.47,2899.31,11.6,14056.9,2082.6,2387.6,2865.7,3379.8,1641.2,2144.8,4902.5,2853.6,3065.9,1788.4,4839.6,3310.4,1801.9,3145.2,2952.5,696.4,10036.5,1663.7,1596.7,3890,112.6,1767.7,1502.14,1056.82,477,957.91,645.94,545.51,1610.22,6081.77,10348.92,351.22,1555.13,18637.56,1657.55,257.82,3756.07,2738.37,479.65,1137.93,3581.2,762.38,629.32,681.01,8059.63,2191.41,12876.2,5513.18,1640.35,2777.63,6023.96,1667.95,1315.1,1467.32,225.42,900.14,425.62,1551.79,1375.21,1803.11,420.34,634.92,1866.77,3109.76,1187.32,3726.49,1590.53,3357.54,204.15,2659.4,1384.83,815.12,119.39,133.06,1326.02,1808.34,1257.75,1366.97,2703.69,2139.68,1390.32,1193.91,1529.1,1193.14,1340.68,2202.56,1405.47,1262.83,1112.89,1077.67,435.76,1191.4,1659.2,1884.39,766.28,1030.59,538.99,686.84,1592.31,2132.45,1506,455.67,1332.44,792.26,2308.69,1456.54,1421.3,1166.06,2483.13,1612.77,1279.2,1127.53,2370.52,785.55,254.67,688.6,1628.37,1056.09,1994.55,1780.23,471.06,569.46,1854.16,2939.9
2007,285,2315,1806,911,2014,3400,719,1286,793,173.01,203.28,255.19,493.98,852.52,389.47,1446.48,1903.55,1546.03,1621.37,1382.27,1880.9,1170.89,1922.71,11283.57,5397.38,4274.33,4170.46,7823.17,3151.52,2558.72,1944.56,2869.52,2758.19,3555.55,2554.14,2444.32,1124.66,1985.11,5349.8,1449.09,1930.21,1305.26,3326.79,2291.51,1349.53,3136.63,1663.38,662.71,3041.52,1631.04,3504.76,2137.43,898.71,2431.21,3000.5,3111.56,564.92,2527.72,2015.54,899.66,1098.96,24.27,42.76,95.92,223.15,646.16,453.46,70.31,216.4,10.34,125.77,290.17,279.07,2693.05,3734.01,1950.09,2283.09,28.76,14450.9,1995.4,2380.6,2741.5,3439.5,1634.6,2087.8,4960.7,2827.9,2923.7,1669.7,4724.6,3237.3,1800.2,3199.2,2712.2,705.2,9232.1,1634.3,1518.9,3987.6,116.1,1894.13,1892.72,837.06,377.1,727.27,723.05,516.24,1347.77,6647.13,9470.5,185.3,1906.55,16598.05,1480.46,211.03,5273.59,3323.95,483.35,944.39,3812.5,907.89,640.83,810.97,7750.82,2026.88,11588.83,6818.43,1355.51,2748.68,4978.84,1839.57,1109,1396.55,269.72,787,421,1242,1350,1854,403,589,1640,2691,1140,3543,1600,3012.13,243.03,2384.7,907.89,739.69,116.23,134.23,1258.78,1716.64,1193.99,1297.66,2566.61,2031.18,1319.82,1133.36,1501.28,1071.54,1807.9,2141.34,1552.07,1277.05,1538.31,1075.96,656.01,1076.03,1903.84,2234.84,828.28,1116.47,787.84,569.16,1760.6,2496.45,1895.39,518.75,2031.41,979.78,2023.53,1783.86,1678,1157.57,2047.2,1582.27,1434.32,1193.08,3085.42,766.18,255.95,755.77,1404.32,1118.22,2216.31,1713.99,1018.9,492.81,1922.48,2646.94
2006,235,2129,1536,853,1990,3281,772,1242,645,197.83,173.09,225.66,472.74,533.9,391.7,898.17,1524.35,1182.41,1302.73,1274.89,1279.69,1075.82,1737.25,10234.82,5327.41,3920.12,3793.6,7415.6,2690.87,2295.93,1781.23,2650.33,2469,3365.43,2935.32,2444.93,1110.42,1956.17,5126.04,1321.07,1865.82,1282.47,2787.22,2092.11,1229.97,2777.64,1467.84,522.73,2752.95,1196.32,3192.43,1950.25,884.34,2371.29,2787.04,3455.78,738.96,2010.56,1832.93,684.67,1027.91,14.9,48.51,143.43,200.23,541.65,400.53,62.89,252.4,6.19,131.95,494.38,215.25,2696.32,2810.08,1829.54,1850.04,29.02,13319.1,1782.1,2133.6,2440.8,3207,1471.2,1822,4344.3,2605,2619.9,1520.3,4135.1,2939.9,1584.9,2845,2883.7,633.9,8405.2,1491.7,1419.6,3697.9,109,1695.78,1217.18,746.59,338.59,697.99,564.76,420.51,1409.46,7190.5,8567.4,117.57,1808.76,15874.6,1513.11,252.33,5137.77,3531.76,451.84,1031.3,3335.38,781.37,627.87,816.6,7316.63,1909.57,10656.43,6036.7,1132.37,2763.68,5046.15,1460.36,907.5,1102.68,208.3,792,375,1364,1221,1736,316,514,1530,2595,961,3281,1483,2252.98,211.64,2139.24,1222.68,505.55,116.33,153.69,730.27,995.89,692.67,752.82,1488.97,1178.34,765.67,657.52,1536.1,901,1161.9,2306.67,1217.62,1076.45,1207.35,926.44,496.71,1355.27,1661.88,2076.06,655.66,1028.84,432.29,416.3,1281.82,2463.8,1543.53,481.53,1613,768.82,2113.71,1470.68,1556.11,1162.25,2373.7,1480.85,1645.93,957.38,2891.7,678.72,202,625.32,1240.59,1186.83,1832.31,1722.8,990.79,335.51,1474.41,2485.69
2005,211,1966,1378,682,1778,2733,608,1063,666,233.78,153.17,239.47,296.52,643.88,403.65,563.9,1846.48,1393.56,898.19,1309.99,1331.58,786.99,1219.9,8688.32,4811.76,3779.8,3319.01,6356.71,2681.7,2041.66,1634.58,2544.56,2353.86,2956.85,2819.87,2083.77,1009.12,1997.31,4897.36,1229.17,1926.91,1088.69,3150.9,2074.86,1213.13,2715.31,1467.63,530.9,2520.32,1323.82,2944.64,1915.99,933.64,2125.89,2606.02,3183.12,625.89,1580.16,1382.62,723.45,887.4,16.01,46.13,89.51,195.96,420.09,387.41,47.93,168.55,10,104.01,373.71,193.43,2549.52,2599.85,1827.23,1764.4,26.01,12697.4,1700.2,2111.4,2342.5,3004,1362.6,1729.8,4071.8,2506.6,2587.8,1507.1,4004.4,2806.3,1513,2700.5,2378,618,7842,1445,1317.8,3511,99.1,1459.8,1434.63,718.88,280.01,838.68,527.71,383.49,1414.55,7304.57,8499.27,161.62,1677.92,14668.2,1302.13,182.11,4324.43,3433.33,521.72,1008.76,3109.59,677.85,621.36,741.35,7017.44,1763.16,9684.45,4989.7,999.17,2356.47,4821.71,1114.83,767.8,961.91,209.52,700,375,1165,1107,1555,300,485,1422,2337,839,3117,1340,2074.58,214.51,2180.24,1123.21,403.69,107.47,164.01,579.91,790.83,550.06,597.81,1182.39,935.71,608.03,522.14,1326.5,918.35,941.9,1634.69,997.63,877.12,1733.78,1832.16,1259.64,1510.3,2563.48,3089.7,1439.04,1497.34,950.26,1141.09,2264.41,2870.5,1904.26,620.87,1399.59,1124.89,3296.06,2242.74,2174.61,1692.5,3124.06,1981.46,2320.4,1000.12,3497.93,1197.61,346.37,778.01,1812.98,2069.4,2103.85,2835.1,1155.04,564,2498.44,3178.09
2004,311,1843,1404,700,1729,2592,608,925,625,196.16,113.19,133.36,291.41,413.58,197.99,603.21,1854.69,991.66,894.52,1261.83,1360.67,902.64,844.16,9468.09,4950.33,3613.56,3116.27,6475.82,2718.51,2106.14,1645.1,2600.68,2305.91,2990.77,2976.94,2338.6,1082.12,2111.44,5194.27,1229.71,1775.11,1093.15,3366.43,2256.23,1210.12,3125.24,1461.89,539.75,2594.18,1400.95,3065.75,2106.81,1178.23,2019.24,2586.24,3054.75,726.35,1768.84,1764,694.23,1080.17,17.85,55.87,135.6,169.71,483.8,131.48,44.88,155.14,15.31,115.64,487.49,302.78,2248.48,2295.28,1655.8,2226.97,34.47,12478.8,1660.5,2089.5,2373.4,2876.2,1347,1716.4,4013.7,2521,2488,1536.8,3838.9,2730.6,1523.3,2524.1,2106.2,588.5,7621.2,1400.2,1264.5,3294.3,100.2,1500.3,1179.8,672.13,358.5,941.44,480.83,436.88,1308.31,5392.79,7532.2,162.95,1399.4,14107.46,1113.41,203.98,5063.96,3199.31,614.12,872.43,3490.43,828.13,608.09,835.19,6928.49,1598.34,10235.65,5345.92,964.62,2460.79,5121.99,1052.07,784.1,787.95,175.97,674,358,1024,1084,1503,291,470,1376,2285,877,3011,1302,1937.65,226.64,2126.49,981.53,322.19,91.98,152.49,430.04,586.47,407.9,443.32,877.02,693.9,450.9,387.21,1249.36,921.38,650.8,1271.73,833.96,738.82,860.71,1139.89,733.47,1104.85,1720.91,2103.13,605.06,882.91,449.59,687.29,1497.65,1971.99,1273.65,336.44,729.84,746.07,2098.1,1132.1,1233.35,1225.63,1945.9,1017.32,1403.83,817.9,2639.89,676.08,277.97,544.86,1227.71,1231.24,1371.6,1481.17,785.63,375.98,1374.05,1843.57
