TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,193,1786,1356,742,2056,3642,631,1452,782,60.41,104.81,171.25,608.7,209.23,190.46,449.42,2388.49,924.87,839.49,1183.29,1195.34,1074.63,1155.47,14962.07,4126.68,3162.28,4124.77,11164.22,1898.94,1799.96,1183.43,2514.28,1508.95,2416.96,2114.35,1502.31,1447.91,2117.73,5505.14,1099.16,1581.11,553.4,5058.75,1891.02,931.59,2114.2,1160.37,463.09,3617.8,1401.37,2166.04,1519.74,1155.41,1587.58,2245.72,3549.79,660.24,1335.9,1693.51,554.04,1339.04,6.69,11.97,48.56,105.24,221.8,41.83,21.42,21.42,0.86,39.34,214.97,120.68,1702.2,2038.62,1340.3,1230.65,9.25,10240.37,1592.8,1933.96,2622.73,2605.8,1322.95,1468.15,1532.33,3983.05,2450.18,1342.89,4098.13,2776.79,1486.24,2359.32,2486.15,500.45,7684.4,1396.11,1002.16,3031.5,69.44,1365.4,1014.7,1596.82,238.57,596.29,757.94,529.3,1208.37,4795.47,7082.51,109.67,1185.33,14232.86,1159.54,239.68,2072.84,1485.69,462.93,273.41,1489.22,311.12,630.33,462.06,5761.51,1712.42,6880.93,3171.13,735.24,1590.07,1789.06,686,400.5,444.06,219.12,386,309,308,832,1120,146,476,1720,2339,474,3248,1149,1506.4,16.34,1000.21,723.63,332.71,25.26,7.95,498.05,679.81,277.39,323.9,779.9,382.73,327.83,511.7,960.05,667.08,1304.38,1176.1,636.63,342.1,728.33,836.66,308.73,705.72,700.18,742.45,369.14,839.23,357.23,419.66,693.84,1879.95,733.29,265.84,1318.39,675.62,1299.33,1051.36,1264.2,610.09,1637.15,917.93,849.23,419.19,1397.14,587.32,103.67,229.8,829.71,835.05,905.9,815.22,223.26,254.73,890.15,891.68
2012,231,1755,1267,869,2041,3488,632,1262,720,88.97,169.59,164.61,201.16,387.15,342.97,509.68,2307.73,927.35,769.49,1286.61,1317.87,1056.94,1209.75,14479.36,4317.17,3195.15,3961.01,10678.26,2088.46,2132.87,1221.56,2807.48,1680.16,2631.71,2147.86,1144.51,1211.51,2057.18,5484.28,1036.32,1489.64,609.83,5175.52,2045.04,871.66,2031.81,1298.77,527.55,3259.7,1499.61,2612.25,1728.21,1187.59,1661.73,2392.95,3741.15,627.78,1473.46,1398.9,528.1,1148.99,0.02,5.15,16.49,39.21,677.17,17.64,7.03,23.25,0.03,12.21,202.16,82.16,1733.83,2006.13,1375.32,1718.4,11.33,9772.5,1522.4,1882.2,2444.1,2517,1257.6,1458.3,1783.6,3180.2,2365,1335,3897.1,2664.4,1430.6,2245.9,2348.7,490.9,7304.7,1333.3,982.7,2813.5,66.9,1185.55,831.93,2002.95,225.67,519.87,606.71,594.23,1022.49,4057.49,7183.15,93.77,1326.56,15342.06,1084.93,113.67,2183.82,1614.93,276.08,287.42,1812.27,390.75,495.52,434.62,6316.44,1860.42,7081.37,3503.71,755.09,1553.46,1994.91,616.94,566,679.07,203.57,357,456,299,875,1074,144,413,1482,2992,454,3015,1220,1542.81,17.3,1015.67,676.65,492.95,41.06,14.28,540.44,671.79,386.18,454.98,1049.87,440.11,596.21,506.31,851.11,707.97,936.7,1467.91,897.43,559.91,707.14,659.68,353.22,675.65,646.57,933.78,538.62,716.84,249.96,405.45,781.97,1869.62,702.4,198.98,1540.85,608.34,1696.36,1011.44,1090.6,602.47,1405.79,1017.78,863.84,366.9,1741.91,614.31,103.67,237.06,873.81,731.31,916.9,795.06,212.92,306.9,987.03,577.91
2011,171,1669,1163,869,1682,2828,531,1016,608,90.72,176.28,142.52,206.24,369.42,304.8,533.02,1795.2,954.37,747.17,1263.85,1295.45,1018.95,1297.15,12639.08,4258.95,3001.71,3755.93,10242.99,1917.72,2030.88,1212.88,2616.25,1508.43,2390.82,2155.62,1419.42,1182.61,1955.18,5382.31,875.2,1387.82,602.65,4785.51,1840.24,975.09,2013.97,1208.83,483.44,2920.59,1470.3,3628.25,1764.28,764.39,1612.23,2162.26,3156.12,966.1,1305,1282.98,461.71,1011.29,2.92,19.57,36.93,97.04,252.03,598.4,15.61,69.09,7.62,32.64,138.37,86.38,2021.37,2222.7,1277.71,1675.5,5.72,9734.7,1523.9,1842.4,2299.8,2453.7,1233,1458.4,1851.2,3226.7,2362.3,1432.5,3698.1,2620,1331.5,2211.2,2073.2,491.1,7258.2,1264,962.9,2636.3,65.6,1151.25,789.77,1371.4,365.49,672.7,543.83,811.3,957.9,3801.39,6996.87,105.88,1221.49,15804.21,1294.09,188.28,2393.08,1710.38,341.1,520.33,1584.21,414.94,511.19,544.17,7151.31,1637.67,6179.55,3681.98,790.33,1638.65,3315.54,545.81,439.4,550.05,201.75,325.14,390.03,273.38,955.81,1063.05,150.05,351.23,1471.09,2300.41,702.78,3126.11,1131.92,2705.02,177.38,1556.58,1272.78,1538.12,107.52,92.19,420.84,610.41,517.7,561.86,886.34,323.51,525.28,474.28,911.51,741.44,847.68,1827,1130.16,868.38,654.46,696.78,275.31,604.09,610.57,857.66,517.76,638.52,199.18,342.63,734.06,1448.4,618.84,223.93,1172.21,536.89,1481.12,848.32,1008.97,685.3,1039.64,824.18,683.35,332.18,1447.55,413.43,62.48,200.92,715.84,650.2,639.41,744.99,187.79,209.3,819.35,977.94
2010,182,1502,1551,546,1464,2674,512,815,618,80.69,119.68,114.89,167.49,299.8,204.77,543.55,1532.91,846.15,621.34,1080.6,1035.24,777.73,1020.8,11696.72,3791.02,2581.56,3141.63,9132,1505.44,1982.81,981,2277.89,1295.64,2109.1,2083.26,1021.66,899.83,1563.24,5301.89,850,1142.74,638.77,3852.73,1518.69,833.26,1795.15,1074.96,400.42,2913.67,1898.27,2858.38,1515.94,550.19,1448.53,1968.32,3188.94,599.55,722.41,607.47,883,1132.74,2.54,6.6,50.38,94.44,317.24,15.42,36.11,154.11,3.67,56.56,595.08,385.59,1912.4,2531.45,1190.25,1604.93,6.96,9392.4,1339.9,1751.2,2125.8,2294.6,1131.3,1374.8,1726.7,3082.2,2206.8,1367.3,3289.3,2393.5,1214.8,2082.1,1930.9,461.2,6643.6,1147.5,904.4,2432.1,58.7,1116.94,1031.37,566.45,171.22,609.3,588.8,341.12,995.04,3641.35,7365.39,68.38,985.1,14669.54,1047.33,144.66,2725.18,1736.92,284.52,588.72,1939.27,478.53,493.7,566.03,7005.74,1471.9,6563.72,3723.2,747.06,1886.71,2618.94,368.74,526.4,408.79,212.47,308.15,281.77,247.88,785.44,926.59,137.75,390.83,1564,2020.12,353.91,2927.95,934.62,2889.92,192.34,1909.79,1486.42,1216.75,145.55,94.57,667.2,824.18,493.85,683.61,1319.88,705.17,638.15,675.18,814.35,628.04,497.89,1079.94,687.55,585.14,312.42,447.1,190.4,530.97,507.72,1043.05,520.6,653.96,194.65,305.41,644.38,1204.65,665.35,227.34,754.97,379.67,984.6,863.96,776.96,638.21,923.27,911.02,704.95,323,1363.39,466.79,84.78,191.64,481.32,606.8,589.02,580.63,143.36,194.66,1075.26,961.78
2009,170,1482,1598,465,1662,2734,543,837,621,90.18,126.01,135.85,369.68,275.98,225.44,477.02,1542.77,840.7,690.64,1053.57,1008.74,812.52,1237.22,11040.83,3804.31,2576.35,3222.27,9051.92,1833.69,1541.18,1017.11,2245.33,1353.64,2146.31,2172.53,1115.19,759.09,1518.3,5418.39,1014.8,1266.92,674.3,3977.69,1571.44,749.1,1806.19,1016.09,466.06,2821.91,1061.26,1669.5,1566.5,498.04,1406.09,1892.51,3121.19,950.95,821.49,1220.62,463.59,1796.04,1.56,16.3,37,108.71,385.78,25.89,43.81,112.58,2.54,82.26,321.97,48.7,2263.1,2586.75,1390.83,1605.73,7.59,8513,1336.7,1735.9,1978.1,2270.3,1081.5,1432.8,3187.1,1786.9,2129.2,1317.1,3367.9,2358.2,1283.9,1939,1992.7,464,6285.2,1165,928.4,2249.3,60.1,1062.57,944.9,522.76,248.55,497.71,556.16,380.56,906.6,4467.94,5850.46,79.73,928.34,12854.61,1348.34,133.09,2866.63,1780.74,341.68,604.66,1645.42,445.48,358.38,393.13,6354.67,1424.47,5296.21,3573.02,641.86,1480.78,2983.61,444.97,506.8,391.8,140.31,445,341,286,983,1062,156,408,1479,2135,604,2956,1047,2553.03,173.76,2249.54,1613.56,973.04,176.57,181.21,428.26,864.29,295.62,542.63,839.05,529.75,338.31,363.55,799.49,697.54,482.9,1094.4,620.99,577.69,342.49,386.89,193.62,567.26,563.33,906.29,367.15,742.99,197.39,294.86,640.3,912.87,504.78,184.62,645.36,353.38,923.17,654.5,864.09,883.74,796.75,722.29,680.71,320.91,1318.42,392.9,78.59,158.8,517.62,569.33,590.79,607.58,178.92,139.56,823.81,1056.1
2008,178,1757,1451,623,1733,2678,566,926,593,147.97,253.14,196.31,282.76,660.24,358.43,592,1714.1,1250.42,918.99,1528.98,1417.26,1054.76,2187.44,10717.29,5169.62,4028.38,4247.86,7065.84,2980.95,2411.29,1803.45,2702.38,2752.78,3385.11,2106.29,1424.69,895.64,1804.86,4764.84,1476.29,1890.91,950.14,3327.83,1954.99,1020.47,2385.21,1389.49,490.81,2720.36,1470.36,2136,1744.9,629.54,1725.61,2541.19,2954.4,682.27,1483.1,1842.54,664.83,1473.74,8.4,8.95,53.86,134.77,451.86,27.94,71.37,120.79,1.42,58.96,514.96,131.62,2463.32,2718.02,1853.2,1898.41,9.05,9870.5,1665.9,2009.7,2264.4,2604.8,1309.7,1707.3,3780.1,2126.7,2477.1,1488.8,3866.5,2652.8,1423.4,2249.4,2194.9,533.2,7646.4,1331.9,1066,2616.2,61.1,1434.68,1219.15,857.73,387.14,777.45,524.25,442.74,894.81,4280.01,7703.99,83.75,1155.72,15726.09,1547.13,190.99,2903.99,2289.88,323.15,786.86,2547.45,535.15,400.79,434.23,6869.94,1720.47,6230.93,3783.91,942.28,1953.03,2840.92,1043.37,796.4,878.48,141.84,457.68,335.87,465.03,1002.28,1350.46,203.12,468.1,1325.92,2452.79,615.29,3117.02,1282.44,3357.54,204.15,2659.4,1384.83,815.12,119.39,133.06,851.08,1056.43,808.04,871.29,1678.54,1165.4,568.4,787.84,1172.12,815.81,850.26,1621.53,992.24,894.54,759.46,575.14,247.46,700.65,1255.44,1559.97,525.42,746.36,276.44,419.31,862.15,1595.5,763.84,222.67,782.39,486.74,1169.72,912.1,1155.15,908.56,1207.08,845.79,818.71,426.53,1566.33,498.45,103.69,232.93,840.47,783.4,854.3,858.81,147.87,314.22,854.97,1427.02
2007,208,1594,1223,686,1670,2826,482,1062,602,110.74,186.65,153.25,196.16,447.97,303.64,647.88,1792.26,1201.47,1149.9,1255.28,1333.39,1099.91,1639.81,10480.54,4842.92,3825.17,3909.27,7051.68,2994.1,2264.07,1731.88,2500.09,2566.89,3200.2,1992.12,1263.96,930.86,1628.7,4421.14,1306.33,1587.06,851.51,2901.67,1758.81,973.81,2307.23,1297.75,535.3,2535.47,1417.39,2662.98,1655.38,616.61,1617.4,2231.6,2852.39,307.22,1396.67,1640.81,647.87,882.91,15.92,16.73,53.43,156.93,498.74,33.84,46.24,192.85,3.14,92.24,252.03,152.68,2130.48,3188.57,1619.87,1680.7,7.39,9996.6,1577.3,1919.5,2122.2,2570.4,1297.2,1678.6,3732.3,2072.4,2344.3,1372.9,3704,2575.7,1417,2374.3,1971.2,539,6956.5,1293.8,1075.7,2837.3,63.6,1560.54,1559.38,689.64,310.69,599.18,595.7,425.33,749.34,4788.97,7634.93,81.59,1234.41,14748.51,1352.43,159.02,4035.94,2616.57,305.54,427.74,2154.59,680.87,368.83,521.79,6067.62,1517.07,5849.38,4021.15,887.16,1894.16,3442.82,1223.6,676,871.2,210.36,432,346,431,988,1330,214,464,1270,2186,612,3035,1245,3012.13,243.03,2384.7,907.89,739.69,116.23,134.23,829.85,1030.07,787.88,849.55,1636.67,1136.33,554.22,768.21,1090.97,769.55,722.95,1364.47,774.63,743.68,1020.97,598.02,412.67,696.82,1528.42,1446.5,561.93,885.83,457.86,360.64,869.68,1705.56,872.44,256.55,873.61,728.4,1093.93,1160.52,1355.61,971.53,1288.31,859.72,782.75,535.99,2225.14,443.18,109.4,314.14,896.7,786.65,942.99,887.01,231.79,240.47,1041.41,1160.09
2006,166,1397,1022,622,1567,2660,532,947,524,120.32,147.39,138.72,231.58,337.77,211.37,658.81,1415.5,931.34,932.89,1116.82,1098.76,989.98,1160.54,9278.01,4610.85,3541.28,3508.4,6414.46,2549.11,2001.16,1569.83,2307.3,2252.14,3004.69,2388.25,1292.78,904.51,1724.7,4255.96,1156.76,1504.2,784.66,2376.64,1561.9,839.34,2075.57,1107.59,392.3,2202.04,974.36,2635.51,1482.03,546,1523.25,2000.81,2699.79,596.59,1126.41,1544.56,485.58,888.87,4.84,7.94,47.44,125.06,423.24,26.1,59.65,218.59,1.91,71.42,402.12,110.5,2225.3,2243.24,1563.31,1461.43,15.72,9478.1,1456.5,1805.9,1946.7,2469,1216,1527.6,3390.2,1965.7,2195.1,1313.4,3392.3,2449.3,1273.4,2177.7,2212.5,497.2,6553.5,1237.9,1041.9,2715.1,55.3,1352.26,970.61,595.35,270,556.6,450.36,335.34,798.78,5168.5,6986.75,56.54,1068.08,14007.87,1385.38,200.51,3854.45,2884.31,277.78,537.05,2102.09,557.82,347.61,530.24,5679.91,1422.2,5290.94,3627.69,765.86,1884.78,3728.51,905.1,496.2,721.04,169.67,415,306,425,902,1222,179,404,1157,2110,551,2815,1134,2252.98,211.64,2139.24,1222.68,505.55,116.33,153.69,544.98,676.47,517.41,557.92,1074.85,746.24,363.97,504.48,1255.38,592.1,779.72,1385.23,791.13,701.57,770.71,494.74,258.38,886.54,1282.55,1375.06,422.77,803.59,217.12,264.38,600.12,1874.15,867.38,263.86,683.69,554.27,1276.55,899.52,1281.53,984.75,1387.12,920.87,1030.41,512.64,2181.78,442.1,75.82,227.39,810.58,905.12,932.02,739.49,139.78,174.44,883.07,1069.37
2005,125,1258,975,475,1421,2211,428,787,439,99.3,116.83,196.56,166.76,302.71,237.75,446.95,1674.9,831.91,615.24,1116.51,1182.53,735.91,956.55,7922.27,4239.4,3407.74,3069.24,5686.65,2505.6,1784.66,1448.13,2162.8,2128.6,2617.51,2218.17,1083.63,818.24,1774.01,3993.29,1032.6,1467.91,564.08,2781.33,1579.17,899.05,1975.65,1142.23,410.57,2064.14,1111.05,2275.9,1472.46,573.5,1337.87,1736.61,2566.63,461.1,1054.38,1137.31,462.17,798.77,7.43,8.59,38.83,105.11,346.04,22.19,43.99,136.28,1.67,56.74,287.93,99.44,2061.01,2296.12,1436.47,1388.19,5.21,8935.5,1345.9,1736.3,1823.1,2253.9,1085,1400.7,3080.2,1850.1,2084.8,1254.6,3212.3,2271.4,1166.1,1972.8,1641.2,459.2,5958.2,1152.9,920.3,2501,48.6,1182.93,1162.53,582.54,226.9,679.61,427.62,310.75,852.1,5423.31,6684.94,84.56,1088.14,12754.45,1188.52,139.51,3284.41,2871.19,362.96,416.05,1914.72,490.58,336.14,449.69,5181.56,1280.17,4924.25,2919.48,658.35,1641.88,3652.73,761.59,465.7,574.64,163.82,406,312,391,849,1191,172,380,1080,1886,472,2708,1037,2074.58,214.51,2180.24,1123.21,403.69,107.47,164.01,413.41,513.13,392.5,423.21,815.32,566.07,276.09,382.69,1034.2,701.37,784.72,1389.33,818.2,699.02,1439.34,1358.24,979.68,1261.57,2265.28,2589.86,1274.32,1319.22,727.74,973.39,1727.03,2505,1530.1,468.49,1058.35,990.99,2628.29,1883.63,1918.99,1513.83,1840.12,1244.5,1733.72,795.48,2971.06,909.37,207.87,364.62,1329.54,1860.61,1316.37,1792.98,265.46,312.59,1919.76,1939.33
2004,225,1275,1038,494,1363,2066,456,672,465,76.84,90.78,101.11,133.86,224.49,163.58,431.16,1734.35,840.3,634.94,1111.66,1059.86,823.59,579.1,8706.99,4397.05,3208.43,2815.12,5592.15,2561.87,1817.35,1464.02,2217.49,2066.15,2638.15,2226.65,1322.85,835.14,1812.13,4335.99,1079.15,1471.92,521.15,3005.91,1827.76,906.99,2398.96,1119.72,427.31,2099.93,1153.61,2391.95,1633.02,785.53,1239.03,1736.29,2266.29,563.99,1176.76,1451.63,495.3,1005.12,8.33,9.36,53.97,90.99,408.51,2.43,19.11,182.72,1.4,74.14,334.78,122.05,1732.54,1924.74,1428.3,1793.61,9.81,8763.6,1333.2,1731.4,1857.4,2169.1,1080.6,1413.7,3105.3,1919.9,2047,1307.2,3119.3,2261.9,1174.4,1895.1,1539.9,454.6,5885,1142.1,927.3,2396.7,48.3,1203.23,946.19,539.04,287.52,755.02,385.62,350.38,653.74,3657.38,6005.37,74.18,992.37,12409.17,1016.57,132.18,3981.51,2641.35,384.65,356.91,2040.66,500.54,365.11,544.92,5164.19,1250.43,5036.01,2888.44,682.39,1639.48,3600.14,725.27,551.7,439.19,149.91,384,296,388,826,1135,164,368,1042,1820,470,2612,1004,1937.65,226.64,2126.49,981.53,322.19,91.98,152.49,303.46,376.67,288.1,310.64,598.44,415.48,202.67,280.89,1009.1,725.49,513.23,1036.29,703.46,596.31,589.6,805,570.96,785.01,1462.75,1652.68,445.85,698.57,244.27,513.42,851.05,1536.24,933.96,222.99,458.81,529.86,1471.88,839.73,1032.53,1062.69,1146.95,654.31,983.68,631.18,2027.44,438.33,136.21,249.69,759.15,877.71,697.8,644.59,120.88,171.29,786.98,1139.13
