TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,34,254,152,96,180,265,111,155,81,17.38,27.99,95.12,124.99,629.99,95,345.54,101.89,86.57,80.95,98.34,179.37,78.83,70.94,304.38,195.25,171.79,145.64,395.44,156.31,124.35,101.44,139.37,130.13,189.18,109.25,244.76,21.65,86.51,238.64,67.38,94.58,95.03,90.01,134.8,133.06,242.61,124.1,47.4,138.14,47.75,149.91,148.95,92.9,197.92,204.74,222.05,97.88,167.61,214,92.12,53.73,0.24,0.22,2.32,0.86,6.36,2.62,2.18,132.81,2.41,0.83,13.31,0.48,145.86,269.82,136.71,235.64,9.98,1973.09,152.16,190.86,238.46,315.75,186.06,190.94,468.26,256.66,251.13,117.81,537.47,430.36,211,450.66,407.96,74.36,1016.8,159.23,318.49,681.19,65.55,95.17,51.43,37.89,48.31,27.74,75.23,47.32,28.94,90.82,453.59,27.05,95.43,867.28,262.77,22.16,267.62,359.12,93.38,140.16,334.97,131.18,162.8,175.4,450.94,135.92,855.01,372.01,93.46,115.29,446.74,145.35,108.6,115.62,66.6,44,59,46,148,221,40,213,246,808,63,315,84,239.55,31.37,107.91,177,62.08,10.37,37.56,808.4,410.88,660.06,495.43,443.52,10027.11,201.72,355.99,89.05,35.62,119.43,94.13,61.98,54.56,282.3,296.26,103.71,61.89,221.41,413.81,122.87,90.99,77.72,384.81,564.34,339.3,407.17,41.32,920,669.49,330.98,1219.19,796.87,943.39,1246.62,209.62,352.7,452.87,530.01,269.24,97.7,246.85,543.15,447.74,449.15,463.43,305.34,169.12,349.52,6499.68
2012,33,253,150,120,171,249,108,142,79,22.42,25.87,111.95,160.99,563.19,97.76,445.74,107.8,109.11,98.49,105.85,182.95,108.67,92.25,327.78,213.74,184.21,159.55,372.69,158.8,120.35,100.22,135.81,125.91,181.23,144.05,112.67,24.21,168.16,273.62,77.78,107.34,97.03,94.6,141.66,139.82,254.9,144.21,55.3,160.27,60.7,145.32,148,92.29,220.92,220.65,220.05,103.17,162.42,193.99,90.95,104.38,7.42,1.8,14.01,5.92,42.08,5.22,3.04,4.26,2.06,2.85,6.64,13.32,221.39,311.4,158.04,190.38,5.8,1881.3,147.2,187.1,230.7,307.3,181.1,186.5,447.6,248.3,240.9,114.8,512.1,414.8,204.6,433.4,390.4,74.3,963.4,154.1,307.7,654,60.9,63.68,28.89,46.34,26.34,27.6,28.21,35.02,20.08,65.39,508.67,26.39,87.84,980.46,264.32,20.49,313.9,501.92,133.7,194.21,365.4,159.43,125.89,193.88,501.56,169.35,924.69,398.54,117.3,107.71,418.59,115.02,119.6,89.33,67.57,44,62,50,154,231,47,156,272,709,51,320,84,234.91,13.52,114.06,127.53,106.6,17.07,137.11,512.7,382.97,298.81,327.38,321.22,7887.36,223.91,253.27,88.57,55.52,272.87,78.35,86.54,59.97,345.84,288.71,140.6,564.03,322.11,289.62,117.84,126.18,531.89,264.08,1008.65,244.53,726.95,112.51,402.94,304.15,771.43,1826.78,912.07,366.34,1067.26,144.7,415.33,309.71,968.85,631.64,305.77,381.73,600.75,372.29,918.06,310.1,281.36,253.41,304.53,7157.44
2011,27,187,178,109,156,231,85,108,78,9.88,17.87,147.12,177.69,480.29,149.59,531.96,112.12,113.3,110.61,104.23,193.41,97.36,89.39,270.79,176.65,151.99,130.9,312.93,129.48,101.95,82.11,113.69,104.45,156.56,97.05,248.4,19.92,74,204.73,58.57,81.92,90.64,98.83,148.08,144.2,263.8,113,43.02,125.89,55.17,136.09,137.59,85.32,148.84,192.12,202.94,94.22,158.51,178.91,75.83,119.34,5.95,0.84,9.5,3.59,38.55,4.4,1.66,10.92,8.89,24.04,7.66,12.85,197.11,264.51,157.13,177.82,16.43,1828.8,147.5,189.8,236.9,314.5,185.2,186.6,445.1,248.9,242.4,115.1,511.6,421.3,206.8,437.8,392.5,77.6,949.4,155.5,320.4,658.2,59.5,109.43,31.35,21.76,33.39,21.86,71.44,47,4.57,15.35,841.25,41.28,136.03,1929.88,370.52,39.2,440.38,478.98,130.75,231.5,341.15,257.47,194.38,138.32,675.67,190.05,840.49,501.31,111.71,120.48,662.4,126.62,211,105.3,57.62,50.43,75.2,56.98,180.72,253.33,64.27,173.56,324.01,940.8,57.16,382.61,95.92,300.81,21.68,94.34,456.84,123.83,8.06,72.94,532.16,286.92,472.36,336.63,311.1,6079.59,202.26,252.65,55.29,74.82,70.16,82.81,73.83,64.02,294.97,315.56,121.26,803.77,231.51,109.11,88.98,43.9,219.18,407.8,312.94,68.66,222.92,123.86,1246.35,636.51,316.51,1337.9,579.82,726.71,1442.18,348.1,733.65,998.46,384.15,104.39,73.41,228.56,454.74,647.82,564.99,318.42,517.17,363.34,655.75,6008.1
2010,35,233,195,99,181,252,103,133,86,40.32,42.32,118.74,215.19,657.34,145.36,481.93,159.59,176.12,136.61,147.17,227.34,125.85,139.73,243.42,158.37,138.78,117.81,331.5,137.92,109.44,87.73,120.45,110.54,162.25,103.56,232.07,15.14,149.26,192.4,53.69,75.7,86.8,84.91,125.78,123.84,224.44,95.02,36.02,105.78,51.44,115.1,118.1,72.33,143.97,191.35,163.82,85.94,140.72,180.74,69.42,85.09,3.48,7.08,15.7,10.02,44.62,3.84,3.52,17.55,6.32,16.19,7.67,3.63,194.12,257.86,151.08,146.95,4.99,1632.6,126.8,169.2,194.1,267.3,160.8,162.6,370.3,212,203.3,100,432.9,356.8,177.3,370,328,68.9,790.3,130.7,272,571.1,48,193.18,30.28,20.39,31.35,28.56,53.56,38.8,3.76,11.01,765.31,52.39,147.04,1571.61,452.22,37.65,493.89,599.11,171.07,275.88,268.64,290.1,180.78,96.24,864.34,254.19,561.38,478.91,129.95,165.23,870.21,83.37,158.5,88.3,54.28,50.21,55.27,39.66,148.48,213.75,39.11,135.66,228.8,919.93,32.47,281.74,63.93,243.88,83.8,172.8,404.57,151.67,16.12,47.18,284.08,216.13,290.63,320.92,297.18,5739.78,177.65,273.44,133.64,93.97,77.27,101.29,84.39,69.43,245.37,735.95,186.46,909.49,486.85,591.87,121.54,126.46,309.96,242.31,1523.94,393.93,1116.54,387.02,916.66,177.83,593.83,1357.17,626.47,480.3,1395.52,981.86,472.81,625.9,391.73,87.11,64,433.56,599.66,101.78,1723.13,542.69,171.87,259.28,1448.03,2585.73
2009,24,173,209,72,136,212,79,91,64,59.26,82.89,184.54,310.17,1110.43,223.86,562.32,133.19,101.19,105.24,103.05,152.3,89.35,72.03,181.46,117.22,102.18,87.24,293.52,119.44,95.39,77.04,105.73,98.23,142.06,90.58,169.09,21.04,136.66,165.63,45.16,63.86,65.43,67.96,100.1,97.62,175.17,87.22,33.07,98.36,41.3,88.74,93.02,57.08,95.75,124.54,133.22,83.53,138.59,177.81,68.22,412.8,5.11,12.26,22.15,13.59,109.97,4.74,12.94,16.24,1.19,38.81,28.84,18.02,180.22,228.59,137.94,168.39,3.86,1636.7,134.9,177.6,214.1,287.8,168.8,175.9,397.8,228.1,216,107.5,448.2,376.7,189,391,347.6,75,831.7,142.2,281.3,583.6,49.7,149.48,38.94,31.36,60.7,32.12,42.73,58.51,36.92,102.16,522.07,47.17,164.09,1280.42,255.88,38.69,352.05,533.5,148.77,360.59,304.19,199.51,117.63,107.9,740.87,242.48,676.62,526.73,96.99,129.48,766.67,234.48,153.3,170.87,34.82,56,74,52,158,284,28,151,295,629,43,372,84,543.41,55.2,127.5,331.24,176.87,19.02,39.16,1353.45,917.33,948.47,1099.48,616.1,6489.04,493.08,1149.79,190.4,132.1,49.15,73.34,70.28,53.92,244.47,278.74,84.6,782.39,506.18,603.6,58.8,326.73,253.9,578.21,419.04,445.61,1346.43,139.39,486.43,143.45,1296.13,1823.1,581.31,269.93,960.76,731.56,944.66,162.12,240.34,184.97,82.57,141.43,189.39,110.39,1813.84,234.46,197.63,90.97,1033.74,4022.25
2008,25,194,155,97,155,209,91,119,76,58.51,42.35,310.98,208.31,1098.73,251.78,451.9,140.46,164.36,152.37,213.14,278.88,184.68,123.11,221.97,142.43,124.94,104.73,351.96,139.82,111.81,89.17,121.06,119,166.35,107.06,181.87,18.23,87.56,154.83,44.71,57.78,70.91,81.29,117.93,111.59,196.78,91.96,34.81,103.5,43.24,106.74,113.39,69.22,133.2,195.4,240.34,55.66,235.78,269.98,107.7,1020.4,7.15,43.54,92.41,26.03,123.95,22.64,16.41,22.72,10.64,32.82,59.21,16.18,216.76,261.25,193.14,283.23,4.62,2103.1,163,214.6,255.5,346.5,207.4,211.6,492,282.4,268.8,132.8,549.9,479.8,238.1,471.8,420.8,91.8,1019,169.8,354.8,725.4,55.7,227.82,61.12,53.5,83.71,69.21,72.18,66.27,113.22,335.75,666.04,52.71,187.45,2094.5,417.86,48.61,431.86,454.98,156.59,452.05,482.53,289.68,156.88,131.43,915.98,351.85,720.84,752.34,173.2,148.39,851.9,584.67,137.6,485.34,33.57,74.43,98.02,48.76,177.13,292.05,28.97,205.52,418.36,756.31,42.76,465.5,124.19,496.62,103.79,164.83,446.4,206.26,28.35,46.53,1718.65,1446.45,1178.27,1162.01,1279.99,12247.73,638.3,1653.23,288.66,159.11,99.42,175.07,107.67,120.45,256.17,245.94,184.25,1168.21,827.68,465.96,163.89,339.05,458.66,534.62,404.8,1131.71,556.08,90.14,364.01,155.02,1516.15,475.31,479.64,327.08,618.19,962.81,1437.79,390.92,697.66,256.42,115.03,331.26,92.88,167.6,1932.59,761.86,189.22,329.15,1719.53,6352.18
2007,38,270,350,141,189,246,141,231,98,29.15,49.86,259.95,322.49,756.89,232.39,278.25,126.09,130.66,106.97,142.94,212.38,141.76,124.61,206.19,131.58,117.19,97.48,271.04,105.81,86.19,69.56,93.7,92.05,128.53,113.36,217.2,15.97,68.08,249.02,72.71,93.67,85.17,74.79,108.07,102.31,177.43,98.32,37.09,109.88,55.66,107.77,115.58,69.25,136.07,199.22,248.57,152.34,239.04,262.39,106.84,672.12,9.4,13.62,107.5,23.49,305.2,64.7,10.8,53.53,3.19,35.87,40.39,18.81,197.39,266.81,168.72,205.85,5.23,1754.2,168.1,220.3,254.1,365.1,213.3,235.2,445.9,287.5,257.1,154,569.4,512.7,247.7,506.3,460.5,106.9,1027.6,185.8,368.2,721.9,52.8,161.58,96.74,32.44,63.69,46.27,48.46,46.75,252.68,703.6,463.07,23.88,100.36,3118.86,422.57,42.27,363.27,674.91,67.96,238.18,379.92,239.79,215.93,133.87,1155.66,168.14,630.74,757.63,85.02,231.27,832.6,617.32,139.1,609.32,38.24,68,89,46,162,264,26,188,366,677,39,419,111,446.63,123.05,184.11,622.12,197.53,52.41,59.83,1480.71,936.02,929.33,782.42,998.44,6147.78,447.52,1220.25,228.89,190.4,67.62,93.66,73.49,66.17,438.84,458.37,137.83,1072.37,1183.5,694.17,242.9,453.55,466.6,596.96,935.13,921.61,789.74,220.02,860.63,821.04,1281.33,691.07,946.68,555.48,1285.24,842.51,976.68,788.69,984.89,469.94,37.5,345.54,388.16,370.48,1969.85,634.77,405.96,164.81,2057.86,2208.96
2006,33,287,369,116,262,361,198,254,100,17.45,25.97,256.57,279.1,665.42,156.03,256.69,105.32,126.21,80.23,98.26,178.85,119.36,86.62,176.8,112.08,99.71,84.29,234.96,89.3,73.82,59.73,81.6,78.59,113.29,102.19,147.17,13.19,59.49,172.93,50.44,64.74,94.37,64.3,93.45,87.15,149.01,88.69,33.34,98.71,60.88,89.21,95.57,56.62,108.18,156.25,287.43,172.41,264.78,289.31,130.58,545.61,8.43,9.74,53.05,7.29,89.18,57.86,27.24,21.88,5.23,9.27,74.23,12.55,169.61,238.64,147.23,189.54,4.98,1529.7,150.7,191.4,222.2,318.4,186.8,202.1,381.9,248.7,221.9,134.4,494.1,452.1,213.6,431.4,401.2,93,886.6,162.1,315.7,620.3,43.8,310.25,59.31,48.53,85.61,56.15,61.98,61.5,252.44,667.36,440.37,30.25,116.94,2487.12,311.41,54.76,375.07,565.76,77.47,247.94,519.45,165.96,172.26,144.57,1387.88,237.02,590.66,604.72,69.99,200.9,783.35,414.09,123.1,279.63,31.86,56,75,38,133,216,22,159,291,556,32,344,89,342.91,100.23,193,403.87,123.4,34.61,61.01,665.27,785.58,387.06,501.82,1226.56,790.46,448.95,496.94,189.1,179.96,59.58,81.53,56.98,52.99,369.62,140.48,265.13,897.23,387.02,673.21,343.7,215.96,203.45,180.85,532.01,1264.02,242.51,126.5,943.89,830.31,1079.33,1295.39,1253.55,197.83,883.45,866.9,890.29,513.69,748.98,506.57,220.3,261.17,298.3,265.18,818.54,694.02,282.57,110.83,1870.52,2629.19
2005,44,344,283,156,268,392,230,284,109,10.61,16.54,183.33,180.07,395.83,104.28,220.84,81.46,137.06,74.24,105.5,166.85,106.24,66.42,146.69,93.21,82.05,69.8,216.54,81.45,67.56,54.34,75.68,72.11,103.66,131.25,121.43,11.35,46.81,168.52,48.41,61.17,84.09,54.92,81.14,73.42,121.97,74.25,28.08,83.49,40.9,88.61,93.62,56.49,107.26,123.51,193.91,122.92,216.06,212.16,99.3,492.41,5.74,25.51,54.21,14.27,61.3,19.8,15.25,19.26,4.88,22.75,34.71,30.05,172.15,225.62,124.56,159.12,4.56,1387.9,130.3,169.3,198.2,282.3,165.4,179.8,336.2,224.7,198.4,119.5,439.4,397.5,190.6,376.8,350.7,82.5,772.5,141,277.7,549.5,37.6,185.08,33.51,20.49,44.37,27.02,23.06,637.76,210.26,594.31,437.57,22.11,102.54,2708.09,272.12,46.65,295.37,458.47,57.04,479.77,300.13,163.42,203.75,153.62,970.73,184.25,473.5,462.89,106.56,214.18,802.42,268.87,116.2,239.91,31.43,50,67,34,126,203,20,144,290,504,30,319,87,346.6,97.28,194.07,382.69,113.21,38.74,64.14,443.73,280.48,278.49,234.47,299.21,1842.25,134.11,365.65,135.14,131.47,34.51,46.68,30.68,29.92,142.7,372.7,126.37,611.31,554.56,378.64,158.37,243.96,137.52,238.11,696.29,831.08,697.91,73.83,986.24,932.46,610.95,1072.49,502.78,253.6,883.35,685.63,814.17,332.77,814.85,525.07,121.41,333.02,410.88,387.86,690.08,457.58,156.79,221.85,1499.84,2022.52
2004,35,246,271,120,238,303,200,248,90,8.92,9.53,89.11,103,209.51,60.82,216.77,75.66,123.61,76.92,91.31,153.21,97.74,62.71,159.82,101.45,88.9,76.27,153.31,59.46,50.92,39.68,57.07,54.16,78,140.9,140.27,10.79,92.59,204.72,59.7,74.46,78.96,68.12,99.18,90.92,144.12,72.74,27.44,82.25,53.98,98.75,102.46,62.18,113.76,140.87,172.45,96.1,145.3,155.38,74.46,332.56,13.5,36.79,48.73,35.07,119.33,25.98,32.18,60.87,21.72,57.58,49.69,41.63,151.79,187.94,123.58,145,3.69,1274.1,123.3,157.4,181.7,262.7,153.4,166.6,313.7,206.4,187.1,111.6,400.6,360.6,174.8,341.5,313.8,76.3,709.3,131.2,250.4,492.7,33.2,276.67,83.6,55.27,73.45,64.39,78.37,53.67,171.53,505.83,348.06,29.96,103.72,2508.79,244.52,25.85,184.34,737.56,81.88,327.77,336.76,220.41,174.6,100,894.59,236.07,443.3,500.07,71.6,171.69,587.75,144.17,123.2,166.2,23.58,47,63,33,119,191,19,135,276,468,28,302,82,296.36,112.12,221.98,382.7,96.97,42.63,74.01,277.86,175.64,174.38,146.8,187.36,1153.57,83.98,228.98,98.65,130.26,37.28,56.6,35.09,35.5,144.99,426.96,128.27,819.68,653.77,246.86,213.34,190.66,229.55,229.02,847.71,929.29,592.74,247.72,356.98,526.38,418.93,521.4,552.77,575.79,486.19,674.9,1321.94,533.96,417.84,229.71,90.75,515.31,591.87,235.9,714.56,364.45,198.13,165.07,1009.42,2770.28
