TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,205,1951,4078,763,1622,1635,1019,1541,486,34.44,95.1,112.41,91.14,949.16,182.74,3011.05,592.84,1102.12,599,635.91,834.1,583.33,490.99,3796.98,3310.74,1739.4,1460.13,6780.01,966.12,926.69,896.16,2117.47,1171.72,1615.64,3662.71,1611.73,613.61,5190.63,4772.65,551.87,849.66,1167.43,1106.92,1990.38,1098.91,1938.3,966.56,293.05,1385.78,717.65,1140.07,831.62,851.18,1953.53,1127.95,4364.77,670.03,1723.41,1444.37,976.68,3447.45,44.84,62.41,182.26,63.65,513.21,28.8,49.06,69.77,40.7,99.75,56.86,75.4,624.95,2994.8,679.09,744.21,108.96,30094.91,768.1,1039.13,1139.09,1735.16,816.72,1011.07,2746.07,1349.18,1560.74,615.68,3023.72,2686.12,1039.99,2816.73,2471.81,393.08,6111.82,773.63,1896.34,4980.68,269.84,2677.33,407.53,336.74,251.04,257.88,435.32,384.03,1009.7,10646.82,6150.9,152.3,1836.14,12828.68,796.07,119.06,2736.97,1429.33,199.69,1770.26,1970.75,625.95,935.57,1135.26,4179.03,915.16,3633.19,2892.86,578.14,713.02,8689.1,1782.04,2081.9,1370.84,312.39,618,412,265,896,1522,411,1853,4337,5092,575,2303,1028,1502.82,215.69,824.52,2644.04,262.73,134.25,119.24,602.6,516.68,414.39,676.42,564.72,2632.68,241.59,417.36,400.97,725.42,2374.94,463.48,211.58,187.44,900.33,1452.2,372.44,2287.28,921.92,935.87,1105.14,574.34,744.03,894.38,1548.75,1535.57,1078.35,407.36,828.82,1139.74,1739.29,2485.17,1557.87,941.15,4827.93,2371.38,2221.71,986.62,2051.5,699.73,214.95,735.73,954.23,845.51,1650.92,2338.86,472.3,396.43,891.2,17125.21
2012,246,2124,3852,672,1380,1570,1109,1461,429,36.42,75.74,106.07,104.05,1024.31,122.94,2783.17,724.64,733.71,536.52,646.39,1288.12,582.73,868.46,3792.01,3224.79,1725.33,1424.26,6266.43,792.26,788.52,800.7,1956.36,1070.43,1459.82,3356.53,1844.47,767.29,5583.26,4341.46,513.94,805.54,1399.84,1186.38,2126.38,1164.6,2055.89,979.09,295.67,1447.12,654.36,1183.89,886.17,890.66,2025.86,1265.48,4992.54,494.92,1615.86,1270.07,502.17,3352.47,27.79,126.46,138.55,69.53,443.95,37.54,41.62,54.58,59.38,84.88,106.18,66.48,814.19,2465.84,945.32,760.58,325.07,28941.3,747.9,1019,1110,1686.4,796.7,990.3,2665.5,1332.4,1497.1,600.7,2880.7,2559.9,1006.3,2674.2,2377,386.9,5832.5,753.4,1818,4732.7,261.7,2299.63,303.25,303.24,229.12,244.94,495.09,366.16,1185.34,13998.76,5778.31,159.18,2090,13208.77,928.25,124.69,3337.2,1525.74,201.6,2048.74,1973.63,637.69,915.78,1093.27,4068.57,994.25,3600.78,2851.61,602.75,773.74,10577.2,1439.96,2650.7,1186.04,297.44,409,400,261,955,1667,767,1710,4801,4999,500,2290,818,1418.17,192.49,774.94,2848.11,293.81,171.58,98.63,574.84,473.12,372.97,562.98,512.17,2433.14,243.22,379.61,458.29,717.06,1648.39,478.29,280.99,303.31,855.15,1205.73,310.12,2490.81,775.82,766.52,854.38,468.3,1291.09,670.41,1676.55,1334.65,973.5,375.68,828.16,1037.81,2373.97,2494.8,1550.46,914.81,4354.98,3246.68,2447.85,1070.71,2307.63,810.23,270.17,665.23,833.24,554.62,1435.32,1975.69,499.62,324.62,818.74,15169
2011,229,2397,3902,657,1546,1450,1068,1667,408,39.39,78.29,160.92,111.03,1212.09,125.14,3536.36,905.41,862.06,702.16,721.88,1353.48,676.13,712.04,3456.09,3197.14,1604.34,1337.7,5913.28,815.87,768.21,805.08,1835.75,1012.4,1399.99,3013.57,1699.57,608.68,6108.4,5026.22,579.74,923.71,1362.14,1385.85,2559.89,1413.05,2491.59,1037.34,311.73,1506.49,612.54,1126.68,847.5,816.77,1956.84,1261.99,3611.12,625.99,1222.99,1418.81,1181.92,5915.43,49.93,219.21,208.41,152.69,833.65,35.05,98.4,135.71,95.06,128.92,97.89,115.79,699.24,2385.45,713.23,706.55,339.53,28448.7,764.2,1032.7,1128.8,1683.5,806.4,998.5,2689.2,1344.3,1454.1,615.2,2866.5,2480.4,1001.6,2645.3,2319.7,392.1,5775.6,753.7,1833.4,4536.4,266.4,2294.05,336.74,374.41,285.33,269.36,403.92,415.03,1026.53,11463.23,5364.71,193.91,3157.5,15657.74,929.05,261.53,3851.49,2476.63,334.57,2789.08,2828.61,1405.09,1285.88,1150.59,5222.52,1332.16,4526.83,3532.56,854.39,838.99,8121.53,1331.38,1954,904.71,283.87,346.2,347.14,253.12,1190.48,1934.2,378.95,2234.44,4624.98,5440.59,801.18,2273.56,922.16,1834.3,254.27,1046.59,3076.31,469.64,190.16,219.52,504.05,502.84,309.92,451.51,425.44,2554.17,190.39,368.05,536.82,939.54,1489.58,448.16,266.46,280.92,681.83,1258.3,295.47,2452.06,998.15,819.87,820.24,341.97,680.77,857.11,1446.46,1387.13,1187.16,285.64,727.53,930.65,1769.03,1985.07,1340.03,925.34,3875.88,2657.89,2376.63,1338.03,2132.71,589.78,256.46,719.14,754.63,802.06,1498.86,1763.97,375.76,318.44,842.59,15809.03
2010,185,1914,2955,591,1377,1306,1100,1581,397,41.55,69.44,146.21,130.8,1347.26,133.75,3360.5,624.58,1053.43,693.32,728.25,1497.79,857.5,703.37,3078.11,2867.49,1436.81,1190.49,5985.67,781.41,776.27,790.01,1889.22,1055.09,1446.87,4163.4,2170.58,670.99,8689.55,3683.66,436.37,669.05,1695.5,1324.23,2507.23,1354.38,2341.82,999.02,293.26,1510.12,596.75,1108.8,858.29,824.26,2557.3,1133.38,5058.21,522.47,1465.23,1580.71,973.24,7946.48,86.14,217.25,386.67,218.02,989.98,66.26,79.99,173.11,105.66,299.32,167.38,281.87,675.66,2236.56,740.92,704.63,37.23,27153.8,707.9,981.6,1099.5,1575.2,746.4,944.1,2512.4,1280.5,1362.3,581.2,2581.8,2353.9,931.5,2392.4,2156.8,370.9,5291.5,696.6,1662,4326.8,244.3,2300.81,340.54,481.73,406.56,281.75,391.38,637.99,927.14,10069.63,4761.4,181.71,2771.58,16537.62,1127.09,253,3882.26,1885.75,357.92,2105.44,2412.85,1645.81,1026.23,1036.29,5102.47,1185.25,4452.29,3468.2,910.14,747.3,7769.55,802.09,1691.1,601.41,327.58,507.78,368.74,222.75,784,1377.51,320.58,2266.54,4199.62,4949.92,469.9,1901.28,747.41,1967.19,243.47,1081.24,3100.97,419.01,251.24,181.27,520.58,483.71,353.28,483.14,482.81,2584.35,266.7,353.66,562.11,935.48,1713.88,792.76,546.5,567.7,505.85,994.82,328.73,2787.85,1010.89,694.23,1000.07,425.95,933.99,968.18,1667.87,1345.32,821.63,293.62,883.79,805.67,1799.96,1783.46,1438.73,919.7,3930.52,2543.61,2581.34,1505.7,2453.86,495.93,238.13,874.02,814.46,891.09,1602.59,1877.69,359.51,185.89,703.53,18916.24
2009,190,2457,3725,552,1228,1311,1023,1551,382,54.08,88.35,144.16,129.09,1178.6,157.11,3189.98,690.98,1079.33,723.09,795.95,1650.99,1086.82,574.73,3257.51,2886.59,1546.26,1255.69,5823.11,695.31,714.48,727.24,1803.97,983.37,1319.95,3722.82,2072.31,520.64,4192.47,3794.15,443.82,650.99,897.34,1383.59,2588.17,1363.5,2338.55,797.65,234.86,1217.54,397.08,802.81,604.36,577.98,1505.17,1315.69,5825.92,453.79,1725.98,1531.92,933.36,7340.47,100.81,201.76,393.1,123.35,892.04,75.17,83.44,163.56,121.75,160.35,130.05,157.33,720.71,2512.63,765.71,682.18,16.76,25748.5,692.1,961.9,1028.9,1550,741.2,931.5,2441.3,1284.6,1321.9,558.9,2497.6,2216.2,912.8,2293.2,2115.7,369.4,5076.6,697.3,1606.5,4060.9,239.4,2898.28,437.89,480.4,641.69,301.1,502.94,632.29,1179.32,10342.06,4193.66,161.26,2792.35,16830.66,768.37,225.7,3332.6,1714.53,311.28,1689.02,2239.85,2029.32,1128.51,988.62,4781.24,1221.76,3396.68,2744.42,834.86,630.04,6651.25,785.74,1456.3,638.92,240.58,705,363,272,820,1498,324,1705,4844,4235,548,1989,967,1817.39,471.9,1076.7,4228.92,396.62,233.68,318.25,530.53,490.48,325.81,462.51,458.81,2445.53,235.08,336.05,743.6,1210.27,901.1,751.28,517.76,545.82,882.82,1051.38,268.03,2002.61,991.82,811.58,805.9,509.45,677.95,858.28,1261.86,1198.65,1044.37,238.82,787.54,941.28,1454.25,2177.59,1479.98,817.69,4322.12,2248.66,2064.61,1157.18,2072.55,517.61,196.38,656.52,708.19,649.87,1590.4,1875.25,384.54,339.99,1345.62,14623.64
2008,226,2685,4003,741,1268,1316,1029,1565,433,64.26,128.5,220.59,201.36,1462.37,206.69,4952.18,822.62,770.02,700.55,778.68,1759.2,758.6,655.22,3607.87,2818.41,1657.85,1319.67,5251.31,707.91,732.4,754.74,1671.09,989.37,1322.35,3357.93,1571.48,1225.96,5818.01,7564.49,899.91,1515.77,1695.55,1117.74,1953.63,1081.54,1767.13,894.97,270.63,1266.49,726.36,942.88,847.42,783.67,2521.02,1802.88,6569.21,658.8,1967.54,1615.88,1240.08,9464.16,110.93,435.11,608.51,186.92,798.48,65.68,119.72,256.85,191.09,229.12,234.47,228.39,786.12,2299.61,821.19,673.43,283.65,28982.2,792.7,1083.7,1203,1760.2,829.7,1061.3,2752.3,1458.9,1505.7,615.1,2822.2,2489,1027.2,2441.2,2369.4,411.7,5779.7,784.6,1766.2,4563.8,262.3,2935.43,475.97,583.89,427.64,486.86,750.53,637.22,1348.09,9070.18,4862.67,229.14,2708.03,18047.47,1013.81,294.98,3740.77,2037.18,371.97,1812.25,2137.12,1974.84,1063.17,1019.23,5318.55,1384.13,4367.44,3243.89,962.64,842.07,7643.06,1959.51,1933.8,1709.76,293.89,544.73,524.68,307.42,985.11,1683.66,333.27,2215.44,4942.2,5590.63,425.96,2491.21,1189.67,2469.96,454.61,1392.77,4113.76,378.63,425.31,295.23,1097.21,1079.05,826.97,1244.31,1105.79,4262.07,492.97,715.8,1390.09,1781.9,1054.3,1242.43,684.71,863.63,976.31,1232.59,316.89,3023.78,1186.43,1159.17,1217.28,687.64,966.65,1317.34,1704.12,1458.98,1492.72,407.59,1034.21,1111.65,2602.97,2547.75,2121.44,1241.46,4383.11,2239.49,2562.67,1650.95,2606.88,718.41,333.74,747.96,845.14,902.21,1947.53,1985.26,522.13,461.88,1117.29,19279.41
2007,198,2152,4064,706,1207,1357,970,1284,421,71.94,141.27,229.26,186.91,1375.44,210.93,4630.23,791.76,770.11,545.16,624.04,1366.42,566.38,538.07,3472.03,2726.26,1610.4,1271.86,5172.23,720.21,748.51,761.6,1704.91,1003.83,1335.17,3567.87,1393.15,1285.81,5920.62,5852.55,710.61,1154.23,1772.23,1133.67,1987.45,1097.08,1768.9,931.84,282.43,1307.15,770.79,1440.74,1305.96,1157.92,2751.43,1263.91,6254.66,617.4,1888.44,2107.88,862.88,9003.66,116.95,268.19,644.9,166.39,2014.73,78.96,123.35,388.64,221.74,267.56,267.06,259.33,827.21,2468.26,821.55,782.55,82.43,23040.5,916,1247.7,1455.9,1851.3,978.2,1214.7,2870,1520.5,1481.5,712.8,2822.3,2553.7,1212.3,2553.9,2371.6,487.1,5845.6,902.9,1873.8,4666.8,247.6,2865.63,555.4,374.45,376.64,310.64,594.77,394.48,2155.4,9769.51,4093.79,445.93,2879.17,19188.74,922.37,254.37,4280.18,1472.85,387.87,1427.48,2274.87,2521.69,1088.67,936.56,4526.08,1482.53,4689.98,3815.81,693.08,1056.71,9955.56,2052.31,1511.9,1742.99,225.99,463,470,282,909,1581,309,2094,4327,5049,379,2327,1129,2553.14,715.04,1521.74,3392.99,365.08,443.66,229.04,1080.62,1062.3,814.17,1224.69,1088.54,4213.98,485.35,705.12,1214.43,1573.19,910.19,794.73,555.28,607.07,1242.43,1226.41,618.62,2675.53,1075.08,1205.44,1871.73,683.16,1407.38,1175.78,2144.39,1848.48,1734.17,551.23,1094.44,1361.18,2495.9,3253.13,3114.74,1667.39,5381.48,2936.2,2447.2,1383.27,2498.32,1361.27,419.89,1083.42,1173.71,1261.83,2329.17,2264.77,885.04,481.47,1626.72,17922.43
2006,190,1696,3843,660,1121,1269,879,1296,409,39.1,87.59,174.44,163.85,1265.06,142.61,3544.56,939.42,1121.02,414.61,461.05,1590.75,526.14,438.71,3285.46,2577.65,1514.98,1192.14,5311.26,708.36,748.22,761.74,1738.2,1007.15,1339.9,3876.3,1289.44,1094.91,5262.61,5307.47,622.8,1014.09,2509.51,1046.84,1850.21,1007.49,1607.52,780.7,236.72,1103.34,1150.22,863.53,771.46,659.43,2556.15,1627.97,5775.09,732.26,2212.6,1716.29,900.11,7399.58,62.51,258.28,288.15,141.63,1157.65,69.86,75.87,375.34,91.68,431.32,182.02,226.25,696.71,2064.61,644.96,669.25,35.48,20305.8,857,1147.6,1298.3,1736.3,923.8,1113.2,2683.6,1422.9,1366.9,665.1,2615,2365.5,1129,2375.7,2211.8,453.4,5441.6,838.4,1751,4323.7,227.9,2376.45,381.54,457.88,386.95,353.56,614.21,424.87,2372.14,9126.55,4653.33,389.32,2405.24,17477.35,964.12,244.72,3924.26,1519.02,427.01,1175.73,2630.9,2344.34,1311.92,993.26,4256.91,1295.8,4826.65,3725.98,648.86,896.06,9226.47,1494.03,1234.8,1475.67,203.4,407,448,251,838,1445,273,1947,4512,4655,338,2123,1104,2321.4,387,1526.91,3626.36,320.53,277.76,245.63,704.29,691.22,529.95,796.05,707.98,2794.15,315.9,459.95,941.2,1317.62,491.51,561.04,332.2,419.16,1039.62,1340.63,462.19,3423.69,1218.79,983.36,1253.4,617.77,1452.24,1282.72,2075.44,2150.57,1358.91,413.13,896.62,1530.56,2472.04,2865.39,3078.34,1244.55,5297.75,3183.97,2143.22,1699.43,2195.15,869.88,446.6,963.42,1179.6,926.22,1841.44,2571.9,763.31,488.01,1500.06,17612.04
2005,199,2015,3762,625,1108,1425,1004,1349,433,61.59,66.25,148.89,203.13,1184.52,142.88,3274.16,741.25,547.18,520.58,573.33,1315.73,638.98,506.48,3177.29,2510.62,1446.8,1136.34,4384.23,607.52,634.22,652.17,1456.12,849.17,1133.59,3842.48,1359.3,842.02,4381.84,4853.99,550.42,857.78,1884.75,960.92,1686.34,909.12,1422.21,677.12,208.88,963.42,556.21,821.2,721.98,611.62,1937,1135.37,5362.6,481.63,1807.21,1608.34,533.43,5110.38,48.68,199.77,262.46,132.45,936.98,83.7,107.96,148.11,69.65,169.77,114.89,194.66,774.14,1938.15,657.91,637.27,200.52,19324.3,815.6,1083.9,1223.9,1656.4,865.1,1058.6,2494.5,1354.9,1281.3,626.7,2449.5,2224.2,1065.8,2180.6,2069.6,427.5,5028.2,790.7,1653.3,4072.9,209.6,2195.8,548.82,363.31,439.92,297.42,547.1,443.69,1954.46,6965.41,4763.16,311.04,2268.93,18116.16,876.62,212.97,3817.92,1264.87,402.42,1109.81,2467.68,1828.47,1133.02,929.56,4404.55,1236.67,4340.3,3460.85,637.54,696.46,9203.59,1288.35,1332.7,1093.37,227.46,358,401,237,805,1369,259,1866,4255,4250,306,2005,1087,2389.83,383.42,1655.57,3710.45,299.56,265.77,253.95,544.06,534.07,409.46,615.18,547.07,2154.11,244.08,355.3,768.15,1087.93,608.43,716.57,459.13,556.91,983.52,1306.19,525.21,3150.9,932.1,928.35,1110.96,669.09,1565.33,849.73,2001.71,1519.54,1467.55,508.9,986.25,1203.67,2379.66,2853.57,2591.14,1457.9,4426.21,2184.62,2444.43,1210.82,2435.56,1017.04,331.88,995.61,1202.78,1000.26,1841.97,2696.75,315.88,456.59,1323.29,16099.9
2004,220,2169,3700,660,1376,1652,940,1283,438,23.76,52.69,135.18,131.62,786.74,115.22,2440.25,507.23,605.19,465.21,671.73,708.44,599.04,433.07,3624.7,2829.25,1631.15,1269.26,4829.9,641.79,703.96,703.23,1660.67,911.19,1234.06,2329.42,1149.32,851.89,3997.81,4769.92,561.25,883.36,1275.86,960.96,1697.16,891.2,1394.71,696.69,214.3,974.24,483.76,743.38,647.58,564.05,1807.18,1141.98,5788.38,498.39,1538.86,1438.86,664.66,6126.07,58.59,205.42,264.93,126.27,1199.18,67.99,82.39,253.95,109.21,274.39,154.32,189.13,699.54,2027.09,803.54,635.29,162.54,17799.5,776,1016.7,1157.7,1577.1,828.2,1017.3,2372.7,1295.3,1235.1,592.2,2278.3,2028.8,994.7,2016,1921.3,392.9,4703.2,749.2,1548.9,3832.2,193.1,2110.44,335.02,409.19,339.46,332.56,409.51,435.82,1356.59,5929.78,4877.79,275.66,2255.37,16605.35,965.09,203.53,3542.64,1422.82,325.93,912.42,2066.49,2019.06,1028.03,809.39,4155.26,1137.05,4206.98,3991.12,591.08,917.16,7874.51,1077.16,1251.8,983.53,167.22,341,379,230,770,1311,243,1772,3946,4005,294,1923,933,2557.75,326.64,1849.85,3504.76,278.78,256.75,230.9,378.08,371.17,284.55,427.5,380.18,1496.27,169.61,246.88,716.39,1193.3,616.92,668.74,459.87,535.66,1044.06,1145.76,506.68,3529.04,1232.26,865.62,1143.6,795.06,1772.73,891.42,2466.22,1653.75,1559.96,607.11,873.54,1460.68,2308.42,2603.96,2547.7,1475.85,5553.52,2869.12,2172.7,1375.91,2696.35,893.04,408.36,1059.59,1036.34,873.45,1805.61,2645.12,529.53,492.84,1231.62,18053.53
