TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,165,1071,2958,383,1530,1052,598,833,301,86.9,127.82,89.82,128.08,796.07,265.44,1591.42,345.42,563.93,283.87,499.69,769.48,534.68,556.89,4763.2,3191.43,2515.41,2486.25,6610.77,1573.18,1406.37,1417.54,2555.97,1710.88,2028.14,5325.5,2782.24,785.7,2002.12,4901.82,1309.97,1612.45,2120.25,2031.67,3077.14,2522.71,3395.18,1855.09,662.31,2167.88,1075.56,2013.94,1695.63,1413.92,3230.82,2680.92,3834.32,1130.21,1778.38,1908.71,898.64,1657.15,177.45,192.14,478.79,287.56,971.94,318.31,252.48,340.59,113.58,379.94,448.5,327.19,1756.62,3153.54,1426.63,1735.67,37.24,18745.4,1506.79,2044.88,2073.74,2736.16,1701.65,1891.48,4777.91,2544.19,2034.68,1224.94,3923.89,3616.13,2078.27,3987.83,3567.5,912.46,7309.32,1559.85,3252.28,6691.69,463.88,1343.75,333.29,347,265.83,381.63,553.37,433.81,951.48,2443.61,2451.79,300.36,948.04,5090.07,2371.42,289.16,2762.25,1974.53,263.66,1050.18,2542.73,1262.21,831.03,800.41,2542.45,993.23,2077.9,2092.04,395.33,723.69,5194.65,1263.47,1596.4,1035.15,288.06,1023,913,693,1851,3530,530,3398,4525,7967,501,4386,1757,1300.25,209.4,946.49,1502.44,421.43,210.62,154.91,391.9,1181.56,349.72,307.9,314.82,1795.99,253.9,286.04,484.55,1060.09,544.94,741.11,575.07,644.84,555.75,1018.54,249.81,1717.79,842.43,526.4,1046.4,429.08,720.67,813.68,1160.24,1120.03,971.38,733.91,409.79,915.75,1591.88,2238.7,1035.64,840.42,2692.77,1644.89,1857.52,805.36,1683.29,750.25,504.78,743.21,1366.69,845.52,3108.52,2781.98,696.14,970.79,1226.19,8556.03
2012,179,1021,2866,396,1421,1030,630,794,270,61.31,79.39,90.38,95.32,1003.98,175.26,1462.6,474.33,608.37,634.42,541.13,1003.7,623.96,619.27,4316.22,3432.98,2352.31,2799.4,6844.82,1299.51,1575.93,1241.11,2283.59,1869.54,2223.94,5495.58,2693.85,744.29,2050.66,4757.35,1263.75,1659.26,2206.27,1797.53,2764.3,2309.97,3096.87,1724.71,742.21,1968.01,965.28,2507.08,1697.36,1306.62,3431.07,2472.28,3886.24,1143.25,1810.12,1926.86,916.35,1839.94,186.79,173.33,466.7,339.6,1121.59,327.37,236.05,354.78,126.79,382.83,373.42,280.43,2063.59,2928.69,1390.65,1472.44,43.98,18473.7,1485.5,2004.2,2041.5,2694.9,1675.3,1863.2,4734.4,2543.3,2052.2,1220.8,3844.3,3563.4,2015.5,3913.2,3533.5,904.4,7201.4,1542.2,3209.3,6562.7,448.6,1075.09,198.6,329.98,278.37,390.98,560.15,334.29,1048.24,2612.34,2681.5,343.89,967.06,5502.05,2378.5,306.92,3127.79,2264.68,287.59,1144.67,3124.68,1362.4,880.66,885.74,2697.35,1182.79,2207.3,2250.52,404.06,679.87,5268.76,1367.85,1721.4,1031.81,277.2,972,980,715,2070,3597,635,3523,4542,8018,560,4301,1541,1531.67,220.05,986.73,1830.45,450.87,199.65,132.99,309.02,428.72,312.4,239.5,278.86,2218.44,158.84,257.24,528.58,944.63,520.02,672.84,569.98,616.68,581.07,913.63,373.43,2116.26,985.06,528.67,1101.78,480.55,711.97,995.55,1273.39,1297.82,884.75,726.12,517.12,963.67,1751.48,2294.23,1115.08,817.28,2514.11,1581.62,1864.53,835.83,1637.25,781.34,496.15,715.59,1405.49,855.59,3205.64,2884.16,618.74,1029.19,1238,8920.97
2011,141,998,2786,342,1387,989,574,755,238,50.02,88.6,120.56,115.62,879.25,150.11,1609.68,405.77,556.89,622.98,622,920.94,757.87,650.51,4666.07,3164.56,2231.4,2163.46,6367.06,1330.52,1360.93,1492.76,2510.03,1909.91,2417.81,4264.94,2541.89,768,2182,5181.6,1715.66,1713.82,2462.3,1816.57,2710.93,1827.88,2776.54,1697.27,558.39,2381.24,941.48,2197.37,1856.94,1259.21,3130.72,2851.69,3481.33,996.7,1587.25,1783.75,776.98,1565.21,188.07,276.86,598.68,257.38,898.26,397.53,339.43,393.49,134.72,469.04,716,476.7,1441.85,2828.74,1413.38,1595.42,57.28,17454.4,1411,1907.9,1950.8,2568.3,1584.1,1776.8,4489.1,2428.7,1950.3,1186,3648.9,3368.8,1925.1,3734.4,3342.3,862.4,6819.9,1466.5,3022.4,6261.9,420.8,966.53,206.48,275.1,336.84,419.2,517.21,331.12,1025.94,2534.46,2778.24,293.06,1566.98,5765.11,1437.5,375.03,2894.18,2172.98,399.17,1256.74,3941.56,1448.58,893.52,865.69,3005.11,1284.71,2485.65,2625.38,428.43,754.01,6333.87,1486.77,1853.4,985.14,249.63,1039.24,984.48,767.7,2105.1,3814.05,569.76,3814.6,4823.64,8467.7,515.41,4448.97,1532.78,1972.52,506.85,1226.38,2070.41,514.46,195.03,493.3,366.89,778.96,442.24,294.69,428.79,1907.88,210.45,353.38,575.92,874.4,767.32,781.37,656.83,660.9,570.2,958.47,379.71,1704.14,800.32,394.75,931.94,492.02,702.65,930.35,1109.77,1217.38,971.77,728.18,501.64,894.33,1785.88,2221.97,1015.98,826.71,2461.14,1428.73,1834.74,859.32,1713.21,778.94,585.99,757.31,1246.76,822.11,2529.34,2405.02,574.37,898.58,1176.02,8503.08
2010,145,994,2639,356,1385,1039,519,723,255,116.41,75.29,128.22,160.83,1130.93,217.42,1703.84,385.03,530.53,568.19,701.27,891.87,759.1,608.41,4324.93,3097.67,2409.87,2415.3,6403.99,1305.03,1663.47,1139.03,2285.4,1544.71,1848.75,4463.51,2536.65,796.46,2047.31,4337.6,1534.74,1918.41,1938.19,1493.68,2194.9,1717.63,2817.05,1587.75,488.72,2061.2,885.63,2229.65,1642.34,1155.13,3281.25,2715.25,3277.56,996.2,1626.76,1859.33,795.19,2168.68,224.88,295.57,507.74,412.32,906.87,674.77,280.56,473.37,214.66,737.27,523.35,392.31,1447.23,2485.31,1310.19,1666.48,94.24,17988.2,1428.4,1913.2,1954.4,2581.3,1595.9,1777.5,4535,2497.8,2025.8,1205.2,3695.6,3365.1,1925.1,3746.3,3352.5,865.9,6916.4,1486.2,3068.4,6434.1,426.8,1166.22,246.15,314.35,361.27,295.3,438.09,419.26,1267.34,2979.92,2647.76,320.43,1737.04,5909.58,2268.91,392.9,3191.38,2121.62,365.1,1303.64,4091.77,1639.8,928.85,914.23,3217.17,1323.4,2657.23,3061.3,478.66,829.22,5691.57,1433.45,1803.9,752.77,202.98,1043.18,1075.51,786.73,2166.91,3873.81,632.77,3592.78,5085.89,8709.01,558.35,4717.36,1528.83,2387.34,460.65,1878.58,3784.44,494.17,232.23,493.16,395.19,654.72,572.43,249.7,264.23,1967.33,295.5,323.44,742.19,1113.75,625.71,699.13,585.9,587.87,631.39,1110.04,306.16,2061.41,900.73,514.2,1139.62,669.89,729.27,1005.96,1259.31,1224.06,1016.94,764.67,549.25,1005.59,1964.44,2453.28,1131.93,1218.06,2573.91,1606.09,1815.69,1049.39,1910.32,728.8,493.41,850.81,1296.28,806.99,2323.18,2078.74,517.02,768.43,1144.83,9181.96
2009,138,1039,2534,529,1391,1166,505,717,280,99.56,90.07,166.21,145.01,1171.31,292.77,1840.89,410.21,595.73,594.86,682.35,985.36,617.29,656.86,4002.11,3157.55,2207.89,2165.72,5440.56,1218.79,1339.09,1150.71,1949.76,1910.77,2172.49,4325.43,2657.68,838.08,1901.61,4169.83,1211.04,1658.56,1950.73,1245.65,2130.05,1637.28,2947.57,1587.7,441.74,1752.3,908.74,2323.78,1562.6,1123.72,2897.68,3071.11,3175.31,952.16,1472.97,1616.93,686.39,3676.22,101.16,511.6,689.66,293.29,1207.57,1509,242.35,1219.34,129.68,1569.09,215.36,387.61,1427.74,2786.28,1332.27,1668.14,127.88,17715.4,1425,1888.3,1949.1,2577,1600.7,1782.3,4613.2,2544.8,2111.5,1209.1,3618.9,3414.5,1839.6,3700,3439.5,881.7,6895.9,1492.2,3089,6200.4,406.4,1342.29,264.26,226.01,278.1,269.18,349.58,245.9,1691.78,3885.03,3145.07,370.55,1548.43,6795.83,1850.86,538.11,4241.75,2587.21,467.38,1650.32,4167.03,2005.01,1041.15,1097.4,3964.81,1596.36,3133.25,2936.05,540.86,1028.26,6309.62,1269.89,1525.3,918.19,200.11,1083,1130,750,2059,3890,554,3922,5153,8008,588,5070,1560,2393.56,353.21,1525.89,2181.29,640.43,295.88,279.78,263.03,361.8,190.36,274.04,200.95,1068.59,212.39,248.26,844.37,1007.99,622.73,664.34,575.2,596.98,635.02,1142.87,257.21,1922.07,827.62,470.61,1043.58,541.19,700.92,1003.05,1177.62,1247.2,1054.31,740.34,605.39,961.67,1803.96,2263.29,1004.45,898.08,2467.13,1640.84,1980.12,1006.39,1842,845.3,519.54,828.4,1166.13,789.61,2352.91,1987.58,590.51,657.8,1207.98,8406.5
2008,147,1054,2493,503,1679,1287,520,695,261,68.38,87.67,142.77,117.85,1454.89,245.58,1580.85,382.47,498.96,400.47,740.12,904.95,574.36,631.28,4332.38,3441.22,2186.07,2355.96,5614.64,1151.33,1284.91,1135.25,2106.84,1579.64,2001.98,4147.48,2867.85,665.25,2041,4365.37,1362.56,1595.01,1789.5,1550.96,1829.36,1573.81,2263.28,1484.5,404.72,1806.17,986.22,2310.75,1679.33,1241.81,2898.39,3146.03,3228.81,1030.71,1629.16,1757.64,777.63,2485.01,363.12,538.15,773.02,954.97,1461.57,883.58,618.97,850.36,297.97,917.91,494.53,474.11,1481.54,2599.58,1486,1612.25,51.4,17138.6,1395.6,1891,1918.4,2518.1,1567.4,1750.6,4510.1,2463.5,2035.3,1211.6,3507.8,3339.3,1803.4,3584,3291.6,850.1,6785.1,1458.4,2992.6,6003.4,390.3,1442.8,287.98,319.53,312.57,281.35,362.43,281.95,2052.51,5080.69,2858.01,324.69,1327.79,5864.55,1385.6,402.29,3954.21,2249.42,448.18,1660.28,4333.36,1829.16,1022.13,1005.45,3340.98,1325.82,2969.14,2563.95,616.45,896.94,5672.14,1920.09,1346.9,1245.54,187.12,1115,1095.06,896.25,2064.47,3875.11,658.11,3071.67,5143.62,8095.67,542.28,4846.66,1433.94,2101.7,503.7,1545.32,1931.97,435.92,251.45,388.09,280.56,389.83,313.85,323.82,215.34,1718.92,181.83,250.15,868.38,995.33,490.17,609.15,478.67,513.16,622.35,1105.78,264.9,2364.61,893.07,487.7,1315.92,509.43,802.05,1034.69,1285.83,1199.15,1082.79,828.32,580.83,860.51,1999.21,2418.79,1018.64,823.79,2710.6,1593.57,2001.77,1011.26,1849.37,788.09,602.78,860.03,1274.65,739.97,2570.68,1893.13,469.47,737.61,1374.25,8636.01
2007,149,888,2339,470,1369,1127,523,626,244,94.73,69.24,184.71,132.13,1024.47,270.26,1128.65,337.82,447.71,430.45,750.09,779.95,566.2,395.66,4202.49,2972.31,2179.3,1979.52,5387.95,1127.4,1244.64,1112.18,1909.7,1371.76,1940.69,4433.06,2968.73,582.41,1972.65,4119.54,1203.57,1536.66,1854.57,1462.74,2076.38,1391.3,2339.34,1471.14,527.92,1759.08,939.09,2650.68,1619.32,1198.22,2632.9,3191.76,2872.79,1074.28,1673.69,1717.58,782.76,2654.48,217.97,298.72,533.99,641.62,1638.28,436.33,373.31,551.31,204.94,465.71,936.45,502.12,1366.4,2476.23,1363,1466.65,46.05,17123.7,1405.8,1786.5,1797.3,2547.6,1517.1,1703.3,4079.6,2496.8,1861.3,1172.2,3322.1,3469.4,1807.6,3515.6,3208,858.8,6197.3,1447.1,2674.2,5757.7,348.7,1577.06,360.81,247.71,400.56,435.71,531.42,474.32,2032.06,5082.21,3758.74,279.19,1355.03,6379.2,1402.87,375.68,3576.01,1985.32,372.55,1440.11,3708.83,1641.98,865.67,914.06,3352.91,1315.99,3031.72,2301.26,574.69,965.26,6521.69,1707.26,1332.6,1310.56,244.61,1052,1033,840,1937,3647,618,2877,4847,7591,512,4540,1363,1696.72,411.13,1469.76,1952.98,510.93,193.23,259.93,273.74,380.3,306.09,315.86,210.06,1676.91,177.35,244,921.09,761.65,443.68,523.85,451.84,454.04,634.28,979.13,228.44,1900.68,804.16,580.62,1436.01,450.76,740.28,1026.4,1260.17,1159.15,1046.79,810.61,530.43,849.07,1842.3,2596.83,1325.28,838.97,2839.73,1590.8,1892.23,970.92,1839.11,803,560.8,823.77,1393.26,831.39,2248.12,1732.63,431.58,761.2,1321.86,8607.98
2006,152,851,2243,439,1006,882,453,632,240,41.37,49.2,98.67,91.29,714.37,134.72,1128.96,434.55,472.13,342.42,624.41,681.39,511.82,496.12,4356.66,2633.24,2159.44,1926.82,5435.45,1078.33,1059.95,1260.54,1831.89,1411.15,1578.99,3587.92,2909.06,751.7,2061.19,3846.51,1219.98,1536.27,2012.58,1262.93,1974.44,1248.93,2334.31,1429.25,516.75,1700.28,982.1,2136.67,1607.71,1157.49,2493.13,3093.07,2844.45,987.65,1556.35,1656.9,761.49,2133.98,171.2,274.08,332.75,466.49,1685.06,533.48,379.58,544.14,164.41,565.12,853.78,522.72,1350.55,1947.85,1283.02,1405.77,21.24,15998.9,1355.4,1708.5,1706.6,2424.6,1448.4,1610.4,3868.8,2425,1693.8,1117.9,3121.9,3286.9,1702.5,3357.1,3018.3,820.3,5848.4,1384.1,2504,5616.8,333.6,1581.63,390.94,303.1,444.48,586.71,647.02,497.28,1701.78,4027.78,3525.1,301.04,1486.22,6331.43,1295.96,310.53,3006.8,1771.01,343.43,1150.33,5156.8,1602.89,922.14,975.14,3286.47,1515.56,3310.48,2430.03,672.71,990.3,5857.38,1108.89,1252.8,1001.7,241.3,982,968,793,1815,3418,586,2704,4565,7151,480,4269,1289,1799.85,297.93,1511.07,1779.32,489.34,201.3,267.78,197.12,275.17,222.19,228.57,151.68,1210.48,128.51,176.58,519.15,921.76,427.3,546.9,438.74,447.44,674.76,975.9,211.14,1782.18,811.67,454.85,1027.61,409.68,767.98,997.62,1289.95,1172.53,1049,840.16,566.74,868.83,1633.38,2604.82,992.88,760.45,2684.2,1537.68,2014.92,992.71,1878.1,801.64,604.85,877.78,1415.03,807.19,2074.96,1695.6,430.63,883.21,1199.19,7456.14
2005,137,819,2387,389,1044,875,463,597,228,40.4,62.95,68.85,74.24,524.59,104.99,1031.73,476.56,391.58,307.74,527.3,721.98,435.4,360.49,3388.19,2212.13,2083.47,1736.46,4622.01,1104.13,1054.98,903.74,1762.75,1255.62,1627,3593.55,2654.73,699.23,2044.02,3636.47,939.4,1345.47,2261.31,1305.73,1742.01,1205.69,1938.52,1238.57,373.04,1573.5,908.31,2062.57,1466.36,1137.3,2345.25,3162.67,2459.94,834.43,1344.51,1412.01,641.72,2226.51,135.45,212.5,235.13,324.29,1370.39,362.14,206.1,546.28,131.23,391.98,657.67,583.75,1312.28,2029.24,1398.12,1390.09,41.07,15874.2,1331.3,1673.9,1659.5,2377.5,1418.7,1568.8,3749.7,2356.8,1614.6,1096.8,3030.4,3201.3,1665.6,3242,2930.9,800.8,5702.1,1360.3,2423.7,5441.1,326.2,1398.98,294.57,314.68,334.72,320.03,520.84,367.84,1580.18,3828.61,3573.13,320.26,1635.43,6174.04,1309.12,299.48,3163.62,1979.48,389.45,1199.65,4235.1,1871.79,895.09,1012.69,3302.18,1515.15,3246.1,2405.73,614.93,1016.27,5688.76,814.38,1418.6,530.17,257.4,889,876,717,1643,3103,530,2446,4131,6459,436,3866,1177,1667.43,258.48,1424.65,1437.59,473.01,190.68,216.5,145.68,203.04,163.8,168.63,112.02,893.89,94.78,130.27,523.54,732.74,257.87,353.76,279.52,274.31,430.78,417.76,105.97,875.81,349.44,230.18,468.47,181.33,460.94,565.96,594.59,569.75,528.79,487.95,256.32,479.63,753.03,1423.44,530.25,374.4,1575.27,811.6,999.78,277.64,937.1,390.17,333.94,487.68,443.52,281.36,1153.98,895.09,210.68,560.91,105.95,3309.62
2004,140,787,2172,395,1005,960,460,644,246,35.34,50.1,62.38,76.94,361.58,85.34,949.36,275.69,506.63,323.76,492.99,586.28,385.19,384.87,3271.46,2448.01,1741.4,1799.51,4086.78,974.96,1183.32,1004.48,1562.1,1102.99,1404.87,3373.71,2929.59,693.14,1562.41,3356.41,802.92,1179.15,2198.53,1068.29,1624.59,1229.84,1777.59,1256.87,384.05,1663.99,808.84,2240.93,1806.13,1193.61,2189.78,2954.66,2538.88,796.25,1213.59,1208.62,647.45,3005.5,187.84,293.5,316.13,443.74,1872.26,502.13,282.88,759.3,181.44,540.49,906.58,807.69,1251.9,2346.91,1271.5,1446,56.61,15082.2,1297.8,1598.2,1579.3,2321.1,1369.8,1515,3524.4,2295.3,1548.6,1083,2941.2,3087.3,1622,3129.3,2804.1,773,5532.3,1314.8,2307.3,5163.3,304,1379.24,230.12,213.49,307.76,231.58,347.16,275.07,1326.7,4131.57,3332.85,343.26,1668.73,5866.21,1243.37,294.94,3225.76,2181.25,374.69,1384.08,3959.52,1480.75,916.5,1060.97,3266.6,1297.95,3412.21,2770.15,603.48,1073.54,6171.68,716.92,1291.7,456.22,231.37,870,857,697,1595,3026,517,2370,4031,6279,426,3755,1152,1506.6,234.53,1419.21,1341.08,421.52,166.39,203.95,101.06,140.85,113.63,117.01,77.68,620.12,65.76,90.4,409.12,726.79,161.29,211.64,182.8,187.79,682.38,798.23,216.59,1837.98,880.08,438.09,861.01,389.95,802.49,897.62,1126.27,1174.24,909.7,666.54,485.4,971.04,1615.22,2310.77,964.04,631.52,2484.92,1317.02,1830.54,834.18,1666.59,746.4,541.8,871.01,1609.07,1052.53,1625.49,1156.55,425.92,811.66,1208.44,6461.68
2003,132,773,2179,387,1031,1046,443,681,246,35.12,50.75,63.12,66.63,335.7,76.26,859.45,295.92,395.81,365.13,524.62,631.1,393.02,406.24,3205.67,2366.45,1857.27,1406.58,4099.2,995.16,1080.84,835.43,1804.9,1220.69,1461.03,3348.1,3023.58,648.67,1607.63,3184.14,941.43,1190.42,2337.78,1151.56,1834.15,1455.27,1770.83,1293.43,427.98,1487.74,792.15,2306.97,1809.76,1340.67,2282.9,3800.43,2257.39,692.53,1071.1,1060.06,572.62,2955.8,187.01,292.87,307.51,439.87,1860.39,499.7,282.97,758.33,180.49,538.15,898.63,799.71,1207.53,2296.78,1188.17,1316.3,35.36,14038.8,1223.9,1508.5,1501.3,2173.2,1273.4,1430.4,3416.8,2111,1536.4,999.7,2769.9,2852.4,1507.3,2851.1,2563,711.7,5051.4,1209.7,2110.5,4782.6,274.8,1224.86,188.34,196.09,237.76,214.12,278.47,255.65,1051.15,3727.12,2987.01,334.26,1675.7,5798.61,1136.36,271.46,2939.25,2082.79,362.53,1255.69,3835.37,1234.67,828.99,978.06,2996.88,1183,2903.8,2364.3,657.34,904.01,5894.58,571.72,1394.6,373.11,229.1,854,850,709,1592,2985,532,2392,4033,6332,420,3781,1123,1557.94,231.34,1491.83,1303.31,422.11,163.1,193.4,84.1,117.12,94.48,97.28,64.63,515.81,54.7,75.15,399.36,634.25,162.63,218.67,183.79,189.97,590.66,747.24,221.27,1506.68,611.17,425.44,740.76,385.85,693.9,742.29,1070.11,1019.97,849.95,683.03,496.36,870.79,1335.39,2290.2,864.09,587.21,2363.15,1186.62,1876.06,668.94,1512.76,651.84,505.05,911.66,1291.88,883.98,1492.63,1141.62,431.77,886.94,842.79,6159.54
