TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BE10,BE21,BE22,BE23,BE24,BE25,BE31,BE32,BE33,BE34,BE35,BG31,BG32,BG33,BG34,BG41,BG42,CY00,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,ES11,ES12,ES13,ES21,ES22,ES23,ES24,ES30,ES41,ES42,ES43,ES51,ES52,ES53,ES61,ES62,ES63,ES64,ES70,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HR03,HR04,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MK00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,NO01,NO02,NO03,NO04,NO05,NO06,NO07,PL11,PL12,PL21,PL22,PL31,PL32,PL33,PL34,PL41,PL42,PL43,PL51,PL52,PL61,PL62,PL63,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SE11,SE12,SE21,SE22,SE23,SE31,SE32,SE33,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2014,44.1,279.4,355.6,84,188,240.9,88.6,119.8,62.6,177.7,312.8,132.6,239.4,197,160.8,67.6,156.6,145.9,38.4,75.4,65.7,68.1,90.6,79.3,332.4,127.6,115.2,312.6,204.2,169.6,131.7,214.9,270.5,156.7,160.6,828.6,563,430.6,375.1,1088.8,203.6,214.3,194.8,335.3,248.8,328.7,800,437.4,117.3,415.8,798.2,199.3,209.9,254.2,293.9,401.4,303.4,415.1,263.2,98.9,396.9,161.6,283,236.9,189.5,525.6,364.5,463.8,149.5,210.8,250.3,96.3,478.4,14.3,20.5,41.7,36.3,151,18.5,25.6,45.5,13.7,43.4,26.3,31.4,267.5,113.1,63.2,290.3,73.8,34,140.6,1123.1,231.9,172.3,82.4,862.4,447.8,107.7,662.3,122.8,5.5,5.7,151.6,232.7,421.5,189.7,190.3,5.8,2293,156.4,212.1,257.8,330.4,176.7,215.5,521.1,315.4,286.9,160.4,517.3,479.3,214,482.1,504.6,90.6,1068.6,152.9,338.4,739.1,22.9,153.7,333.1,552.6,119.5,112.8,93.3,105.9,141.5,124.5,133.8,484.2,579.7,15.2,200.3,1485.2,142.9,29.2,478.8,321.5,54,144.7,377.7,142.3,74.2,75.8,588.8,159.7,638.6,458.1,101,187.5,814.9,445.2,146.1,262.3,153.4,54.6,105.9,101.6,84.8,203.4,381.3,68.6,299.5,614.4,710,63.2,452.2,180.1,349.3,69.3,187.8,161,180.9,94.9,92.6,355.3,1002.1,390.8,627,272.6,202,134.1,121.8,352,167.4,110.6,373,98.9,191.7,148.5,279.7,392.3,40.2,232.7,443.9,72.8,27.6,28.8,211.1,199.8,215.8,167.5,194.7,392.9,154.1,137.4,618.9,321.9,138.3,288.2,418.7,139.6,67.1,99.3,139.6,166.8,151,188.6,145.3,166.3,161.8,219.3,73.7,452.9,207.4,172.5,235,112.7,135,198.1,361.3,337.9,298.9,100,239.1,238.9,380.7,420.6,375.4,294.6,556.5,562.4,376.9,296.1,479.4,205.1,77.1,189.7,264.4,198.2,353.8,354.6,96.2,73.9,285.6,1933.1
2013,43.9,266.7,356,86.2,184.4,240.2,91.4,121.3,64.4,159,288.1,130.9,240.5,186.9,153,73,157.2,147.3,35.4,68.3,59.6,68,80,84.7,304.6,117.1,113.7,321.7,202.3,171.8,133.2,201.6,257,147.1,156.5,793.1,561.8,420.3,373.8,1062.4,203.1,201.9,193.6,327.2,241.9,320.8,762,442.1,116.8,398.9,791.9,196.9,213.6,238.5,296.2,398.6,295,408.2,261.2,95.1,405.2,168.4,280,228.7,178.5,499.1,372.9,468.1,151,209.2,247.5,95.8,479.8,16,21.2,40,35.7,149,18.4,26.3,50.3,13.5,42.5,28.1,33.3,260.3,112,60.2,289.8,73.7,32,139.8,1129.6,227.4,166.7,75.6,840.4,439.3,110.5,637.8,124.1,5.5,6.2,151.5,225.7,415.2,191.1,190.9,6.2,2273,157,222,256.2,353.7,188.4,215.1,567.4,331,294.9,165.3,509.4,490.8,225.4,474.7,533.6,94.3,1043.9,171,328.3,740.5,18.6,154.1,317.1,523.6,118.7,101.6,93.8,104.5,143,127.5,136.1,478.5,578.3,15.8,205.4,1483.8,160.7,29.1,503.4,314.3,53.2,138.3,380,149,70.2,73.5,583.2,162.1,612.9,448.1,100.2,186.9,763.1,437.6,134.9,262.8,154.1,54.4,108.1,108.5,83.5,201.6,390.8,74.6,298.1,597.8,728.4,59.1,452.1,182,330.7,59.8,174.1,148.2,169.1,83.7,79.1,325.6,902.7,390.9,617.2,246.7,209.3,127.7,116.1,331.9,161.5,107.7,344.5,89,194.8,146.1,285.4,342.4,46.4,224.9,391,73.5,25.7,27.2,200.2,196.2,207.4,163.4,197.7,367,149.8,138.7,587.8,306.8,134.5,281.4,405.1,139.5,63.7,93.7,140.2,170,144.8,192.5,151,156.4,145.7,234.2,73.8,439.4,206,163.5,236,111.6,138.1,195.3,350.1,341,286.6,93,220.8,235.9,380.3,425.4,356.2,301.3,515.8,538.6,362.4,273.6,452.9,218.1,66.3,159.8,267.4,200.3,372.6,351.8,83.2,95,267.7,1888.5
2012,41.5,256.4,333.8,82.5,181.9,223.8,88.1,119.4,62.7,160.8,279.1,130.3,237.4,195.9,155.3,70.7,160.9,145,37.3,72.4,57.5,70.2,77.4,87.1,291.1,104.3,119.3,325,203.5,167.2,130.1,195.1,245.2,152,152.1,782.8,547.2,413.4,354.5,1032.9,195.7,201,191,331.9,238.7,309.1,739.6,438.6,116.2,393.8,783,195.1,212.7,231.6,285,396.7,289,402.8,254.4,94.1,394.1,169.1,282.5,216.9,168.9,514.9,372.1,464.1,151,208.2,241.8,98.5,487.7,14.8,25.7,41,37.3,163.9,16.6,25.2,54.3,11.8,45.8,30.6,32,268.4,109.5,61.6,297.6,72.3,32.6,148,1155.1,238.6,170.1,78.4,820.6,430.5,94.6,647.1,127,6.2,5.8,148.9,212.9,399,188.1,192.3,5.9,2270.2,160,235.9,257.3,342.5,183.7,212.2,557.3,310.8,296.6,166.8,519.9,474.4,212.7,468.6,531.7,105.8,1016.7,184.5,325,744.3,28.6,139.7,291.8,505.1,116,101.2,88.6,103,135.1,126.3,128,482.6,558.6,16,205.7,1462.5,158.1,30.9,489.8,317.9,52.5,153.9,383,162.2,68.5,72.6,596.5,164.3,629.9,461.3,100.6,188.5,734.3,429.7,128.2,266.1,158.3,51.7,109.1,105,76.1,202.4,381.5,72.2,296.8,594,716.3,59.4,462.2,185.3,326.3,59.7,173.8,138.5,162.2,82.5,74,313.4,912.6,384.2,598.2,239.3,201.5,121.4,116.6,324.9,152.5,99.8,340.1,85.7,196.5,128.9,270.5,353.4,45.8,214.8,377.5,69.4,26.3,25.3,196.2,198.2,231.8,166.1,198.2,410.6,148.9,156.6,560.8,300.5,134.4,271.5,394.3,134.5,62,90.7,144.2,164.5,153.9,203.1,152.8,156.3,144.1,222.9,72.8,424.4,219.7,166.6,222.2,113,135,186.1,340.4,316.4,263.8,90.1,219.8,234.9,377.7,409.4,350.4,281.3,500.7,546.5,344.7,272.5,461,207.4,70,172.7,264.6,184.4,372.3,343.4,87.9,86.8,277.6,1837.8
2011,41.2,250.3,321.7,80.7,176.2,213.1,82.8,105,57.9,168.2,269.8,128.1,242.4,195.1,167.6,70.8,148.4,137.8,35.4,68.8,58.8,68.4,80.3,84.2,295.6,110.1,118.7,316.6,189.6,163.9,129.4,196.5,244.7,154.1,158.6,768.1,531.3,413.8,342.1,960.7,184.5,183.3,179,313,229.1,312.1,728.1,440,112.4,381.6,768.5,193,209.5,254.5,273.4,376.7,284,369.8,251.4,89.4,378.5,161.9,283.1,229.5,175,486.9,378,446.9,146.3,196.2,234.8,94.4,503.1,13.2,21.9,44,41.3,173.6,17.7,25,55.6,14.9,54.7,34.4,34.8,278.2,115.2,61.7,303.4,78.3,34.6,151,1110,250.1,187.7,90.7,832.3,453.8,92.9,670.3,134.5,6.7,7,163.2,202.4,372,174.5,188.2,5.3,2230.1,157.1,241.1,257.4,342.4,185.8,202.5,523.2,330.2,305.7,152.2,493.4,452.4,207.1,461.5,529.4,103.2,1007.5,172,332.2,714.3,29.3,132,277.8,478.7,106.7,101.9,84.7,107.6,130.4,117.8,130.3,462,572.1,15.6,206.7,1433.1,157.9,27.4,460.2,320.6,49.4,148.3,382.2,160.3,68.4,73.2,617.9,153.2,617.9,469,101.4,177.8,731.8,421.5,115.4,251.7,149.2,48.1,106.5,103.3,78.4,198.9,370.9,74.1,295.1,591.7,700.5,64.5,442,185.1,306.2,57,165.7,134.1,160.2,79.9,73,319.5,867.4,355.8,594.2,232.8,196.8,116.6,117.4,325.8,146,102.9,326.7,82.8,183.7,135.5,250.2,357.3,39.3,197.5,373.7,67.2,21.8,26.2,198.7,191.1,223.1,178.3,212.1,421.6,156.4,169.4,556.7,284,133.6,272.3,375.4,130,63.8,92.3,145.2,167.8,153.6,222.2,153.5,175,156.8,208.6,72.6,428.4,215.9,164.4,208.4,128.3,129.9,167.2,318.9,310.6,287.4,107.6,203.9,234.7,381,388.1,338.4,282.4,490.3,535.1,353,264.4,457,202.2,65.6,161.1,261.9,190.1,350.9,370.8,82.2,67.7,266.4,1795
2010,37.4,242.9,300.9,68.4,165.6,208.6,79.1,102.1,52.8,137.2,237.3,116.3,222,186,149.9,71.3,160.6,142.6,37.9,68.5,60.8,68.7,79.9,77.1,312.5,109.7,107,360.1,200.8,180.7,147.5,222,260.2,167.9,181.3,746.8,494.9,393.2,321.3,932.1,179.1,170.2,163.8,315.9,214.6,284.6,716.2,439.2,117.4,392.5,732.8,175.2,191.9,246.9,262.1,385.9,272.8,350.1,239.3,87.3,361.3,153.9,272.4,219.9,173.3,473.4,354.8,439.3,145.3,189.8,230.3,93.8,526.6,13.5,16.3,44.4,43.8,174.9,20,24.8,59.9,14.4,56.9,33.5,30.6,284.7,112.9,66.9,328.3,79.2,35.4,150.2,1140.9,244.8,177.5,89.7,814.4,478.4,90.3,725.6,126.5,6.6,5.9,161.9,194.7,337.3,163.5,176.4,5.4,2098.5,144.7,199.1,222.7,344.1,172.2,177.5,469.9,300.6,277.1,141.4,423.9,375.9,175.2,463.1,450.6,87.4,896.2,152.9,288.1,578.5,25.3,154.9,293,443.2,95.9,89.8,82.5,101.8,117.6,119,116.8,386.1,546.1,14.6,209.9,1400.8,145.8,27.5,458.7,315.6,47.9,153.2,400.2,153.7,69.3,74.4,615.4,152,595.8,450.7,100.1,169,701.7,402.7,111.2,259.6,128.4,44.6,109.7,105,78.9,191.8,366.2,72.3,284.9,588.2,687,62,428.1,183.1,300.8,59.3,158.8,135.9,160.3,79.3,78,320.5,827,333.7,561.7,238.7,208.8,123.9,117.5,321,159.8,110.6,339.7,89.6,178.1,149.7,242.8,284.6,41.5,151.6,373.5,61.6,18.1,21.3,209.3,183.4,222.1,172.4,214.3,395.3,145.1,165,547.7,272.6,126.4,272.5,352.9,128.8,61.7,87,143.5,165.8,162.1,232.3,163.6,170.4,129.1,157,61.6,321.3,183.2,115.5,162.6,99.4,99.7,131.5,260.2,251.7,205.7,78.6,164.1,159.9,293.2,313.5,255.4,213.4,370.3,409.4,261.9,198.9,356.3,154.7,51.7,120.4,206.2,155.1,257.8,257.9,67.3,57,189.8,1421
2009,34,238.3,299.4,68.5,165.1,199.6,78.9,102.2,52.7,134.8,227.2,111.4,214.8,173.6,150.6,67.3,154.6,141.6,35.2,67.7,64.1,77,85.6,77.2,315.5,114.1,100.5,342.8,203.1,195.7,143.9,215.5,287.2,176.7,188.1,760.9,499.1,393.1,320.4,920.7,169.1,164.9,171.4,312.9,219.1,279.3,722.4,427.5,101.6,386.3,741.9,175.2,193.4,237,252,378.4,267.9,348.1,230.6,88.1,355.8,154.2,266.4,227.5,171.9,481,351.5,409.4,146.1,187.3,229.9,93.6,527.5,15.8,17,49.2,45.0,178.7,20.0,24.8,64.1,13.6,57.3,34.9,30.9,289.5,114.3,62,315.8,76.5,35.8,151.6,1110.8,240.6,172.3,82.8,800.8,470.6,90.4,705.7,122.7,6.7,6.2,170.7,189.2,343.2,160.8,163.6,4.7,2167.6,142.5,198.6,217.8,336.8,179.4,200,454.5,266.2,261,136.7,429.1,389.6,184.3,435.6,424.5,96.4,827.7,172.6,283.6,558.8,21.3,149.6,300.5,448.5,95.4,94.1,84.4,102.5,120.8,117.9,116,384,552.4,15.1,222.1,1406.9,148.1,29.6,455.6,323.7,51.4,172.4,413.2,161.9,70.7,75,605.1,150.1,629.6,479,102.6,174.8,732.9,401.5,110.4,293.2,125.4,45.3,107.1,107.2,79.2,201,382.2,73,289.7,609.8,702.6,62.5,440.7,187.2,301.3,57.2,161.1,129.5,160.8,77.3,77.9,325.8,863.7,351.8,545.4,239,215.3,133.1,118.2,269,171.5,107.4,333.2,90.7,181.3,153.4,236.6,267.4,38,155.2,377,58.9,16,22,213.8,216.1,248.5,196.9,220.5,389.2,161.6,171.8,535.6,275.9,126.5,261.6,352,126.3,61.4,83.8,144.5,170.7,157,229.8,166,157.1,118.9,156.8,58.5,314.9,169,108.7,175.7,95.5,108.1,134.4,259.6,236.8,190.7,70.2,170.3,168.5,290.8,308.3,254.8,196.3,364,402.2,252.5,186.1,352,147.9,54.8,123.7,205.5,146,265.8,263.6,71.1,62.3,186.6,1382.1
2008,37.2,222.9,282.7,70,154.5,198.1,77.9,97.5,51.9,134.2,224.1,107,212.4,166.7,151.8,62.8,159.4,128.2,34.8,59.8,67.8,74.3,83.7,81.7,315.3,116.3,103.6,345,186.9,187.8,143.8,212,271.7,169.3,170.9,734.3,487.3,389.3,308.9,916.7,167.6,166.4,167.3,302.9,215.5,277,694.7,412.8,106.1,370,728.7,174.4,190.2,243.2,263.4,370.7,255.4,348.3,225.4,84.3,348.7,149.9,261.6,222.7,173,474.9,340.1,424.8,146.6,187.6,224.4,84,521.7,15.3,20.6,52.8,46.1,182.5,20.3,24.8,68.7,12.9,57.7,36.3,31.1,285.6,116.2,61.5,325.7,76.1,33.5,151.3,1157.2,247.6,172.9,85.9,817.9,487.9,84.8,711.6,130.3,5.7,5.6,169.8,186.2,342.6,166.6,165.1,5,2209.4,135.9,220.7,218.1,309.8,199.2,175.6,456.9,260.7,259.5,128.6,403.8,387,185.8,404.7,427.6,81.5,838.6,178.1,289.9,561.6,24.2,147.2,285.3,455.2,102.4,92.1,82.1,96.6,125.4,118,112.9,390.3,587.4,14.8,232.9,1468.5,159.1,31.7,471,347.2,57.7,178,431.9,170.8,73,73.6,622.4,164.1,633.6,489.5,105.9,179.1,775.7,412.1,84.1,322,115.7,44.8,106.9,101.9,77.1,206.4,380.1,71.3,291.1,589.3,698.3,60.6,447.7,191.9,303.5,54.4,160.7,127.8,154.9,73.8,79.3,323.4,816.9,342.1,505.8,229.7,202.2,117.5,115.2,274.2,164.7,108.5,316.7,97.3,157.1,134.1,234.2,262.8,31.4,170.7,362,63.4,13.4,21.3,226.9,211.1,251.4,195.2,216.4,385.6,164.9,161,525.8,277.8,127.1,256.1,357.8,125.6,61.9,84.6,144.1,171.1,154.1,229.5,160.6,162.3,117.7,151.2,50.1,291.2,167.8,124.5,164.8,107.3,103.7,129.5,236.2,237.3,190.3,66.5,171.1,178.9,286.9,301.3,247.8,209.7,354.3,408.6,267.7,208.8,311.2,145.1,49.2,138.9,188.2,151,277,288,70.9,63,198.3,1356.2
2007,34.5,218.2,279.7,72.1,158.7,188.4,72.7,93.2,50.8,132.3,213.1,109.9,203.8,174.2,148.3,65,157.2,138.4,33.4,66.7,66.1,74.4,77.4,79,297.8,115.5,101.6,333.6,175.1,174.4,146.8,208.9,258.7,167.2,173.4,720.6,481.3,383.7,296.5,881.8,167.1,157.5,165.8,303.1,206.5,272.4,692.7,397.2,101.2,353.4,717.3,170.4,188.3,229.3,260.1,365.8,243.4,342.3,234.4,79.2,344.8,144.3,256.3,216.5,162.1,466.8,337.6,392.4,138.4,179.2,205.5,79.1,510.4,13.1,20.8,51.1,47.3,186.4,20.5,24.8,73.5,12.2,58.1,37.8,31.4,284.3,103.6,60.7,319.1,75,32.6,155.5,1107.3,243.8,170,90.4,831.8,472.1,93.6,714.4,120.2,5.1,5.9,168,191.4,331.4,160.7,161.3,5.2,2085.5,140.3,204,220.9,290.4,165.7,163.2,440.1,267,235.7,120.8,402.7,370.9,176.3,399.1,371.4,77.4,854.5,150.5,291.8,537.1,25.8,140.9,268.5,438.6,97,92.7,77,94.9,121.6,115.2,107.3,383.2,604.1,15.3,224.6,1465.3,144.1,31.1,475.9,338.7,57,183.5,451.2,173.2,73,75.2,634.9,170.4,620.1,478.7,103.2,184.1,805.8,387.2,80.1,310.4,122.1,42.4,106.9,100.3,78.7,200.2,365.4,66.3,272.8,556.4,690.6,58.3,430.8,177.5,291.9,52.6,149.5,122.6,140.2,69.2,74.5,302.6,798.4,314.9,513.5,206.7,184.2,94.4,112.6,282.4,160,110.4,327.4,83.2,148,125.9,223.7,251.8,29.4,158.8,345.9,56.9,14.4,19.2,208.1,199.5,239.2,197.3,215.2,369.3,157,153.5,505.9,277.1,119.1,251.9,352.9,122.4,63.5,87.5,138.4,161.4,143.7,235.2,144.1,167,126.3,153.9,56.1,313.1,159.4,129.8,148.3,93.9,92.4,137.1,239.8,227.7,194.1,66.4,164,185.1,283.6,297.6,242.1,210.7,353.6,399.8,260.5,204.1,343.3,143,55.8,122.9,181.9,149,267.6,277.2,71.7,51.3,189.2,1283.7
2006,33,223.6,283.8,69,159.7,191.8,71.7,90.5,49.3,136.1,218.6,102,202.1,164.4,149,62,139.6,131,33.7,63.3,70.9,70.2,77.4,75.6,268.5,104,92.8,323.2,163.7,169.3,137.4,206.2,249.5,154.5,168.1,716.8,463.3,359.8,294.8,867.1,164.7,157.8,158.8,296.8,196.4,265.2,667.5,393,105.3,354.3,713.8,173,184.7,248.7,262.1,353,248.1,329.7,234.4,76.9,325.2,144.5,245.3,220.5,166.1,457.9,325.9,379.1,136.0,173.9,198.8,75.6,497.6,13.3,21,49.2,48.6,190.4,19.6,24.8,78.7,11.6,58.5,39.4,31.6,260.9,98.1,59.1,315.9,72.8,31.1,143.7,979.8,223.9,149.7,82.9,822.3,474.2,96,674.1,114.9,5.2,5.7,162.3,183.7,323.9,155.4,166.4,4.5,2064.1,149.2,197.1,221,289.6,179.5,171.6,436,243.6,260.2,120.6,388.3,352.5,182.4,362.2,400.9,76.8,769.8,152.7,275.3,531.4,27.3,136.5,260.6,440.2,94.4,91,83,101.2,123.9,111.5,101.6,367.8,571.4,15.7,208.5,1425.6,146.8,30.5,490.3,326.7,57.3,179.8,450.6,169.3,67.8,68.1,588.2,164.9,581.6,473.6,98.8,181.2,773.2,357.9,76.2,275.6,120.2,40.5,103.4,98.5,76.2,184.5,349.1,65.9,273.2,540.5,663.9,56.1,417.4,175.4,272.9,46.7,142,110.4,132.2,68.9,67.6,285.7,713.9,307,491.9,195.3,168.2,100.8,100,287.6,148.9,100.5,324.3,74,153.2,128.1,197.4,245,35.1,162.9,357.4,51.9,14.5,17.6,177.9,211.5,237.6,207.2,213.4,374.2,159.5,149.6,497.9,272.9,119.4,235.3,341.8,117.2,59.7,87.4,137.4,164.3,133.4,233.6,150.4,165.5,116.8,150.3,51.6,326,155,140.2,149.9,91.2,86.7,136.2,251.8,233.6,215,63.8,175.4,180.9,267.2,287.3,252.6,206.5,351.1,399,247.3,184.4,333,152.8,52,119.4,175.1,138.3,257.4,266.2,67.7,50.2,188.9,1266.7
2005,32.1,227.8,276.5,66.8,151.2,187.4,71.6,89.5,48.4,129.9,216.4,99.4,204.9,162,150.3,58.3,140.4,128.7,30.3,59.6,70.4,73.7,76.7,81.7,283.3,103.2,88.9,307.3,159.7,165.7,136.5,206.6,252.1,156.9,166.4,695.1,469.2,355.8,290.8,855.5,160.1,163.9,155.5,285,190.6,264.8,667.3,377.1,92.4,347.4,701.7,169.5,180.1,239.3,258,349.9,241.1,336.2,235.7,80.6,314,137.9,244.2,216.3,160.1,440,331.5,366.5,134.0,169.7,192.3,73.9,468.7,14.1,20.2,47.6,49.9,194.5,20.2,24.9,84.3,11.0,58.9,41.0,31.9,236.1,99.6,55.2,304.4,71.5,30.5,138.8,961.1,220.1,148.7,75.5,837.3,430.7,80.4,649.2,107,6.5,5.6,163.7,178.9,311,154.8,163.6,4.2,2067.8,139.6,204.2,214.8,275.2,185,162.9,423.7,246.1,257.9,117.8,393,342.7,182.2,347.8,393,80.1,739.1,148.2,268.1,538.5,17.1,132.4,248.5,428.2,95,83.8,83.8,102,116.3,107.2,92.4,347.6,498.4,15.7,201.9,1338.8,143.9,29,472,307.9,56.2,170.5,423,150,63.4,63.4,556.3,152.7,538.5,442.2,94.9,167.3,711.9,374.4,74.2,238.5,118.9,38.5,100.7,99.6,76.8,180.1,348.2,66.8,264.4,542.6,686.2,53,416.4,172.5,261.7,47.7,141.7,108.3,127.7,69.2,68.9,268.3,667.3,268.8,465.7,217.7,171.2,104.9,93.5,283.6,141.8,95.2,302,82.9,166.2,121.6,189.6,223.5,35.3,160.4,353.2,56.2,13.8,18.8,177,188.1,239.3,190.7,197.4,337.3,154.2,139.6,489.5,267,124.6,227.7,332.2,119.9,59.2,85.3,131.6,158.6,129.3,208.9,162.3,153.4,104.2,139.3,54.7,291.9,158.3,125.9,149.9,81.1,93.8,129.1,254.5,220,195.3,66.1,158.1,162.9,268,286.1,249.7,203.1,336.6,391.3,233.9,195.6,322.2,141.8,42.8,113.2,160.2,139.3,249.8,265.3,68.1,47.7,179.1,1222
