NAME,EUR,PPS,TOUR,POPU,HRST,EDAT,HRPO,TOPO
AT11,7190,6574,2594561,285611,41.5,16.5,0.0001454687,9.0842551174
AT12,49183,44970,5988510,1614920,258.8,19.3,0.0001602729,3.7082385365
AT13,81166,74213,12082377,1723139,332.9,29.9,0.000193212,7.0118433617
AT21,17424,15931,10657234,556391,80.1,18.8,0.000143964,19.154214262
AT22,40185,36743,9432120,1209245,179,18.4,0.0001480639,7.8000068647
AT31,53406,48832,6237223,1415551,224.9,18.7,0.0001588942,4.4062158376
AT32,23203,21216,20396894,530074,85.9,22,0.0001620228,38.4793511126
AT33,27833,25449,34271804,712219,113.2,20,0.0001589622,48.1197501987
AT34,14569,13321,6266338,371295,59.9,18.8,0.0001613944,16.8769634919
BE10,71140,64370,6051099,1146185,160,42.4,0.0001395903,5.2793379195
BE21,72725,65805,3786727,1783476,276.3,35.5,0.0001549226,2.1232286343
BE22,24226,21920,3663856,850215,127.5,29.7,0.0001499624,4.309328041
BE23,46067,41683,1791365,1455136,236.2,35.7,0.0001623371,1.2310639281
BE24,40802,36919,1745718,1094937,192.1,44.1,0.0001754636,1.5943550318
BE25,39059,35342,7724892,1171317,157.2,31.9,0.0001342056,6.5950496634
BE31,14844,13431,410626,386194,70.7,51.9,0.0001829605,1.0632655231
BE32,29955,27104,865229,1324554,156.7,27.6,0.0001182841,0.6532227659
BE33,27692,25056,2035694,1086249,143.7,32.1,0.0001322725,1.8740591112
BE34,6219,5627,2093850,274953,36.9,32.7,0.0001340535,7.6152924393
BE35,11786,10665,1044533,481446,70.6,34.1,0.0001466946,2.1695723805
BG31,2927,6312,459428,836589,60.4,19.1,0.000072217,0.5491682435
BG32,3301,7118,591425,853840,68.7,21,8.04E-05,0.6926656451
BG33,4440,9575,6235330,962424,81.5,23.6,8.47E-05,6.4787747106
BG34,4982,10742,7682642,1074028,82.4,19.5,7.67E-05,7.1531092242
BG41,19556,42168,2811834,2130799,306.9,34.4,0.0001440307,1.3196153518
BG42,5758,12416,1760971,1471619,113.5,19.8,7.71E-05,1.1966220038
CY00,18699,20414,14081657,848776,114.7,38.4,0.0001351277,16.5905461305
CZ01,39383,57052,13741531,1238704,326.8,37.6,0.0002638056,11.0934743614
CZ02,17431,25252,1919695,1277014,200,18.3,0.0001566203,1.5032688082
CZ03,16094,23314,4418621,1208035,170.5,16.3,0.0001411773,3.6576918105
CZ04,12962,18777,5557680,1130154,134.2,11.4,0.000118763,4.9176317725
CZ05,18658,27028,6510624,1507710,205.8,15.5,0.0001364653,4.3182199427
CZ06,23293,33743,3552970,1677249,255.3,20.6,0.0001522351,2.1183319792
CZ07,14967,21682,3227606,1226932,155.4,15.9,0.0001266646,2.6306318998
CZ08,15622,22630,1887271,1230571,161.5,16.2,0.0001312537,1.5336549106
DE11,172188,164996,10030053,3951238,783.4,31.2,0.0001982695,2.5384584863
DE12,103670,99340,9104033,2692866,539,30.3,0.0002001723,3.3807965858
DE13,71608,68617,13151991,2165217,414.1,28,0.0001912407,6.0742148295
DE14,65218,62494,6406410,1777503,352.8,31.4,0.0001984645,3.6041620501
DE21,212757,203871,31225625,4381374,1013.6,36,0.0002313442,7.1269020973
DE22,39217,37579,9793957,1181624,192.9,22.2,0.0001632882,8.288556847
