NAME,emhrw,tour
AT11,191456.157667621,104029266.569499
AT12,1136026.12784293,295697722.355394
AT13,1562245.97565273,683360768.145981
AT21,440435.18425512,611970761.789399
AT22,988861.144684905,516823961.83145
AT31,1178901.69571936,311579664.152637
AT32,508764.632242981,1347453815.10513
AT33,627220.655569263,2603319127.19819
AT34,292362.312270262,308688262.98664
BG31,520744.548907965,11520318.7406063
BG32,608223.426801862,15726506.111155
BG33,709304.58490546,309353984.563354
BG34,781571.809942704,390297850.797757
BG41,2026885.98419506,105504741.891365
BG42,1101906.77092639,59615905.6186101
CZ01,1649895.37098916,809832570.507491
CZ02,1001912.07252975,69864496.4532249
CZ03,1024224.16523791,194737893.500457
CZ04,864887.034133352,265614826.71884
CZ05,1210827.4800056,327064666.654248
CZ06,1407413.77746864,143963073.79205
CZ07,956191.216335097,132265041.698726
CZ08,924383.760837711,68688852.2072177
DE11,3078007.39197876,545565897.719578
DE12,2033432.67777866,491962849.977352
DE13,1557740.51547057,779683553.475996
DE14,1321836.26482267,317708245.009241
DE21,3593218.86889428,2280419575.50645
DE22,861724.809092185,550719168.842707
DE23,806909.789688732,195008000.104431
DE24,770342.570483827,164440296.591014
DE25,1329230.51458025,316328870.763316
DE26,943807.744180448,212279665.269478
DE27,1312024.50705507,700566043.352535
DE30,2464902.23754454,1614430489.01932
DE40,1574094.56009899,517898581.853026
DE50,552500.551726606,71590077.1490608
DE60,1632957.6580708,562712209.782499
DE71,2951414.12159971,961169035.619088
DE72,663785.817872411,75765870.7076724
DE73,850059.228303371,319803135.162283
DE80,1069334.88938449,1746195165.17149
DE91,1077819.15515174,268189049.558906
DE92,1461204.56277071,258186998.636457
DE93,954335.392874234,447738852.69958
DE94,1707166.83877299,910668426.821675
DEB1,960213.823246196,403384663.50092
DEB2,340104.860564295,274264627.257836
DEB3,1302219.58949231,232718232.379162
DEC0,697690.250980055,53307935.1748619
DED2,1124904.41370329,410104492.624423
DED4,1035283.05261156,176132264.648472
DED5,714542.990303512,135198060.061648
DEF0,1819123.39380389,1446839084.67248
DEG0,1541236.75682269,389198225.079575
DK01,1401362.09334579,445759972.784551
DK02,457695.965281703,110915846.662052
DK03,814542.741608882,434018644.226198
DK04,893961.763830511,198840648.12037
DK05,396865.918535811,206593906.902573
EL30,3299059.39785952,357815600.047449
EL41,158521.756693502,70699912.6367326
EL42,307627.141355572,1374524823.40137
EL43,546359.659536569,1402964419.91199
EL51,439767.266026465,71869693.7494663
EL52,1380366.09317151,667398159.613913
EL53,189000.458249387,7707227.81367518
EL54,261980.079682831,43114665.8682793
EL61,554763.49241269,98091908.8037269
EL62,180395.146719012,521270606.90396
EL63,532874.786163902,51499350.8517531
EL64,419223.093256604,49413590.6633336
EL65,471815.268792649,111485972.036527
FI19,1021700.72427352,187033127.502245
FI1B,1344189.7665978,243569551.388923
FI1C,845388.203902581,135390366.054099
FI1D,914988.842580163,364555800.211163
FI20,30069.9529749973,10515841.1431758
FR10,8022801.85691926,7200989789.80583
FR21,849422.152368334,161946576.57343
FR22,1123040.33176114,244491431.40885
FR23,1199932.77530378,226311910.915361
FR24,1650868.26803206,503296552.58083
FR25,961304.351315417,470649023.663259
FR26,1046372.8581182,325279163.726718
FR30,2393571.80398861,375914736.593623
FR41,1362371.28408015,306094748.875506
FR42,1291890.66104301,452452220.777988
FR43,674253.825484932,176606124.854605
FR51,2387578.22780006,1313102269.71898
FR52,1955918.6161482,1281863525.92125
FR53,1067631.20649729,827557062.997214
FR61,2205535.44950269,2271303093.71574
FR62,1726257.15143662,1132548077.41215
FR63,425719.321308646,107694131.238351
FR71,3792086.83798702,4045908648.79254
FR72,801076.662846883,330019922.283887
FR81,1556089.43826286,2559148496.19988
FR82,2778361.43318618,4710862209.00891
FR83,197823.986113832,496324854.197369
HU10,2947417.0963434,390538048.091187
HU21,737091.681131899,89701800.2834676
HU22,726535.805940761,205476600.504402
HU23,507233.055575553,77120680.874778
HU31,609774.648116123,59389397.0750113
HU32,784525.295163548,65832113.6497281
HU33,752913.12682057,40272781.5634641
IE01,794491.25127201,360213167.985298
IE02,2569620.20627715,1465618335.77161
ITC1,3271157.31887863,752964148.572267
ITC2,114047.825275898,130121352.193449
ITC3,1159774.03783145,832010990.129448
ITC4,8016046.90339691,2494160713.93461
ITF1,933264.014820649,377264931.476054
ITF2,204396.864900371,15851516.3397514
ITF3,3310205.31978439,1233531032.25897
ITF4,2445141.08859779,805275359.370079
ITF5,353237.086278593,71901544.2308125
ITF6,1158514.51555256,446715756.134675
ITG1,2764286.24448817,861954271.724452
ITG2,1063840.84467472,655639058.545542
ITH1,484368.976684346,2123042606.30122
ITH2,439962.371669732,960572999.201744
ITH3,3827771.07873466,5534241022.71511
ITH4,927619.460836698,467864932.177197
ITH5,3622007.78290757,2958063232.25418
ITI1,2868240.52059126,3476486182.5996
ITI2,643426.990269106,287088639.953326
ITI3,1135275.0384911,630369294.14115
ITI4,4443698.02236941,2283713501.42631
LT00,2578635.61678444,179654614.362637
LU00,565469.936703775,88904838.7283388
LV00,1673949.94701392,142453463.678851
MT00,379976.488240876,415152617.327861
NL11,385263.076737227,40459327.6329803
NL12,424816.11156202,224623428.399526
NL13,314358.76727583,272015008.381856
NL21,812616.600299848,254458968.5283
NL22,1443596.295882,536057447.778341
NL23,248688.485363629,60113174.1257143
NL31,1039641.00542465,94135253.5576706
NL32,2214800.29998273,1390796902.94889
NL33,2630102.81778731,458166080.125035
NL34,255753.965401461,428187370.144239
NL41,1914433.94867325,510629605.829815
NL42,789899.678352215,559415014.069586
PT11,2941665.84343633,270764493.747766
PT15,367956.072147628,1003056550.08679
PT16,1881274.16674909,286456245.741903
PT17,2574847.93512945,628286083.627135
PT18,541378.377369014,82254401.9552049
PT20,188848.217581063,34389184.6978141
PT30,208278.346894635,275387740.08024
RO11,2157945.05138113,77602906.7690971
RO12,1703914.67287121,144604722.825265
RO21,2915055.18727853,54683517.5327061
RO22,1923733.6174213,183288357.609901
RO31,2244570.61244056,60320463.0668585
RO32,2122395.50151532,83109634.8508741
RO41,1770888.25184693,51161238.6382633
RO42,1477421.24749049,60169781.2770995
SI03,768126.388438455,174712993.189998
SI04,794365.515017486,240520626.434825
SK01,766329.684437134,67028852.608869
SK02,1347606.02984316,103489734.049826
SK03,907492.052682319,153926982.928075
SK04,906619.539091567,107929220.366042
UKC1,794772.112581618,58592020.4508389
UKC2,987855.918263042,208845656.020267
UKD1,380003.090502008,359082442.430012
UKD3,1923877.15375581,251668111.640299
UKD4,1074344.45240141,221979139.931264
UKD6,709320.003448506,77618744.1537916
UKD7,1031583.025749,135356340.655825
UKE1,662466.533054849,80176017.0989372
UKE2,629946.30299301,473993819.141869
UKE3,925531.847174726,61129596.6857485
