TIME,AT11,AT12,AT13,AT21,AT22,AT31,AT32,AT33,AT34,BG31,BG32,BG33,BG34,BG41,BG42,CZ01,CZ02,CZ03,CZ04,CZ05,CZ06,CZ07,CZ08,DE11,DE12,DE13,DE14,DE21,DE22,DE23,DE24,DE25,DE26,DE27,DE30,DE40,DE50,DE60,DE71,DE72,DE73,DE80,DE91,DE92,DE93,DE94,DEB1,DEB2,DEB3,DEC0,DED2,DED4,DED5,DEF0,DEG0,DK01,DK02,DK03,DK04,DK05,EL30,EL41,EL42,EL43,EL51,EL52,EL53,EL54,EL61,EL62,EL63,EL64,EL65,FI19,FI1B,FI1C,FI1D,FI20,FR10,FR21,FR22,FR23,FR24,FR25,FR26,FR30,FR41,FR42,FR43,FR51,FR52,FR53,FR61,FR62,FR63,FR71,FR72,FR81,FR82,FR83,HU10,HU21,HU22,HU23,HU31,HU32,HU33,IE01,IE02,ITC1,ITC2,ITC3,ITC4,ITF1,ITF2,ITF3,ITF4,ITF5,ITF6,ITG1,ITG2,ITH1,ITH2,ITH3,ITH4,ITH5,ITI1,ITI2,ITI3,ITI4,LT00,LU00,LV00,MT00,NL11,NL12,NL13,NL21,NL22,NL23,NL31,NL32,NL33,NL34,NL41,NL42,PT11,PT15,PT16,PT17,PT18,PT20,PT30,RO11,RO12,RO21,RO22,RO31,RO32,RO41,RO42,SI03,SI04,SK01,SK02,SK03,SK04,UKC1,UKC2,UKD1,UKD3,UKD4,UKD6,UKD7,UKE1,UKE2,UKE3,UKE4,UKF1,UKF2,UKF3,UKG1,UKG2,UKG3,UKH1,UKH2,UKH3,UKJ1,UKJ2,UKJ3,UKJ4,UKK1,UKK2,UKK3,UKK4,UKL1,UKL2,UKM2,UKM3,UKM5,UKM6,UKN0,UKI
2013,2549486,5910564,12679225,10821533,9619986,6296414,21139146,35102108,6568911,539547,644307,6917967,8459346,3113154,1943153,14654282,2066099,4658094,5764989,6797895,4018438,3400921,1947561,10444980,9294919,13422190,6536321,32392072,9797057,4337676,3737408,6523274,4762502,12363739,26806789,9713625,2028776,11603135,16396495,2062726,6352662,24949973,5659089,5498370,8288544,14695354,7569188,5490251,5048790,1727022,7971059,3983019,3635055,21452891,7496555,9046543,2662486,8007168,4414072,4370568,6877336,2048267,21741628,21675759,2492241,12940769,377928,1453547,2620755,10588296,1649153,1528113,3111653,4109254,5103405,3271657,7348441,408300,77692454,3936175,5330359,4932763,9190287,8700604,6353232,7498037,6562813,8759736,3892205,19965413,20161681,13883168,31390111,17358889,2669311,49498847,6570088,34421925,55179806,10144173,8739463,2730712,4729787,2810969,2072053,1948492,1394672,6859584,21426850,12690568,2981002,13149699,33960641,6938239,451400,17722308,13359216,1949123,8002838,14490861,10680628,29017046,15482582,61536258,7842377,36449540,42696395,5685954,11017961,30680979,6089056,2637481,3775192,8501147,1323719,5162879,6148434,5490652,10515234,2416696,2763343,22467095,9485952,8981367,10481395,10837364,6107442,16681486,5464895,11948402,2309958,1150552,6225524,2105502,4018630,1604253,4185392,1701721,2373012,1560553,1752705,3956817,5514754,2179842,2632772,3672178,2860849,2065610,6153756,9108020,6132766,5044672,2187041,3928857,2652124,10424771,2316829,4255554,5865064,3438909,4970421,4294079,2781827,6141082,13321894,2657968,2082456,9317725,9605234,9010760,5491442,9159120,11149489,12385621,11611998,22979447,4430914,15642855,6996770,2683994,8619759,4062051,63620220
2012,2617668,6085526,12233335,10888704,9463090,6444340,20721553,34684574,6401930,483858,671282,6618837,7784126,2865755,1828180,14443143,2114840,4687581,5938627,6973862,3785268,3319925,2015211,10312973,9262754,13402753,6617212,31806034,10022349,4359766,3900867,6551793,4749856,12346389,24764564,9650492,1916281,10634012,15754679,2038461,6550343,24814396,5641174,5482783,8404146,14800312,7621238,5571861,4981097,1434628,8068214,4101440,3396429,21163641,7596210,8616599,2646810,7953000,4316489,4507337,6133202,1722967,19772657,18980015,1979378,12432494,331998,1336119,2505291,9553714,1571623,1486993,2760221,4185470,5262273,3300686,7163485,405668,78104744,3726418,5119158,4727499,9114939,8472458,6558819,7241637,6330364,8393751,3935689,19447452,18568689,13650916,30104651,17627461,2655808,48709067,6608783,33686937,55484758,8499165,8267517,2700068,4649091,2507817,1837221,1866326,1341493,7131016,21595392,12415037,3166295,13401547,33366636,7252826,540050,18410150,13291863,1881814,8358186,14273969,10843177,29398900,15488347,62352831,8802721,37383182,42651126,5825889,10925958,30680979,5741252,2543830,3546736,7832229,1172343,4625356,5697507,4907242,9159448,1873569,2293059,19961251,8142256,7226760,8999335,9992283,5447501,16019714,5623559,11086065,2054006,1010526,5539720,2105177,3648349,1676402,4401688,1764261,2238446,1502277,1754779,4074219,5331790,1955498,2593816,3551934,2669080,1945471,6404705,9399842,6128672,5484192,2231462,3767560,2642410,10312821,2295336,3950507,5624704,3289672,5150225,4502958,2888897,6448699,13755880,2670062,2273249,9040586,9963023,9079451,5555577,9223493,11799160,13161809,12384935,17273407,5150338,16022706,7238996,2704858,9212882,3839625,60746359
2011,2607258,6021715,11382773,10678729,9286510,6219301,19613068,33549266,5981042,432186,552822,6250748,7422388,2421402,1576515,12948091,1796742,4009644,5341409,6189117,3127652,3013799,1808634,9653382,8943279,12921613,6303142,30157451,9882658,4317694,3743489,6273152,4572116,11850602,22239852,9283731,1930606,9530300,15052003,2007850,6391578,24674139,5505710,5427328,8373407,14723216,7953648,5720336,4958995,1513711,7752670,3945859,3022172,21336567,7445097,8215682,2760033,8243424,4388644,4603303,7362512,1909342,20802616,21765012,1779778,11234545,310132,1233613,2435360,9146926,1436537,1404772,2634388,4158126,5194606,3213509,6994805,426825,77403960,3668441,5151236,4870454,9187317,8701972,6503400,7214671,5921230,8443259,3958575,19846149,19428533,13684810,30803662,17580528,2691986,47847618,6495039,33589653,55265601,8802647,7030658,2045864,4351246,1643208,1522431,1687804,1153703,6987507,21510133,12845074,3126165,14060622,33123562,7422437,680523,19554988,13505731,1963474,8548275,14057897,11448683,28872461,15287619,63401304,8949565,38619332,43684791,6037002,11024248,30680979,3266858,2237724,3294232,7681557,1208300,4737900,5225300,5443000,9499200,1333300,2381300,20324400,8334600,8029000,9063500,9788800,5479709,15859200,5988216,10721696,2134211,1074471,5600355,2083679,3311637,1556366,4050309,1678760,2129626,1504973,1682795,3917611,4942717,1738851,2523691,3539647,2613448,1466520,3397661,5690398,4739819,4084293,1810713,3260329,1796912,8086643,1279375,3188675,5275705,3003037,4299678,3044630,2039684,4370704,9367272,2295588,1839542,8317325,8422751,6202730,4623364,7511946,8953437,9058663,9097939,10936878,3515025,11123705,5930551,2028823,6421619,2688433,51420193
2010,2581588,5861712,10850917,10438031,9087786,6005118,19563869,33517686,6035628,361218,462765,5119160,6396622,2368724,1430627,12121133,1688986,4096691,5095808,6301288,2886780,2984193,1733932,8825481,8506481,12303329,5929135,28861675,9591976,4101906,3578889,5953302,4294212,11236362,20688935,8904366,1812720,8946635,14583102,1943963,6153113,24666829,5345908,5004150,8228542,14587633,7255544,5652540,4742660,1422474,7317826,3783762,2962852,21200965,7269156,7504098,2819264,8199896,4259807,4363882,7169313,1941979,19187454,19879156,1707390,9770363,292385,1169144,2377507,8723772,1315116,1329565,2591710,4115017,4856835,3013145,6857807,405253,73958172,3484641,4934881,4742082,9074769,8790113,6352193,7065453,6026719,7995094,4052554,19440199,19106413,13214900,29680364,17396067,2618344,48544357,6475964,32784928,52666923,9083320,6513308,2097976,4281664,1858431,1409932,1813097,1056326,7049278,21551522,12365022,3107827,13754235,31126864,7306951,559245,18556993,12982987,1890108,8147269,13503839,12172923,28568205,15191244,60820311,8665896,37674889,42031975,5626727,10792486,30696554,2792135,1859564,2834104,7560834,1182700,4749100,5724000,5252100,9501300,1622300,2185400,20196900,8212900,8033900,8774100,9438200,5380160,15060855,6110056,10233296,2118147,1041944,5317207,1884543,2719381,1372623,3734288,1564697,1980397,1290263,1504943,3765892,4658849,1566174,2637329,3435188,2601788,1363656,4181213,5997177,4750797,5261012,2268406,2133365,1826124,7179764,1604243,2343102,3930041,2170209,4534776,3360934,2759590,4109778,9475767,1811320,2366015,6203051,8461644,6397537,4049405,6830753,10299486,9308525,9930320,10905110,3212753,12035210,7138000,1559058,7080105,2830668,52533262
2009,2529421,5813863,9833991,10816952,8911822,6079155,19423427,33441600,5983227,403805,533360,4863998,5696053,2325887,1453897,11218200,1713592,4284427,5166640,6439100,2990867,2998109,1851257,8332881,8089713,12263764,5747575,27054563,9647343,4025104,3471386,5478330,4164443,11137170,18814154,8479006,1639093,8190145,13416526,1921855,6162933,25337840,5280218,4736334,8344467,14222197,6984138,5642049,4602288,1295308,7157671,3702528,2744127,21016885,7290839,6933773,2959541,7939723,4231620,4426806,7474861,2147143,18372194,19187154,1819100,9125715,503333,912548,2053893,7852962,1956502,1698729,2639731,3961538,4468786,2984620,6736802,415592,63638435,3224249,3673539,3446442,7311107,7212236,5860506,6337878,4467208,6736283,3264511,15789928,15502657,11173172,21721847,13212616,2101657,25335950,5043645,25216754,34117544,6532007,6240216,2126842,3962837,2075975,1440708,1802810,1060358,7008018,21289659,11593822,3133921,13952944,29456808,6653927,602526,17942458,12509693,1888718,8454728,13765339,12310384,28067592,15235186,60444395,8833753,38188724,40971354,5584081,10701166,30470858,2548114,2256166,2543111,6903106,1485900,5142200,5776600,5575000,9538900,1709700,2370700,18882100,8332100,7648300,8371000,9683000,5278202,14897142,5981664,9483048,2123015,1047990,5553681,2098589,2665298,1509550,4423728,1674366,1835779,1441604,1676496,3801693,4754429,1571725,2639520,3413655,2627757,1231412,4769325,8052835,5584957,6438735,2047020,2305806,2433838,9800916,1650857,2640412,5625982,1930052,4887747,3827054,2774747,5017709,10622021,2057130,2578168,6975760,9941269,9832030,4568622,8690302,13496470,12828446,11337176,12407007,3675061,11344102,8063232,2152997,8148308,2475001,48483621
2008,2474767,5901719,10224100,10998768,8804087,6127267,20042061,34118014,6018900,430078,601620,6050560,6614353,2800689,1685623,12174591,1806363,4403117,5577857,6879761,3289334,3223682,1928769,9516160,8728950,12405632,5965842,28582868,10168977,4362286,3783698,6161289,4705148,11660566,17770277,8662113,1650883,7727621,14266623,2060801,6179918,24359596,5230195,4913469,8405261,13876011,7288074,5854428,4888257,1462159,7095870,3711626,2789765,20499566,7368410,7387969,3297900,7968349,4515685,4857126,7315351,2037494,14546143,15729316,1759226,7891536,478407,900065,1983379,7381425,1860051,1643172,2569268,4114680,4742367,3170281,6985724,452568,67528487,3360208,3452360,3531917,7564041,7136155,5969794,6807952,4531246,6612599,3123821,15936422,15301471,11055640,21239290,14483670,2080535,25720657,4975259,24624646,35154952,6186201,6691447,2256155,4041252,2268607,1540998,2011800,1164155,7018108,21179741,11558330,3113340,14130514,28303505,7560476,659205,18722386,12183376,1862373,8493339,13938319,12293922,27699447,14873012,60607073,8878927,38361397,41261956,6011326,11478362,31676127,3249339,2432004,3501063,7917563,1320200,4556100,5644400,5343200,9812800,1647000,2420400,18682200,8578300,7478500,8936900,10032300,5353260,16244877,6201555,10039073,2041087,1177885,6271100,2536890,3152080,1676761,5317647,2115893,2212892,1730168,1983650,3855823,5014325,1853790,3136192,4056676,3212457,2055989,4109603,6233504,5538022,5576109,2459971,2653198,1572039,8654498,1519611,2897746,5139351,2773695,4324166,3761285,3072447,4944468,10544761,2401431,2795638,7897763,9163147,7431235,4149011,7972218,12445175,10430175,10204940,13169439,4695960,12144782,7324959,2004795,7365299,2459402,48113774
2007,2379555,5721002,9649485,10799314,8397374,5923485,19305248,32659589,5829300,394303,587294,6192026,6532899,2653027,1617109,12200291,2064921,4700483,5627319,7189924,3491290,3520638,2036206,9055056,8708828,12040490,5749536,28175962,10192344,4473189,3752565,6031013,4658253,11420111,17285837,8531174,1530823,7402423,13897975,1989964,6289943,23309128,5285721,4465479,8092033,13749189,7023684,5977860,4797549,1481269,7150191,3749676,2700195,20365466,7352791,7519427,3346901,7707078,4499577,4994611,7706563,1961695,14690087,15324936,1654973,7153293,481194,936866,1957952,7522757,1957596,1762551,2704207,4075289,4596333,3174401,6762071,428571,68677853,3347560,3446409,3436307,7486620,7284914,5961625,6804154,4618511,6588825,3059979,15793027,15779376,10995808,21376576,13591233,2055095,25671871,4894640,24383675,35125884,6240956,6833136,2400212,3896780,2281133,1535105,2055311,1126857,7002527,20996132,10317171,3106584,14170265,28648519,7374646,652171,19774742,11481603,1856789,8731335,14602145,11851213,27293308,14703083,61529573,8734021,38174466,41695840,6252102,13584582,32107593,3263661,2527820,3324690,8082229,1346000,4744500,5656700,5179400,10181500,1641900,2410200,19835000,8642100,9115200,9031900,10482400,5456433,16692909,6194906,10228516,2104127,1234747,6052971,2549490,3177434,1691905,5294207,2175482,2024483,1673496,2006852,3384890,4607820,1750133,2828979,3806449,3037082,1474123,4910648,7969247,5929060,6975069,1925298,2428788,1602250,8811709,1013301,3015810,4782447,2428228,3810937,3575054,2744022,5102374,11917378,2961110,2603340,6311310,10779760,7384396,4461408,8037699,13026704,11631927,11935257,11929199,3630410,13506848,9381693,2154982,8642879,2604910,48839071
2006,2260717,5485264,9342370,10338788,8034513,5815035,19054360,32232905,5565594,383932,494525,6364331,6419156,2221777,1471642,11277671,2222696,5307270,5589989,7815499,3563064,3615904,2055704,9458451,9714934,14523082,7160389,29164397,11825220,4498490,4295905,6400780,6049128,12457250,15910372,9551643,1469454,7177327,15532069,2221602,8214509,24771546,5932558,5400324,8234933,15317009,8286624,6359489,5270203,2194558,8540628,4626900,3210852,23044017,8731062,7331516,3275749,7357899,4370824,4931062,6772536,1878995,13172260,13469216,1543865,5966191,413372,784257,1828356,7028971,1499143,1427199,2320933,3874033,4352332,3055593,6450557,436354,63105173,3292166,3538081,3538664,7429204,7288590,5957118,6901879,4514806,6436912,3095874,15967858,16645211,11095113,21708395,13863482,2177012,25730866,5217893,23670822,34427420,6384444,6664181,2343054,3772570,2258464,1533103,1977898,1102756,6999771,20850857,11063326,3207724,14212325,27021759,7449579,742536,19145883,10320781,1743680,8155053,14574524,10530940,26400389,14589041,59359084,8483114,37469142,40943455,6137303,13048927,32166213,2935729,2611142,3113846,7405218,1402000,4625300,5665900,5061800,9440200,1669100,2406700,19194600,7942000,8182800,8217400,10135400,5136348,16179537,5886494,9377199,1914292,1222006,5806028,2362911,2930392,1599057,4853718,1940531,1657978,1640929,2006179,3191075,4257001,1714114,2696677,3684167,2916482,1301904,4394742,7398523,4889999,6631996,2177336,3039305,2122966,8153085,1465307,2382606,4766275,2757695,5567522,3909748,2593032,5700466,11143277,2548570,2928137,8003418,10375896,7293025,5052126,8058387,12377741,13221980,12835092,4379697,14116248,12705754,7596277,2312822,9158410,2091112,48538682
2005,2187388,5281556,8748779,10599216,7958496,5710254,18523502,32441847,5579551,281428,455427,6409154,5703397,1995842,1226065,11204950,2167035,5004433,5058067,7700219,3481729,3638773,2065271,8958972,9672752,14670849,7198523,28924030,12076941,4663265,4323739,6133675,5921077,12530837,14620315,9380117,1375753,6435106,14717577,2300755,8155673,24494085,5842872,5308826,8048669,15084189,8374826,6391003,5152065,2152040,7779773,4615493,3009053,22361555,8858366,6958200,3123716,6983231,4258188,4904101,6149738,1711087,12768980,12499798,1536703,5246823,407067,753923,1949851,7074696,1380900,1395279,2572597,3719007,4039603,2855012,6193297,452118,62565134,3396399,3503786,3640008,7564291,7035209,6166266,6677648,4538088,6772660,3306334,15394007,16145246,11052437,20771854,13752150,2145192,25742463,5413734,23403070,34822817,6122194,7041143,2433313,3676727,2256163,1493157,1735303,1101552,6990618,20968279,10179127,3188648,13832991,26494968,6853114,747805,19206477,10829774,1954865,7838849,13721380,10208792,26139024,14495715,56725302,8391287,36219769,37960671,5820925,12497502,31709665,2622957,2682040,2634207,7567827,1148700,4556400,4787600,5404900,9661800,1580900,2320300,17654500,7423900,7577500,8229500,9814500,4763876,15763019,5579603,8350929,1907773,1185168,5714714,2290196,2782126,1435848,5139161,1807218,1481256,1601872,1835311,3075186,4232481,1661395,2640523,3489331,2830047,1957421,4662334,8525488,5773839,8879870,1754771,2697055,2208376,10198560,1127504,3415077,5821456,2754372,5443704,4887952,3658820,5044512,14199842,2338831,2770041,7389866,8227281,7909529,4836054,7802963,12089542,13034185,15785739,16205352,5665896,14311796,9878735,2605057,9635931,2541846,41768543
2004,2038268,5271669,8418213,10691359,7684086,5714884,17963465,31863808,5612324,234835,373574,5906080,4826044,1767927,1051607,10666404,2597255,5320369,5081395,7809292,3445889,3742546,2117558,8874643,9593438,14445641,7109578,28075823,12218979,4732619,4327750,6037749,5862310,12405767,13260393,9256546,1422449,5945507,14629251,2180850,8043293,24394776,6002753,5039879,8211362,15235441,8315060,6421728,5089910,2167380,7524556,4666078,3042238,22132760,8537858,6628196,3074274,7124188,4379723,4912684,5907270,1690643,13696547,13159757,1509539,4475094,350234,671898,1540565,4536920,1457550,1303321,2251447,3632951,3893556,2764856,5878889,456338,59674027,3286541,3167081,3676116,7398476,7465470,5910836,6977713,4572459,6859870,3258284,15205551,16403048,10983699,20596022,13575484,2079246,25202709,5297044,23491268,32469338,5467140,6586306,2289498,3590864,2249126,1460190,1695869,1027630,6984671,20953954,9342471,3198211,14214124,26473149,6933216,754964,19907514,10395189,1922098,7701394,13351037,10303418,25698308,13848755,54559238,8568595,36287912,35454949,5753804,12853376,28094505,2167879,2721730,2065904,7737121,1192700,4851200,4976600,5531500,9109700,1477100,1926400,17249800,7561500,8326600,8934700,9774700,4429699,15175219,5391515,8199366,1935608,1019556,5571984,2221119,2664724,1489903,5397206,1781940,1359160,1647670,1938828,3035889,4265802,1430082,2699266,3499040,3003571,1442889,4121934,6078515,5200085,5990070,1842782,1618120,1499620,7631252,1270811,11121572,5012012,2458963,3779630,3735889,3199619,5486344,10145684,2001393,2855040,6679796,8125363,7529750,3396397,6527836,9665031,10526653,10578604,11407035,3378215,11283040,6217279,1815784,6880876,2179646,41725658
